title,performer,peak_pos,wks_on_chart,first_charting_year,original_performer,performer_normalized,original_performer_normalized
Night Time,The Strangeloves,30,8,1966,,the strangeloves,
Think I'll Go Somewhere And Cry Myself To Sleep,Al Martino,30,8,1966,,al martino,
Breakin' Up Is Breakin' My Heart,Roy Orbison,31,8,1966,,roy orbison,
Hey Joe,The Leaves,31,9,1966,,the leaves,
"Hey, Leroy, Your Mama's Callin' You",Jimmy Castor,31,9,1966,,jimmy castor,
I Love You 1000 Times,The Platters,31,14,1966,,the platters,
It's Only Love,Tommy James And The Shondells,31,9,1966,,tommy james and the shondells,
Let's Go Get Stoned,Ray Charles,31,9,1966,,ray charles,
Satisfaction,Otis Redding,31,8,1966,,otis redding,
The Rains Came,Sir Douglas Quintet,31,11,1966,,sir douglas quintet,
Alfie,Cher,32,6,1966,,cher,
Band Of Gold,Mel Carter,32,8,1966,,mel carter,
"Caroline, No",Brian Wilson,32,7,1966,,brian wilson,
I Can Make It With You,Pozo Seco Singers,32,11,1966,,pozo seco singers,
I Chose To Sing The Blues,Ray Charles,32,7,1966,Ray Charles & The Raelets,ray charles,
I Chose To Sing The Blues,The Raelets,32,7,1966,Ray Charles & The Raelets,the raelets,
Look What You've Done,Pozo Seco Singers,32,9,1966,,pozo seco singers,
Somewhere There's A Someone,Dean Martin,32,8,1966,,dean martin,
The Phoenix Love Theme (Senza Fine),The Brass Ring,32,9,1966,The Brass Ring featuring Phil Bodner,the brass ring,
The Phoenix Love Theme (Senza Fine),Phil Bodner,32,9,1966,The Brass Ring featuring Phil Bodner,phil bodner,
7 And 7 Is,Love,33,10,1966,,love,
Just Like A Woman,Bob Dylan,33,6,1966,,bob dylan,
Long Live Our Love,The Shangri-Las,33,6,1966,,the shangri-las,
Tell Me Why,Elvis Presley,33,7,1966,Elvis Presley With The Jordanaires,elvis presley,
Tell Me Why,The Jordanaires,33,7,1966,Elvis Presley With The Jordanaires,the jordanaires,
There Will Never Be Another You,Chris Montez,33,8,1966,,chris montez,
Billy And Sue,B.J. Thomas And The Triumphs,34,11,1966,,b.j. thomas and the triumphs,
I Can't Grow Peaches On A Cherry Tree,Just Us,34,11,1966,,just us,
Inside-Looking Out,The Animals,34,7,1966,,the animals,
The Ballad Of Irving,Frank Gallop,34,9,1966,,frank gallop,
There's Got To Be A Word!,The Innocence,34,8,1966,,the innocence,
Batman Theme,Neal Hefti,35,8,1966,,neal hefti,
Blue Autumn,Bobby Goldsboro,35,9,1966,,bobby goldsboro,
Come Running Back,Dean Martin,35,7,1966,,dean martin,
Day For Decision,Johnny Sea,35,6,1966,,johnny sea,
Pandora's Golden Heebie Jeebies,The Association,35,7,1966,,the association,
The Impossible Dream (The Quest),Jack Jones,35,10,1966,,jack jones,
Dedicated Follower Of Fashion,The Kinks,36,6,1966,,the kinks,
Friday's Child,Nancy Sinatra,36,5,1966,,nancy sinatra,
I Want To Go With You,Eddy Arnold,36,11,1966,,eddy arnold,
Mr. Spaceman,The Byrds,36,7,1966,,the byrds,
Pushin' Too Hard,The Seeds,36,11,1966,,the seeds,
Time After Time,Chris Montez,36,8,1966,,chris montez,
(When She Needs Good Lovin') She Comes To Me,The Chicago Loop,37,7,1966,,the chicago loop,
Help Me Girl,The Outsiders,37,10,1966,,the outsiders,
It's Over,Jimmie Rodgers,37,7,1966,,jimmie rodgers,
Love Me With All Of Your Heart,The Bachelors,38,6,1966,,the bachelors,
Tar And Cement,Verdelle Smith,38,8,1966,,verdelle smith,
(You're Gonna) Hurt Yourself,Frankie Valli,39,7,1966,,frankie valli,
A Satisfied Mind,Bobby Hebb,39,6,1966,,bobby hebb,
Ain't Gonna Lie,Keith,39,10,1966,,keith,
Are You Lonely For Me,Freddy Scott,39,12,1966,,freddy scott,
God Only Knows,The Beach Boys,39,8,1966,,the beach boys,
History Repeats Itself,Buddy Starcher,39,7,1966,,buddy starcher,
"I'm Comin' Home, Cindy",Trini Lopez,39,7,1966,,trini lopez,
Oh Yeah,The Shadows Of Knight,39,6,1966,,the shadows of knight,
S.Y.S.L.J.F.M. (The Letter Song),Joe Tex,39,7,1966,,joe tex,
Twinkle Toes,Roy Orbison,39,6,1966,,roy orbison,
Dum-De-Da,Bobby Vinton,40,6,1966,,bobby vinton,
Spinout,Elvis Presley,40,7,1966,Elvis Presley With The Jordanaires,elvis presley,
Spinout,The Jordanaires,40,7,1966,Elvis Presley With The Jordanaires,the jordanaires,
The Last Word In Lonesome Is Me,Eddy Arnold,40,7,1966,,eddy arnold,
Wack Wack,The Young Holt Trio,40,8,1966,,the young holt trio,
You Can't Roller Skate In A Buffalo Herd,Roger Miller,40,6,1966,,roger miller,
A Million And One,Dean Martin,41,7,1966,,dean martin,
All That I Am,Elvis Presley,41,8,1966,Elvis Presley With The Jordanaires,elvis presley,
All That I Am,The Jordanaires,41,8,1966,Elvis Presley With The Jordanaires,the jordanaires,
Andrea,The Sunrays,41,8,1966,,the sunrays,
I Want To Be With You,Dee Dee Warwick,41,12,1966,,dee dee warwick,
The Dedication Song,Freddy Cannon,41,6,1966,,freddy cannon,
Ain't That A Groove (Part 1),James Brown And The Famous Flames,42,7,1966,,james brown and the famous flames,
I Can't Let Go,The Hollies,42,10,1966,,the hollies,
You Wouldn't Listen,The Ides Of March,42,7,1966,,the ides of march,
Younger Girl,The Critters,42,9,1966,,the critters,
Come On Up,The Young Rascals,43,7,1966,,the young rascals,
I Can't Control Myself,The Troggs,43,6,1966,,the troggs,
Sometimes Good Guys Don't Wear White,The Standells,43,8,1966,,the standells,
The Tip Of My Fingers,Eddy Arnold,43,7,1966,,eddy arnold,
5 D (Fifth Dimension),The Byrds,44,5,1966,,the byrds,
"Get Out Of My Life, Woman",Lee Dorsey,44,10,1966,,lee dorsey,
Misty,"""Groove"" Holmes",44,11,1966,,"""groove"" holmes",
Papa Was Too,Joe Tex,44,7,1966,,joe tex,
Take This Heart Of Mine,Marvin Gaye,44,8,1966,,marvin gaye,
Tippy Toeing,The Harden Trio,44,10,1966,,the harden trio,
Distant Drums,Jim Reeves,45,7,1966,,jim reeves,
Games That Lovers Play,Eddie Fisher,45,9,1966,,eddie fisher,
I Fooled You This Time,Gene Chandler,45,8,1966,,gene chandler,
Loving You Is Sweeter Than Ever,Four Tops,45,8,1966,,four tops,
Outside The Gates Of Heaven,Lou Christie,45,8,1966,,lou christie,
Peter Rabbit,Dee Jay And The Runaways,45,11,1966,,dee jay and the runaways,
Please Don't Stop Loving Me,Elvis Presley,45,8,1966,,elvis presley,
She Blew A Good Thing,The Poets,45,10,1966,,the poets,
I (Who Have Nothing),Terry Knight and The Pack,46,10,1966,,terry knight and the pack,
In Our Time,Nancy Sinatra,46,6,1966,,nancy sinatra,
One Track Mind,The Knickerbockers,46,7,1966,,the knickerbockers,
The One On The Right Is On The Left,Johnny Cash,46,6,1966,,johnny cash,
Up And Down,The McCoys,46,6,1966,,the mccoys,
Whole Lot Of Shakin' In My Heart (Since I Met You),The Miracles,46,8,1966,,the miracles,
"Little Darling, I Need You",Marvin Gaye,47,7,1966,,marvin gaye,
Mas Que Nada,Sergio Mendes & Brasil '66,47,8,1966,,sergio mendes & brasil '66,
On This Side Of Goodbye,The Righteous Brothers,47,6,1966,,the righteous brothers,
Time,Pozo Seco Singers,47,7,1966,,pozo seco singers,
Memories Are Made Of This,The Drifters,48,7,1966,,the drifters,
Nineteen Days,The Dave Clark Five,48,6,1966,,the dave clark five,
Please Mr. Sun,The Vogues,48,8,1966,,the vogues,
Stop Her On Sight (S.O.S.),Edwin Starr,48,8,1966,,edwin starr,
You're The One,The Marvelettes,48,6,1966,,the marvelettes,
Another Night,Dionne Warwick,49,6,1966,,dionne warwick,
Can I Trust You?,The Bachelors,49,6,1966,,the bachelors,
Have I Stayed Too Long,Sonny & Cher,49,6,1966,,sonny,sonny & cher
Have I Stayed Too Long,Sonny & Cher,49,6,1966,,cher,sonny & cher
In The Arms Of Love,Andy Williams,49,8,1966,,andy williams,
Sugar And Spice,The Cryan' Shames,49,9,1966,,the cryan' shames,
The Philly Freeze,Alvin Cash & The Registers,49,9,1966,,alvin cash & the registers,
Up Tight,Ramsey Lewis,49,5,1966,,ramsey lewis,
"Wish You Were Here, Buddy",Pat Boone,49,8,1966,,pat boone,
World Of Fantasy,The Five Stairsteps,49,8,1966,,the five stairsteps,
You You You,Mel Carter,49,7,1966,,mel carter,
Cleo's Mood,Jr. Walker & The All Stars,50,6,1966,,jr. walker & the all stars,
Don't Be A Drop-Out,James Brown And The Famous Flames,50,7,1966,,james brown and the famous flames,
Heaven Must Have Sent You,The Elgins,50,8,1966,,the elgins,
Love Is All We Need,Mel Carter,50,8,1966,,mel carter,
Satisfied With You,The Dave Clark Five,50,6,1966,,the dave clark five,
Spread It On Thick,The Gentrys,50,8,1966,,the gentrys,
There's No Living Without Your Loving,Peter And Gordon,50,7,1966,,peter and gordon,
Till The End Of The Day,The Kinks,50,8,1966,,the kinks,
Young Love,Lesley Gore,50,6,1966,,lesley gore,
A Symphony For Susan,The Arbors,51,10,1966,,the arbors,
Dear Lover,Mary Wells,51,8,1966,,mary wells,
Goodnight My Love,The Happenings,51,6,1966,,the happenings,
Got My Mojo Working (Part I),Jimmy Smith,51,7,1966,,jimmy smith,
Hurt,Little Anthony And The Imperials,51,6,1966,,little anthony and the imperials,
Mind Excursion,The Trade Winds,51,9,1966,,the trade winds,
Evol-Not Love,The Five Americans,52,9,1966,,the five americans,
Ghost Riders In The Sky,Baja Marimba Band,52,6,1966,,baja marimba band,
Grizzly Bear,The Youngbloods,52,10,1966,,the youngbloods,
Look At Me Girl,Bobby Vee And The Strangers,52,8,1966,,bobby vee,bobby vee and the strangers
Look At Me Girl,Bobby Vee And The Strangers,52,8,1966,,the strangers,bobby vee and the strangers
Money (That's What I Want) (Part 1),Jr. Walker & The All Stars,52,6,1966,,jr. walker & the all stars,
My Little Red Book,Love,52,11,1966,,love,
The Cruel War,"Peter, Paul & Mary",52,5,1966,,"peter, paul & mary",
The Eggplant That Ate Chicago,Dr. West's Medicine Show,52,7,1966,Dr. West's Medicine Show and Junk Band,dr. west's medicine show,
The Eggplant That Ate Chicago,Junk Band,52,7,1966,Dr. West's Medicine Show and Junk Band,junk band,
Younger Girl,The Hondells,52,9,1966,,the hondells,
(You Make Me Feel) So Good,The McCoys,53,4,1966,,the mccoys,
Mame,Bobby Darin,53,7,1966,,bobby darin,
Money Won't Change You (Part 1),James Brown And The Famous Flames,53,9,1966,,james brown and the famous flames,
Ninety-Nine And A Half (Won't Do),Wilson Pickett,53,8,1966,,wilson pickett,
Somebody Like Me,Eddy Arnold,53,6,1966,,eddy arnold,
The Fife Piper,The Dynatones,53,8,1966,,the dynatones,
Better Use Your Head,Little Anthony And The Imperials,54,7,1966,,little anthony and the imperials,
Bye Bye Blues,Bert Kaempfert And His Orchestra,54,7,1966,,bert kaempfert and his orchestra,
Secret Agent Man,The Ventures,54,7,1966,,the ventures,
Why Pick On Me,The Standells,54,7,1966,,the standells,
(Open Up The Door) Let The Good Times In,Dean Martin,55,6,1966,,dean martin,
Ashes To Ashes,The Mindbenders,55,6,1966,,the mindbenders,
Bad Misunderstanding,The Critters,55,6,1966,,the critters,
I'm Gonna Miss You,The Artistics,55,10,1966,,the artistics,
Karate,The Emperor's,55,9,1966,,the emperor's,
Rumors,Syndicate Of Sound,55,7,1966,,syndicate of sound,
Somebody (Somewhere) Needs You,Darrell Banks,55,8,1966,,darrell banks,
Suspicions,The Sidekicks,55,9,1966,,the sidekicks,
You Can Bring Me All Your Heartaches,Lou Rawls,55,8,1966,,lou rawls,
You're Gonna Miss Me,The Thirteenth Floor Elevators,55,8,1966,,the thirteenth floor elevators,
Helpless,Kim Weston,56,7,1966,,kim weston,
I Know You Better Than That,Bobby Goldsboro,56,5,1966,,bobby goldsboro,
Lullaby Of Love,The Poppies,56,6,1966,,the poppies,
The Love You Save (May Be Your Own),Joe Tex,56,8,1966,,joe tex,
Changes,Crispian St. Peters,57,7,1966,,crispian st. peters,
I'm A Nut,Leroy Pullins,57,6,1966,,leroy pullins,
This Can't Be True,Eddie Holman,57,11,1966,,eddie holman,
Tiny Bubbles,Don Ho,57,17,1966,Don Ho and the Aliis,don ho,
Tiny Bubbles,the Aliis,57,17,1966,Don Ho and the Aliis,the aliis,
Waitin' In Your Welfare Line,Buck Owens,57,7,1966,,buck owens,
Wiederseh'n,Al Martino,57,4,1966,,al martino,
A Little Bit Of Soap,The Exciters,58,6,1966,,the exciters,
Almost Persuaded No. 2,Ben Colder,58,6,1966,,ben colder,
Can You Please Crawl Out Your Window?,Bob Dylan,58,6,1966,,bob dylan,
Hide & Seek,The Sheep,58,7,1966,,the sheep,
My Uncle Used To Love Me But She Died,Roger Miller,58,5,1966,,roger miller,
Not Responsible,Tom Jones,58,6,1966,,tom jones,
Wang Dang Doodle,Ko Ko Taylor,58,8,1966,,ko ko taylor,
Blue Side Of Lonesome,Jim Reeves,59,8,1966,,jim reeves,
Juanita Banana,The Peels,59,6,1966,,the peels,
"Past, Present And Future",The Shangri-Las,59,6,1966,,the shangri-las,
Please Don't Ever Leave Me,The Cyrkle,59,5,1966,,the cyrkle,
Tears,Bobby Vinton,59,5,1966,,bobby vinton,
The Wheel Of Hurt,Al Martino,59,8,1966,,al martino,
Communication Breakdown,Roy Orbison,60,7,1966,,roy orbison,
Nobody's Baby Again,Dean Martin,60,6,1966,,dean martin,
Cast Your Fate To The Wind,Shelby Flint,61,7,1966,,shelby flint,
Come Back,The Five Stairsteps,61,6,1966,,the five stairsteps,
I Guess I'll Always Love You,The Isley Brothers,61,7,1966,,the isley brothers,
My Lover's Prayer,Otis Redding,61,7,1966,,otis redding,
A Day In The Life Of A Fool,Jack Jones,62,8,1966,,jack jones,
Baby What I Mean,The Drifters,62,7,1966,,the drifters,
Break Out,Mitch Ryder And The Detroit Wheels,62,5,1966,,mitch ryder and the detroit wheels,
Cloudy Summer Afternoon (Raindrops),Barry McGuire,62,7,1966,,barry mcguire,
Georgia On My Mind,The Righteous Brothers,62,5,1966,,the righteous brothers,
I'm Too Far Gone (To Turn Around),Bobby Bland,62,6,1966,,bobby bland,
In My Room (El Amor),Verdelle Smith,62,7,1966,,verdelle smith,
Let Me Be Good To You,Carla Thomas,62,6,1966,,carla thomas,
Sippin' 'N Chippin',The T-Bones,62,5,1966,,the t-bones,
That's Enough,Rosco Robinson,62,8,1966,,rosco robinson,
A Lover's Concerto,Sarah Vaughan,63,6,1966,,sarah vaughan,
Ain't Nobody Home,Howard Tate,63,7,1966,,howard tate,
"Baby, Do The Philly Dog",The Olympics,63,6,1966,,the olympics,
Bang Bang,The Joe Cuba Sextet,63,8,1966,,the joe cuba sextet,
I Love Onions,Susan Christie,63,8,1966,,susan christie,
I'll Love You Forever,The Holidays,63,9,1966,,the holidays,
It Won't Be Wrong,The Byrds,63,5,1966,,the byrds,
My Ship Is Comin' In,The Walker Bros.,63,5,1966,,the walker bros.,
Why Can't You Bring Me Home,Jay & The Americans,63,6,1966,,jay & the americans,
Wish Me A Rainbow,The Gunter Kallmann Chorus,63,8,1966,,the gunter kallmann chorus,
You've Got My Mind Messed Up,James Carr,63,6,1966,,james carr,
I've Got To Do A Little Bit Better,Joe Tex,64,5,1966,,joe tex,
Just One Smile,Gene Pitney,64,6,1966,,gene pitney,
Please Don't Sell My Daddy No More Wine,The Greenwoods,64,5,1966,,the greenwoods,
Please Say You're Fooling,Ray Charles and his Orchestra,64,6,1966,,ray charles,ray charles and his orchestra
Please Say You're Fooling,Ray Charles and his Orchestra,64,6,1966,,his orchestra,ray charles and his orchestra
Remember The Rain,Bob Lind,64,5,1966,,bob lind,
Said I Wasn't Gonna Tell Nobody,Sam & Dave,64,6,1966,,sam & dave,
Stay With Me,Lorraine Ellison,64,8,1966,,lorraine ellison,
Whenever She Holds You,Patty Duke,64,5,1966,,patty duke,
Can't Satisfy,The Impressions,65,7,1966,,the impressions,
Follow Me,Lyme & Cybelle,65,6,1966,,lyme & cybelle,
He Cried,The Shangri-Las,65,6,1966,,the shangri-las,
"Lara's Theme from ""Dr. Zhivago""",Roger Williams,65,6,1966,,roger williams,
Michelle,Bud Shank,65,6,1966,,bud shank,
"Neighbor, Neighbor",Jimmy Hughes,65,6,1966,,jimmy hughes,
Poverty,Bobby Bland,65,5,1966,,bobby bland,
Truly Julie's Blues (I'll Be There),Bob Lind,65,5,1966,,bob lind,
We Got A Thing That's In The Groove,The Capitols,65,6,1966,,the capitols,
Batman,Jan & Dean,66,5,1966,,jan & dean,
"Love Is Me, Love Is You",Connie Francis,66,6,1966,,connie francis,
Snow Flake,Jim Reeves,66,6,1966,,jim reeves,
Take Some Time Out For Love,The Isley Brothers,66,4,1966,,the isley brothers,
Teenager's Prayer,Joe Simon,66,7,1966,,joe simon,
The Girl That Stood Beside Me,Bobby Darin,66,5,1966,,bobby darin,
"Don't Worry Mother, Your Son's Heart Is Pure",The McCoys,67,5,1966,,the mccoys,
I Believe I'm Gonna Make It,Joe Tex,67,5,1966,,joe tex,
"Look At Granny Run, Run",Howard Tate,67,7,1966,,howard tate,
Out Of This World,The Chiffons,67,4,1966,,the chiffons,
I Can Make It With You,Jackie DeShannon,68,6,1966,,jackie deshannon,
If You Go Away,Damita Jo,68,10,1966,,damita jo,
The Proud One,Frankie Valli,68,6,1966,,frankie valli,
Too Soon To Know,Roy Orbison,68,5,1966,,roy orbison,
"Dianne, Dianne",Ronny And The Daytonas,69,5,1966,,ronny and the daytonas,
Lonely Soldier,Mike Williams,69,5,1966,,mike williams,
There's Something On Your Mind,Baby Ray,69,6,1966,,baby ray,
Batman & His Grandmother,Dickie Goodman,70,3,1966,,dickie goodman,
Get Away,Georgie Fame And The Blue Flames,70,7,1966,,georgie fame and the blue flames,
Hi Heel Sneakers - Pt. 1,Ramsey Lewis Trio,70,5,1966,,ramsey lewis trio,
It Hurts Me,Bobby Goldsboro,70,5,1966,,bobby goldsboro,
The Teaser,Bob Kuban And The In-Men,70,3,1966,,bob kuban and the in-men,
A Million And One,Vic Dana,71,3,1966,,vic dana,
Constant Rain (Chove Chuva),Sergio Mendes & Brasil '66,71,6,1966,,sergio mendes & brasil '66,
She Drives Me Out Of My Mind,The Swingin' Medallions,71,5,1966,,the swingin' medallions,
What Am I Going To Do Without Your Love,Martha & The Vandellas,71,5,1966,,martha & the vandellas,
Winchester Cathedral,Dana Rollin,71,6,1966,,dana rollin,
Darling Baby,The Elgins,72,8,1966,,the elgins,
Don't Answer The Door - Part 1,B.B. King,72,9,1966,,b.b. king,
Elvira,Dallas Frazier,72,4,1966,,dallas frazier,
I Can't Believe You Love Me,Tammi Terrell,72,5,1966,,tammi terrell,
I Don't Need No Doctor,Ray Charles and his Orchestra,72,4,1966,,ray charles,ray charles and his orchestra
I Don't Need No Doctor,Ray Charles and his Orchestra,72,4,1966,,his orchestra,ray charles and his orchestra
I Only Have Eyes For You,The Lettermen,72,6,1966,,the lettermen,
Lonely Summer,The Shades Of Blue,72,6,1966,,the shades of blue,
Dancing In The Street,The Mamas & The Papas,73,6,1966,,the mamas & the papas,
I'll Go Crazy,James Brown And The Famous Flames,73,2,1966,,james brown and the famous flames,
When A Woman Loves A Man,Esther Phillips,73,5,1966,,esther phillips,
Alvin's Boo-Ga-Loo,Alvin Cash & The Registers,74,6,1966,,alvin cash & the registers,
Baby What Do You Want Me To Do,Barbara Lewis,74,6,1966,,barbara lewis,
Day Tripper,Ramsey Lewis,74,4,1966,,ramsey lewis,
I Got To Handle It,The Capitols,74,4,1966,,the capitols,
I Want Someone,The Mad Lads,74,6,1966,,the mad lads,
Melody For An Unknown Girl,The Unknowns,74,4,1966,,the unknowns,
My Generation,The Who,74,5,1966,,the who,
Promise Her Anything,Tom Jones,74,4,1966,,tom jones,
Think Of Me,Buck Owens,74,5,1966,Buck Owens and The Buckaroos,buck owens,
Think Of Me,The Buckaroos,74,5,1966,Buck Owens and The Buckaroos,the buckaroos,
Bring Back The Time,B.J. Thomas,75,4,1966,,b.j. thomas,
Good Time Charlie,Bobby Bland,75,6,1966,,bobby bland,
Baby Toys,The Toys,76,4,1966,,the toys,
Hey You! Little Boo-Ga-Loo,Chubby Checker,76,5,1966,,chubby checker,
Keep On Running,The Spencer Davis Group,76,4,1966,,the spencer davis group,
Livin' Above Your Head,Jay & The Americans,76,5,1966,,jay & the americans,
Take Me For What I'm Worth,The Searchers,76,7,1966,,the searchers,
Wait A Minute,Tim Tam And The Turn-Ons,76,5,1966,,tim tam and the turn-ons,
We Know We're In Love,Lesley Gore,76,3,1966,,lesley gore,
Ain't Gonna Cry No More,Brenda Lee,77,4,1966,,brenda lee,
Everyday I Have To Cry,The Gentrys,77,5,1966,,the gentrys,
Just Yesterday,Al Martino,77,4,1966,,al martino,
Killer Joe,The Kingsmen,77,4,1966,,the kingsmen,
Let's Call It A Day Girl,The Razor's Edge,77,7,1966,,the razor's edge,
Love Takes A Long Time Growing,Deon Jackson,77,5,1966,,deon jackson,
Michelle,Billy Vaughn And His Orchestra,77,6,1966,,billy vaughn and his orchestra,
Smokey Joe's La La,Googie Rene Combo,77,3,1966,,googie rene combo,
You Got Me Hummin',Sam & Dave,77,6,1966,,sam & dave,
(We'll Be) United,The Intruders,78,6,1966,,the intruders,
Happiness,Shades Of Blue,78,4,1966,,shades of blue,
I Surrender,Fontella Bass,78,6,1966,,fontella bass,
Take Good Care Of Her,Mel Carter,78,5,1966,,mel carter,
Set You Free This Time,The Byrds,79,4,1966,,the byrds,
Something I Want To Tell You,Johnny and The Expressions,79,5,1966,,johnny and the expressions,
Tired Of Being Lonely,Sharpees,79,3,1966,,sharpees,
Come On And See Me,Tammi Terrell,80,5,1966,,tammi terrell,
I Confess,New Colony Six,80,4,1966,,new colony six,
I Put A Spell On You,Alan Price Set,80,3,1966,,alan price set,
Marble Breaks And Iron Bends,Drafi,80,3,1966,,drafi,
Real Humdinger,J.J. Barnes,80,5,1966,,j.j. barnes,
Stop! - Get A Ticket,Clefs Of Lavender Hill,80,6,1966,,clefs of lavender hill,
The Loop,Johnny Lytle,80,5,1966,,johnny lytle,
Tomorrow Never Comes,B.J. Thomas,80,5,1966,,b.j. thomas,
Grim Reaper Of Love,The Turtles,81,4,1966,,the turtles,
Mame,Louis Armstrong,81,4,1966,,louis armstrong,
Painter,Lou Christie,81,5,1966,,lou christie,
Petticoat White (Summer Sky Blue),Bobby Vinton,81,3,1966,,bobby vinton,
What Goes On,The Beatles,81,2,1966,,the beatles,
Downtown,Mrs. Miller,82,4,1966,,mrs. miller,
Giddyup Go,Red Sovine,82,3,1966,,red sovine,
Red Hot,Sam The Sham and the Pharaohs,82,5,1966,,sam the sham and the pharaohs,
This Golden Ring,The Fortunes,82,4,1966,,the fortunes,
A Corner In The Sun,Walter Jackson,83,4,1966,,walter jackson,
Come And Get Me,Jackie DeShannon,83,3,1966,,jackie deshannon,
Free Again,Barbra Streisand,83,4,1966,,barbra streisand,
I Dig Girls,J.J. Jackson,83,3,1966,,j.j. jackson,
Headline News,Edwin Starr,84,4,1966,,edwin starr,
Heartbreak Hotel,Roger Miller,84,4,1966,,roger miller,
Love Me,Bobby Hebb,84,3,1966,,bobby hebb,
Uptight (Everything's Alright),Nancy Wilson,84,4,1966,,nancy wilson,
Don't Touch Me,Jeannie Seely,85,5,1966,,jeannie seely,
I Wanna Meet You,The Cryan' Shames,85,4,1966,,the cryan' shames,
Just A Little Misunderstanding,The Contours,85,2,1966,,the contours,
May My Heart Be Cast Into Stone,The Toys,85,3,1966,,the toys,
My Sweet Potato,Booker T.,85,5,1966,Booker T. & The MG's,booker t.,
My Sweet Potato,The MG's,85,5,1966,Booker T. & The MG's,the mg's,
Pouring Water On A Drowning Man,James Carr,85,4,1966,,james carr,
"Stop, Look And Listen",The Chiffons,85,2,1966,,the chiffons,
Games That Lovers Play,Wayne Newton,86,6,1966,,wayne newton,
La Bamba - Part I,Trini Lopez,86,5,1966,,trini lopez,
Hot Shot,The Buena Vistas,87,4,1966,,the buena vistas,
Living For You,Sonny & Cher,87,2,1966,,sonny,sonny & cher
Living For You,Sonny & Cher,87,2,1966,,cher,sonny & cher
On The Good Ship Lollipop,The Wonder Who?,87,3,1966,,the wonder who?,
You Are She,Chad & Jeremy,87,4,1966,,chad & jeremy,
(I'm Just A) Fool For You,Gene Chandler,88,2,1966,,gene chandler,
A Man And A Woman,Tamiko Jones,88,2,1966,Tamiko Jones with Herbie Mann,tamiko jones,
A Man And A Woman,Herbie Mann,88,2,1966,Tamiko Jones with Herbie Mann,herbie mann,
Get Back,Roy Head,88,2,1966,,roy head,
Heart's Desire,Billy Joe Royal,88,3,1966,,billy joe royal,
I'm Gonna Make You Love Me,Dee Dee Warwick,88,3,1966,,dee dee warwick,
It's An Uphill Climb To The Bottom,Walter Jackson,88,5,1966,,walter jackson,
River Deep-Mountain High,Ike & Tina Turner,88,4,1966,Ike & Tina Turner Featuring Tina,ike,ike & tina turner
River Deep-Mountain High,Ike & Tina Turner,88,4,1966,Ike & Tina Turner Featuring Tina,tina turner,ike & tina turner
River Deep-Mountain High,Tina,88,4,1966,Ike & Tina Turner Featuring Tina,tina,
Can I Get To Know You Better,The Turtles,89,5,1966,,the turtles,
Georgia Rose,Tony Bennett,89,4,1966,,tony bennett,
He Wore The Green Beret,Nancy Ames,89,3,1966,,nancy ames,
History Repeats Itself,Cab Calloway,89,3,1966,,cab calloway,
Philly Dog,The Mar-Keys,89,5,1966,,the mar-keys,
Take Me For A Little While,Patti LaBelle,89,2,1966,Patti LaBelle And The Blue Belles,patti labelle,
Take Me For A Little While,The Blue Belles,89,2,1966,Patti LaBelle And The Blue Belles,the blue belles,
The Answer To My Prayer,Neil Sedaka,89,4,1966,,neil sedaka,
The Pain Gets A Little Deeper,Darrow Fletcher,89,3,1966,,darrow fletcher,
(He's) Raining In My Sunshine,Jay & The Americans,90,4,1966,,jay & the americans,
I'm Gonna Make You Mine,The Shadows Of Knight,90,1,1966,,the shadows of knight,
La La La,Gerry And The Pacemakers,90,3,1966,,gerry and the pacemakers,
"Let Me Tell You, Babe",Nat King Cole,90,4,1966,,nat king cole,
Moulty,The Barbarians,90,4,1966,,the barbarians,
Since I Lost The One I Love,The Impressions,90,2,1966,,the impressions,
You Don't Know Like I Know,Sam & Dave,90,2,1966,,sam & dave,
Bad Little Woman,The Shadows Of Knight,91,2,1966,,the shadows of knight,
Campfire Girls,Billy Joe Royal,91,2,1966,,billy joe royal,
Count Down,"Dave ""Baby"" Cortez",91,3,1966,,"dave ""baby"" cortez",
Dear Mrs. Applebee,Flip Cartridge,91,2,1966,,flip cartridge,
Don't Forget About Me,Barbara Lewis,91,3,1966,,barbara lewis,
Freddie Feelgood (And His Funky Little Five Piece Band),Ray Stevens,91,2,1966,,ray stevens,
Going Nowhere,Los Bravos,91,2,1966,,los bravos,
Goodnight My Love,Ben E. King,91,3,1966,,ben e. king,
He Will Break Your Heart,The Righteous Brothers,91,1,1966,,the righteous brothers,
It's That Time Of The Year,Len Barry,91,3,1966,,len barry,
Pin The Tail On The Donkey,Paul Peek,91,5,1966,,paul peek,
Too Slow,The Impressions,91,3,1966,,the impressions,
Who Do You Think You Are,The Shindogs,91,1,1966,,the shindogs,
You're Just About To Lose Your Clown,Ray Charles,91,2,1966,,ray charles,
Bad Eye,Willie Mitchell,92,1,1966,,willie mitchell,
Follow Your Heart,The Manhattans,92,2,1966,,the manhattans,
I'll Be Gone,Pozo Seco Singers,92,2,1966,,pozo seco singers,
It's Not The Same,Anthony,92,2,1966,Anthony & The Imperials,anthony,
It's Not The Same,The Imperials,92,2,1966,Anthony & The Imperials,the imperials,
My Answer,Jimmy McCracklin,92,1,1966,,jimmy mccracklin,
Put Yourself In My Place,The Elgins,92,4,1966,,the elgins,
