label,big_3_affiliation,#_of_connected_artists,total_power_of_connected_artists
Direct-to-Disk Labs,Other,2,145
Fair Trade Services,Sony,1,145
Bianco,Other,2,145
Only the Family Entertainment,Other,1,144
Question Everything,Other,1,144
Inside Out Music,Sony,2,144
Because Music,Universal,1,144
Artist Partner,Other,2,143
Banana,Other,3,142
Sing It Loud,Other,1,142
WY Records,Universal,2,142
Def American Recordings,Other,2,141
Lizard King Records,Other,1,141
Epic/Sony,Other,2,141
Buena Vista Records,Other,2,140
Sound Stage 7,Other,1,140
Diamond Records,Other,2,139
Run the Jewels,Other,1,139
Tooth & Nail Records,Other,2,138
S‐Curve Records,Other,2,138
Anglo Atlantic,Other,2,138
Club,Other,1,138
Intercord,Other,1,138
Amaru Records,Other,1,137
Virgin Catalogue,Other,2,136
4PF,Other,1,136
Hidden Beach Recordings,Sony,2,135
Victor Entertainment,Other,1,135
Canyon International,Other,2,135
Peerless,Other,2,135
Beach Street Records,Sony,1,134
Anjunabeats,Other,1,134
FADER Label,Other,1,134
Jet Records,Sony,2,134
The Right Stuff,Other,3,134
DTox,Other,1,133
Real Records,Other,1,132
Universal International,Universal,2,132
Gotee Records,Other,1,131
Kudu,Other,1,131
Zomba Label Group,Other,2,131
Air Mail Archive,Other,2,131
Deadline Music,Other,2,131
MoJazz,Other,1,130
Central Station,Other,2,130
Bondage Music,Other,1,130
Big Label Records,Other,1,129
LLC.,Other,1,129
Spring Records,Other,1,129
KRB Music Companies,Other,2,128
Highbridge the Label,Other,1,128
Euro Sound,Other,2,128
Bethel Music,Other,1,128
Capitol Christian Music Group,Universal,2,128
Kirshner,Other,1,127
Equity Music Group,Other,1,127
EI Productions LLC,Other,1,126
Labels,Other,2,126
N‐Less Entertainment,Other,2,126
Double Six Records,Other,1,125
Creative Sounds Ltd.,Other,1,124
ForeFront Records,Other,2,123
Morello Records,Other,1,123
101 Distribution,Other,2,123
Eagle Records,Universal,2,122
The Rocket Record Company,Other,2,122
Amherst Records,Other,1,122
Megaforce Worldwide,Other,1,122
Heads Up International,Other,1,121
Modular Recordings,Other,3,119
Night Street Records,Other,1,119
Alamo Records,Sony,2,119
Megaforce Records,Sony,1,119
Broadside Records,Other,1,118
Cleveland International Records,Other,1,118
Go! Discs,Other,1,116
Dangerbird Records,Other,1,115
GUN Records,Sony,2,114
Mass Appeal,Other,2,114
DALE PLAY Records,Other,1,114
Wooden Nickel,Other,1,114
WEA Latina,Other,1,113
Brookvale Records,Other,4,113
S.A.,Other,3,112
OBE,Other,1,112
ST2 Records,Other,1,112
Spitfire Records,Other,1,112
Rhymesayers Entertainment,Warner,1,111
Blue Sky,Other,1,111
Machete Music,Universal,3,110
Scotti Bros. Records,Other,2,110
Disney,Other,2,109
Sanctuary Records,Warner,3,109
Mailboat Records,Other,3,109
Dolly Records,Other,1,109
Sun,Other,2,108
Blue Thumb Records,Universal,3,107
Beggars Group,Warner,2,106
Shock,Other,3,105
Violator,Other,2,104
VICE Records,Other,2,104
Trill Entertainment,Other,2,102
Go! Beat,Other,1,102
DEL Records,Other,2,101
Bluebird,Other,2,101
Varèse Vintage Records,Other,2,101
3 Amigos,Other,1,100
CrusaderBeach,Other,1,100
AFM Records,Other,1,100
Columbia House Canada,Other,1,100
213 Records,Other,1,100
El Dorado,Other,1,100
Dünya Plak,Other,1,100
Boxstar Records,Other,1,100
Roadshow Music,Other,1,100
Juno Music,Other,1,100
Beatles Catalog Mkt (C91),Other,1,100
Brave Mood Records,Other,1,100
JDJ Entertainment,Other,1,100
Bon Jovi Profit Split,Other,1,100
BMG Argentina,Other,1,100
Aegean,Other,1,100
RGF Productions,Other,1,100
L‐M Records,Other,1,100
Sollos,Other,1,100
Mumble Etc.,Other,1,100
Olivia Rodrigo PS,Other,1,100
Universal Victor,Other,1,100
Nice Life,Other,1,100
Wolf+Rothstein,Other,1,100
CRANKDAT MUSIC,Other,1,100
Music World Entertainment,Other,1,100
Syco Entertainment,Other,1,100
LOUDVERSE,Other,1,100
Dee Money Entertainment,Other,1,100
Custard,Other,1,100
Hi or Hey Records,Universal,1,100
5020 Records,Other,1,100
Sony Music Entertainment UK Limited,Other,1,100
Latium Records,Other,1,100
Warner Music France,Warner,1,100
will.i.am,Other,1,100
Jeffree’s,Other,1,100
Samples ’n’ Seconds Records,Other,1,100
Musical Freedom,Other,1,100
AJM Records,Other,1,100
Harmony,Other,1,100
Parole Records,Other,1,100
RCRD LBL,Other,1,100
KonLive Distribution,Other,1,100
PICT,Other,1,100
BYU Records,Other,1,100
American Dogwood,Other,1,100
Pendulum Records,Other,1,100
Big Yard Music Group Ltd.,Other,1,100
1080p,Other,1,100
Blackground Entertainment,Other,2,100
Magnasound,Other,1,100
Overbrook,Other,1,100
Handprint Entertainment,Other,1,100
C2 Records (UK),Other,1,100
Ca$h Machine Records,Other,1,100
Blood Money Entertainment,Other,1,100
Continental,Other,1,100
323 Entertainment,Other,1,100
Empress Valley Supreme Disc,Other,1,100
Melisma,Other,1,100
Big Yard Music Group,Other,1,100
Capitol Music Group,Universal,1,100
Atlantic Records,Warner,1,100
BBC Radio Classics,Other,1,100
Hedonist Records,Other,1,100
Emerald City Records,Other,1,100
Daemon Records,Other,1,100
Just-Us,Other,1,100
Benson Records,Sony,1,100
Diadem Music Group,Other,1,100
BMG Crescendo,Other,1,100
Pepsi,Other,1,100
Delabel,Warner,1,100
BEATFILE,Other,1,100
Andrew Records,Other,1,100
Shout! Factory,Sony,1,100
Gold Dust,Other,1,100
Cult Legends,Other,1,100
Ascot Records,Other,1,100
music is fun,Other,1,100
Star Mark,Other,1,100
The Label Group,Other,1,100
Deko Entertainment,Other,1,100
King Jay Records,Other,1,100
Picture Boy France,Other,1,100
BRS,Other,1,100
Polymedia Catalogue Marketing,Other,1,100
Modest!,Other,1,100
Warner–Pioneer Corporation,Other,1,100
ZAC Records,Other,1,100
Brownbeats Records,Other,1,100
Bus Stop,Other,1,100
EMI Music Sweden AB,Other,1,100
Breakout,Other,1,100
601 Music,Other,1,100
Echo Beach,Other,1,100
Baroque Back Catalogue,Other,1,100
Oldies.com,Other,1,100
East-West Records,Other,1,100
Brilliant! Records,Other,1,100
Infinity Records,Universal,1,100
Back Biter,Other,1,100
JB Production CH,Other,1,100
Immediate,Other,1,100
Excellent,Other,1,100
Tug Records,Other,1,100
Rockin’ R Records,Other,1,100
CANYON,Other,1,100
Space Space Records,Other,1,100
GME Records,Other,1,100
Eerie Art Records,Other,1,100
Fab Productions,Other,1,100
Elap Music Ltd.,Other,1,100
Digimonde,Other,1,100
Parlophone Sweden,Other,1,100
Parlophone Music Sweden AB,Other,1,100
His Master’s Voice,Other,1,100
A+,Other,1,100
Oxford Records,Other,1,100
Rock Me Tender,Other,1,100
Bacci Bros Records,Other,1,100
Acheron,Other,1,100
Rocky Road Records,Other,1,100
Carnaby,Other,1,100
Convoy,Other,1,100
Radialchoice,Other,1,100
Stardust,Other,1,100
The Media Champ,Other,1,100
Calendar,Other,1,100
Point Productions,Other,1,100
Pazzazz,Other,1,100
BMG Music Canada Inc.,Other,1,100
Atoll Music,Other,1,100
Bobcat Records,Sony,1,100
ChanneL Records,Other,1,100
Discos Cada,Other,1,100
Anxious Records,Other,1,100
Linus Entertainment,Other,1,100
DBK Works,Other,1,100
K-Point Gold,Other,1,100
Anthology,Other,1,100
ABC Dot,Other,1,100
Eclipse,Other,1,100
U.S.A. Records,Other,1,100
VanMeter,Other,1,100
Gee Street,Other,1,100
Hughes Leisure Group,Other,1,100
Madacy Records,Other,1,100
Midland International,Other,1,100
Dolphin,Other,1,100
Joker,Other,1,100
RCA Records,Sony,1,100
Blu Mountain Records,Other,1,100
Inertia Recordings,Other,1,100
Def Jam Recordings France,Other,1,100
Threat Records,Other,1,100
Avco,Other,1,100
Hot Classics,Other,1,100
Pickwick Records,Other,1,100
Paramount Pictures,Other,1,100
All-American,Other,1,100
First Choice,Other,1,100
Doré,Other,1,100
TSG Records,Other,1,100
Instant,Other,1,100
APT,Other,1,100
Upbeat Records,Other,1,100
Diamond,Other,1,100
2P Production,Other,1,100
R2M Music,Other,1,100
DPR-TMC,Other,1,100
Mastertech,Other,1,100
Herald,Other,1,100
Allegro Corporation,Other,1,100
HHO,Other,1,100
Lute Records,Other,1,100
Music for Pleasure Limited,Other,1,100
Inertia Music,Other,1,100
20th Century Tapes,Other,1,100
naïve,Other,1,100
Warner Strategic Marketing Australia,Other,1,100
Hammer & Lace,Other,1,100
Flashback Entertainment,Other,1,99
Lindseystomp Music,Other,1,99
Greenheart Music,Other,1,99
ICE,Other,1,99
FM Concert Broadcasts Ltd.,Other,1,99
Beserkley Records,Other,1,99
Method Records,Other,1,99
Radio Killa Records,Universal,1,99
Hussle Recordings,Other,1,99
Avex UK,Other,1,99
Jolly Roger,Other,1,99
PULSE Records,Other,1,99
ISO Supremacy,Other,1,99
Rubyworks,Other,1,99
3CG Records,Warner,1,99
Oldies 45,Other,1,99
Cicadelic Records,Other,1,99
Arte France,Other,1,99
Bravado,Universal,1,99
RCA Camden,Sony,1,99
Dynovoice Records,Other,1,99
Eastmill,Other,1,99
Amusement Records,Universal,1,99
7A Records,Other,1,99
Westwood Recordings,Other,1,99
East West France,Other,1,99
45 Tours Memories,Other,1,99
Roadshow,Other,1,99
Trocadero Records,Other,1,99
PLG,Other,1,99
SRP Records,Other,1,99
Dance Plant Records,Other,1,99
Joytime Collective,Other,1,99
Taylor Gang,Other,1,99
LibriVox,Other,1,99
Dance Street,Other,1,99
Chen Lin,Other,1,99
Combo Records,Other,1,99
Burger Records,Other,1,99
Bungalo Records,Other,1,99
New York City,Other,1,99
Sparton Records,Other,1,99
G‐Unit Records,Other,1,99
Stentor,Other,1,99
Bayview Financial Trading Group,Other,1,99
Guardian Records,Other,1,99
Hogg Life,Other,1,99
Macklemore LLC,Other,1,99
Sony Music Studios,Other,1,99
Food,Other,1,99
Neon,Other,1,99
Blonded,Other,1,99
Boss Hogg Outlawz,Other,1,99
Folk Era Records,Other,1,99
Avrupa Müzik,Other,1,99
Enjoy the Toons Records,Other,1,99
DHX Music,Other,1,99
Activar Hazlotumismx,Other,1,99
Big Star Records,Other,1,99
Green Hill,Other,1,99
Stardust Records,Other,1,99
EMI Marketing,Other,1,99
Pickwick Music,Other,1,99
Critique Records,Other,1,99
Bags of Fun,Other,1,99
Mecca Don Records,Other,1,99
Macklife,Other,1,99
Certron Corporation,Other,1,99
Country Rewind Records,Other,1,99
Planet Media,Other,1,99
Apex,Other,1,99
Buccaneer,Other,1,99
Goodfella4life Entertainment,Other,1,99
Kedar Entertainment,Other,1,99
Life Records,Other,1,99
Blackheart Records,Other,1,99
SMG Music,Universal,1,99
Club Tools,Other,1,99
Bellmark Records,Other,1,99
PolyGram Special Projects,Other,1,99
Park,Other,1,99
Corporate Thugz Entertainment,Other,1,99
Dualtone,Other,1,99
Slaughter Gang,Other,1,99
Art of Ears,Other,1,99
Wicked Awesome Records,Other,1,99
Parkwood Entertainment,Other,1,99
BMG Mexico,Other,1,99
Sony Music Labels Inc.,Other,1,99
CTE,Other,1,99
Create Music Group,Other,1,99
ETalent Management & Entertainment,Other,1,99
Redneck Records,Other,1,99
Bendo,Other,1,99
Bonton,Other,1,99
Excelsior,Other,1,99
Tuff,Other,1,99
Country Harvest Records,Other,1,99
Believe Digital GmbH,Other,1,99
Calvary Chapel Music,Other,1,99
Streamline,Other,1,99
Streamline Records,Universal,1,99
Antler-Subway,Other,1,99
Bang On!,Other,1,99
Transgressive Records,Other,1,99
Sony Music Custom Marketing Group,Other,1,99
Vendetta Records,Universal,1,99
ARS Records,Other,1,99
Adult Records,Other,1,99
YG Entertainment,Universal,1,99
UNIVERSAL J,Other,1,99
Silent Records,Other,1,99
Bluefog Recordings,Other,1,99
Cat-O-Log,Other,1,99
WOA International,Other,1,99
Blacksmith,Other,1,99
The Inc. Records,Other,1,99
Curvve Recordings,Other,1,99
Avitone Recordings,Other,1,99
Epic Music Video,Other,1,99
Jaiye Urban,Other,1,98
Emblem Records,Other,1,98
Newtown Music,Other,1,98
Repertoire,Other,1,98
Beatclub Records,Other,1,98
Universal Music New Zealand,Universal,1,98
Crewe Records,Other,1,98
Jubilee,Other,1,98
Duck Records,Other,1,98
ARM,Other,1,98
Dack Janiel's Music,Other,1,98
Phonie,Other,1,98
Eagle Music,Other,1,98
Jasnet Records,Other,1,98
Foreign Family Collective,Other,1,98
Concord Music Group,Other,1,98
Hallmark,Other,1,98
President Records,Other,1,98
Rex Orange County,Other,1,98
ARY,Other,1,98
Rhino Vinyl,Other,1,98
Atlantic 75,Other,1,98
Hip-OSelect,Other,1,98
A.F.O. Records,Other,1,98
GottDiscs,Other,1,98
Concord Bicycle Music,Other,1,98
Rhino Special Products,Other,1,98
Believe Recordings,Other,1,98
FeralCode Records,Other,1,98
KQ Entertainment,Sony,1,98
Bad Reputation,Other,1,98
Classic Pictures,Other,1,98
Signet Records,Other,1,98
Harkit Records,Other,1,98
Screenland Records,Other,1,98
ArsNova,Other,1,98
Pegasus Entertainment,Other,1,98
AMG,Other,1,98
BMG Classics,Other,1,98
Euro Trend,Other,1,98
Red Onion Records,Other,1,98
Dack Janiels Records,Other,1,98
Chattahoochee Records,Other,1,98
Black Magnetic,Other,1,98
Hustle Gang,Other,1,98
Needlejuice Records,Other,1,98
B.T. Puppy Records,Other,1,98
Lautstark,Other,1,98
BMG France,Other,1,98
Raymond Braun Media Group,Other,1,98
StreamCut,Other,1,98
Arthouse Records,Other,1,98
Slumerican,Other,1,98
Jonzing World,Other,1,98
Fish People,Other,1,98
Noble & Brite,Other,1,98
Dynamic,Other,1,98
Impact Cassettes,Other,1,98
Razor Sharp Records,Sony,1,98
God Love Family Entertainment,Other,1,98
Copenhagen Records,Universal,1,98
Then We Take the World,Other,1,98
Cultures of Soul Records,Other,1,98
Decca,Other,1,98
777 Was 666,Other,1,98
Crusader Records,Other,1,98
Beat Masters International,Other,1,98
Command Records,Other,1,98
The Restoration Project,Other,1,98
Warner Music Singapore,Warner,1,98
Pretty Swede Records,Other,1,98
Arrival Records,Other,1,98
On the Spot,Other,1,98
Big Step Management Inc.,Other,1,98
CEG,Other,1,98
Trans Continental Records,Other,1,98
Mega Collider Records,Other,1,98
Demon Music Group,Other,1,98
Statik Records,Other,1,98
NMC United,Other,1,98
Global Talent Records,Other,1,98
Broadway Video,Other,1,98
ATG,Other,1,98
Virgin Schallplatten GmbH,Other,1,98
Circa Records,Other,1,98
StarTime International,Other,1,98
CGD,Other,1,98
Belsize Music Ltd.,Other,1,98
Tommy Boy Silver Label,Other,1,98
M.T.I.,Other,1,98
PAL Productions,Other,1,98
Alpha Records,Other,1,98
Cheeky Records,Other,1,98
Eclipse Music Group,Other,1,98
Anchor Records,Other,1,98
Rude Girl Records,Other,1,98
Fool’s Gold Records,Other,1,98
Ministry of Sound (Germany),Other,1,98
EEG Music,Other,1,98
Atlantis,Other,1,98
Poolside Records,Other,1,98
Jive Epic,Other,1,98
Virgin Records Canada,Other,1,98
K&S Records,Other,1,98
BarryGibb.com,Other,1,98
Logic Records (UK),Other,1,98
SwishaBlast Entertainment,Other,1,98
Skeleton Club,Other,1,98
EMI Music Greece,Other,1,98
Malaco Records,Other,1,98
CME Records,Other,1,98
NextSelection,Other,1,98
Jack Johnson LP3,Other,1,98
Brushfire Records,Universal,1,98
Martha’s Music,Other,1,98
Play Two,Other,1,98
Spontaneous Records,Other,1,98
Navarre,Other,1,98
Tommy Boy Music,Other,1,98
Family Productions,Other,1,98
Spoiled Rotten Entertainment,Other,1,98
Curb Denon Records,Other,1,98
Edel America Records,Other,1,98
Interscope Geffen A&M,Other,1,98
Fine Malt Lyrics,Other,1,98
Swishahouse,Other,1,98
Discontinued Records,Other,1,98
Alternative Edge Productions,Other,1,98
A Private Collection,Other,1,98
Redline Entertainment,Other,1,97
Serjical Strike Records,Universal,1,97
Desert Storm Recordings,Other,1,97
Co & Ce Records,Other,1,97
Time-Life Records,Other,1,97
Columbia Record Club,Other,1,97
Parrot Records,Universal,1,97
Del Records,Other,1,97
Sherman Records,Other,1,97
Heavy on It,Other,1,97
Dream On,Other,1,97
ABS-CBN Film Productions,Other,1,97
Kreisel 99,Other,1,97
High Coin,Other,1,97
Mad Love Records,Universal,1,97
Sony Music Catalog,Other,1,97
Jellybean Recordings,Other,1,97
Music Catalogue Cracker Barrel Old Country Store,Other,1,97
Farmhouse Recordings,Other,1,97
Divucsa,Other,1,97
Play On,Other,1,97
Garrett Records,Other,1,97
Cortés Entertainment,Other,1,97
Gaither Music Group,Other,1,97
Dik Hayd International,Other,1,97
Lilith Records,Other,1,97
Vingolf Recordings,Other,1,97
Sho’nuff Records,Other,1,97
Clouds Hill,Other,1,97
PolyGram Group Canada Inc.,Other,1,97
Carbon Music & Entertainment,Other,1,97
Centropolis Entertainment,Other,1,97
Nettwerk UK,Other,1,97
CMP Entertainment,Other,1,97
Universal Music Russia,Universal,1,97
Big Loud Rock,Other,1,97
Gold Standard Laboratories,Other,1,97
Live Archives,Other,1,97
See for Miles Records,Other,1,97
Card Exclusive,Other,1,97
Audio Arts,Other,1,97
East West Records Australia,Other,1,97
Anthem Legacy,Other,1,97
Alvorada,Other,1,97
Alcopop! Records,Other,1,97
Track Masters,Other,1,97
Bugsy Records,Other,1,97
Artemis Strategic,Other,1,97
Blue Gorilla,Other,1,97
Original Sound,Other,1,97
Black Cat,Other,1,97
JLM Entertainment,Other,1,97
Galactic Records,Universal,1,97
Junior,Other,1,97
Hoddle Records,Other,1,97
Dogg Foundation,Other,1,97
Counting Crows,Other,1,97
Doggy Style Records,Other,1,97
G-Funk Entertainment,Other,1,97
Chicago Records,Other,1,97
All Evergreen Records,Other,1,97
ISR P&D,Other,1,97
Chess International,Other,1,97
Gone Records,Other,1,97
Over Load,Other,1,97
DCC Jazz,Other,1,97
Ariola Benelux B.V.,Other,1,97
All Time Records,Other,1,97
Rhino Entertainment,Warner,1,97
Funki Dreds,Other,1,97
EMI Dance House,Other,1,97
Delta Music,Other,1,97
JDub Records,Sony,1,97
Bliss Corporation,Other,1,97
Blanco y Negro Music,Other,1,97
Checker,Other,1,97
Think Differently Music,Other,1,97
Roxbury Records,Other,1,97
10AKEE Music,Other,1,97
independently popular.,Other,1,97
OWSLA,Other,1,97
Croatia Records,Other,1,97
Ideal Promotion,Other,1,97
Chelsea Records,Other,1,97
BMG Ariola,Other,1,97
UK Records,Other,1,97
Rox Vox,Other,1,97
Zomba Music Publishers Ltd.,Other,1,97
Top Music International Ltd.,Other,1,97
ByTz Records,Other,1,97
Soulo Productions,Other,1,97
5 Star Entertainment,Other,1,97
Silos Music,Other,1,97
Pracownia Pocztówek Dźwiękowych R. Serafin,Other,1,97
Hey Kyle,Other,1,97
Sugar,Other,1,97
BlissCo. S.r.l.,Other,1,97
FIGURE 2 RC,Other,1,97
Craig,Other,1,97
LOYAUTÉ,Other,1,97
Little Idiot,Other,1,97
Bridge Nine Records,Other,1,97
Jamie,Other,1,97
Spirit Recordings,Other,1,97
A Perfect Circle Entertainment,Other,1,97
Icarus Music,Other,1,97
Cash Records,Other,1,97
Indie‐Pop,Other,1,97
Okayplayer Records,Other,1,97
Kpoint,Other,1,97
Monkeywrench Records,Other,1,97
MAM,Other,1,97
Educational Film Centre,Other,1,96
Constellation,Other,1,96
American Legends / IODA,Other,1,96
Robbins,Other,1,96
Documents,Other,2,96
Castle Communications Deutschland GmbH,Other,1,96
Capital Records,Other,1,96
Saga OPP,Other,1,96
Sundance Music,Other,1,96
Not Guilty,Other,1,96
Elap,Other,1,96
PRMD,Other,1,96
Dakar Records,Other,1,96
Abnak,Other,1,96
JAD,Other,1,96
NN’B,Other,1,96
The Entertainers,Other,1,96
Motor Jam Records,Other,1,96
#1EpicCheck LLC,Other,1,96
Cuca Records,Other,1,96
Dee Jay Jamboree,Other,1,96
Avalon Records,Other,1,96
Lightning Records,Other,1,96
BBC Radio 1,Other,1,96
EMI Music South Africa,Universal,1,96
Blow Up,Other,1,96
COMA Records,Other,1,96
Belting Bronco Records,Other,1,96
A&M PM,Other,1,96
Cédé International,Other,1,96
ATILA,Other,1,96
Mika Records,Other,1,96
Ace Records,Other,1,96
LWR,Other,1,96
Stateside,Other,2,96
Gregmark,Other,1,96
UTC Wired,Other,1,96
MCI,Sony,1,96
Vintertainment,Other,1,96
Tan Cressida,Other,1,96
Manifesto,Other,1,96
EP Entertainment,Other,1,96
Rebound,Other,1,96
Music Line Group,Other,1,96
Aftermath Records,Other,1,96
Parlophone France,Warner,1,96
Sweet City,Other,1,96
Asbury Records,Other,1,96
Art & Muzyka,Other,1,96
Norton Records,Other,1,96
Riviera,Other,1,96
Musicbank,Other,1,96
MCA Records Canada,Other,1,96
Interphon Records,Other,1,96
Total Smash,Other,1,96
Connoisseur Collection,Other,1,96
Dial,Other,1,96
Planet Records,Other,1,96
AIM,Other,1,96
Soulife Recordings,Other,1,96
Eel Pie,Other,1,96
Title Tunnes Records,Other,1,96
BBC Music,Other,1,96
Wrasse Records,Other,1,96
Odd Future Records,Sony,1,96
Adeline Records,Other,1,96
OFWGKTA,Other,1,96
Super Sonic,Other,1,96
Young Turks,Other,1,96
Young,Other,1,96
Mother Records,Other,1,96
Edsel,Other,1,96
Cinematic Music Group,Sony,1,96
Eardruma Records,Other,1,96
HurdFurst,Other,1,96
East Records,Other,1,96
Overseas Records,Other,1,96
Altanta International Records,Other,1,96
Golden Core,Other,1,96
Columbia Local,Other,1,96
EST 19XX,Other,1,96
Parrot,Other,2,96
Warner Music Sweden,Warner,1,96
Akarma,Other,1,96
Jonas Enterprises,Other,1,96
Rekords Rekords,Other,1,96
Embassy of Music,Other,1,96
Universal Digital Enterprises,Other,1,96
Venice In Peril Records,Other,1,96
Top Dawg Productions,Other,1,96
pgLang,Other,1,96
Private I Records,Other,1,96
Agent Blonde,Other,1,96
Dojo Limited,Other,1,96
Dojo Records,Other,1,96
Pussycat Dolls JV,Other,1,96
Queen Records,Other,1,96
Arts & Crafts México,Other,1,95
Day by Day Record,Other,1,95
SOURCE MUSIC,Other,1,95
Regime Music Group,Other,1,95
Leedon,Other,1,95
Warner Music Norway,Warner,1,95
Oasis,Other,1,95
"Secret 7""",Other,1,95
Ministry of Sound (Australia),Other,1,95
Perspective Records,Universal,1,95
BMG UK Limited,Other,1,95
M&R Records,Other,1,95
Nautilus Recordings,Other,1,95
Swan Records,Other,1,95
GS9 Music,Other,1,95
EMI Records,Warner,1,95
Time Records,Sony,1,95
Alston Records,Other,1,95
Cutting Records,Other,1,95
Safehouse Records,Universal,1,95
Communion Records,Other,1,95
Hotwire Unlimited,Other,1,95
RCS Quotidiani S.p.A.,Other,1,95
Mega,Other,1,95
Record Records,Other,1,95
Christopher Cross Records,Other,1,95
Contour,Other,1,95
Eleven: A Music Company,Warner,1,95
Violet Records,Other,1,95
ARS,Other,1,95
808 MAFIA,Other,1,95
PUSA Music,Other,1,95
Flipmode Entertainment,Other,1,95
HAIM Productions Inc.,Other,1,95
Fabor,Other,1,95
Delta Leisure Group,Other,1,95
Play 24-7,Other,1,95
Sony Music Nashville,Sony,2,95
BMG Berlin Musik GmbH,Other,1,95
Popllama,Other,1,95
Back Beat Records,Universal,1,95
Sony BMG Nashville,Other,1,95
Group Home,Other,1,95
Teamwrk Records,Other,1,95
Holy Hawk Record Co. Ltd.,Other,1,95
Tiny Evil,Other,1,95
Otto Records,Other,1,95
Modern Records,Other,1,95
ANS Records,Other,1,95
Hope Recordings,Other,1,95
Decision Records,Other,1,95
Hyperspace Records,Other,1,95
Dominion,Other,1,95
Crystal Beats,Other,1,95
EZMNY Records,Other,1,95
Sony Music Entertainment Australia Pty Ltd.,Other,1,95
Masterworks,Sony,1,95
Lácteo Cósmico,Other,1,95
Exotic Location Recordings,Other,1,95
Eyeball Records,Warner,1,95
Universal Music Hong Kong,Universal,1,95
AVM,Other,1,95
11:11 Media,Other,1,95
AS FAR AS I CAN SPIN RECORDS,Other,1,95
Half Rabbit,Other,1,95
Phil Phil Music,Other,1,95
Frontiers Records,Other,1,95
Independent Label Group,Other,1,95
Heiress Records,Other,1,95
Luv Luv Luv Records,Other,1,95
Фирма грамзаписи «Никитин»,Other,1,95
Sony Music Distribution,Sony,1,95
Charisma Records America,Other,1,95
CSI,Other,1,95
Cocomelos Records,Other,1,95
Dangerous Music,Other,1,95
Universal Music AB,Other,1,95
Spinefarm Records U.K.,Other,1,95
Snakefarm Records,Other,1,95
Groove Nation,Other,1,95
Brassland,Other,1,95
Jungle Youth Records,Other,1,94
Blu Kolla Dreams,Other,1,94
Brown Records,Other,1,94
Nyle,Other,1,94
GospoCentric,Other,1,94
Sea Gayle Records,Other,1,94
Aural Apothecary,Other,1,94
Apple Orchard Music,Other,1,94
Babel,Other,1,94
Loud Robot,Other,1,94
Apple Music,Other,1,94
New State Music,Other,1,94
Mr. Kanani,Other,1,94
Black Sleeves,Other,1,94
Polydor Records,Universal,1,94
We Run It Ent.,Other,1,94
Primary Wave,Universal,1,94
Mistletone,Other,1,94
Warlike,Other,1,94
Beyond Music,Sony,1,94
Kakao Entertainment,Other,1,94
BMG Sweden,Other,1,94
Edel Company,Other,1,94
Masterpiece,Other,1,94
The Boardwalk Entertainment Co,Other,1,94
Boogiefuturo,Other,1,94
Revealed Recordings,Other,1,94
Simitar Entertainment,Other,1,94
Afidno,Other,1,94
World Artists Records,Other,1,94
Money,Other,1,94
Castle Music,Other,1,94
Dogs on Acid,Other,1,94
Kent Records,Other,1,94
Trace Trading,Other,1,94
Fermata,Other,1,94
Interhit Records,Other,1,94
Bee Gees Catalog,Other,1,94
TeenAger Records,Other,1,94
SO Empire,Other,1,94
FAX Records,Other,1,94
Éditions Atlas,Other,1,94
Master Classics Records,Other,1,94
Nola Records,Other,1,94
Dunes Records,Other,1,94
F*** Me I'm Famous Records,Other,1,94
Aim Records,Other,1,94
Sabotage,Other,1,94
Symbol Records,Other,1,94
Suzy,Other,1,94
Jam in the Van,Other,1,94
Expansion,Other,1,94
Mobile Disco Records,Other,1,94
ZTT,Other,1,94
Famous Groove,Other,1,94
Forty8Fifty,Other,1,93
Classic Music International,Other,1,93
Yellow Label,Other,1,93
Fifth Amendment Entertainment,Other,1,93
eOne Music UK,Other,1,93
Nuclear Blast,Warner,1,93
Magnum Music Group,Other,1,93
Rajon Music Group,Other,1,93
Wildflower Records,Other,1,93
Felsted,Other,1,93
J.R. Productions,Other,1,93
Casino Total Records,Other,1,93
Amalgam Entertainment,Other,1,93
Rolling Stone,Other,1,93
Mogul Vision,Other,1,93
Electronic Sound,Other,1,93
Intersound,Other,1,93
Lazy Hooks LLC,Other,1,93
Warp,Other,1,93
Catchy Tunes,Other,1,93
One Media Publishing Ltd.,Other,1,93
Congress,Other,1,93
Mainstream Records,Other,1,93
Riva,Other,1,93
Digital Glamour Ent.,Other,1,93
Alternation,Other,1,93
Last Kings Records,Other,1,93
Mr. 305,Other,1,93
Blackstar Records,Other,1,93
Todd,Other,1,93
Betamorph Recordings,Other,1,93
Performance Records,Other,1,93
Hush,Other,1,93
Paramount Studios,Other,1,93
CTK Enterprises,Other,1,93
OKeh,Other,1,93
Dogghouse Records,Other,1,93
DJM Records,Other,1,93
Top Music IP,Other,1,93
Endurance Music Group,Other,1,93
Celluloid,Other,1,93
Movieplay Gold,Other,1,93
Future Classic,Other,1,93
DJ Snake Music LLC,Other,1,93
DJ Snake Music,Other,1,93
Badboy Hardcore,Other,1,93
Commission Records,Other,1,93
earMUSIC,Other,1,93
Brilliant,Other,1,93
Daz Dillinger Recordingz,Other,1,93
D.V. More Record,Other,1,93
Personality,Other,1,93
Five Seven Music,Other,1,93
FloEdCo,Other,1,93
C‐Note Records,Other,1,93
Nickelodeon,Other,1,93
