musicbrainz_artist_id,musicbrainz_artist_mbid,artist_name,youtube_url,youtube_id,url_type
51,2d67239c-aa40-4ad5-a807-9052b66857a6,Le Tigre,https://music.youtube.com/channel/UC94Lc2it8zuhXVmh-6gyNZg,UC94Lc2it8zuhXVmh-6gyNZg,channel_id
1900,7289d10d-d8d2-41ff-8308-c56ec9346e07,Texas,https://music.youtube.com/channel/UC58oD_SfKF8WMCSd9gWUObA,UC58oD_SfKF8WMCSd9gWUObA,channel_id
305003,b2f1149b-171a-4bc5-ac8f-3baf9a566abf,LeToya Luckett,https://www.youtube.com/channel/UCuWyKp5X5CLeXxy0ukIRagw,UCuWyKp5X5CLeXxy0ukIRagw,channel_id
53336,6930c97d-bff1-4fd9-9de3-5341088cb683,Leaders of the New School,https://music.youtube.com/channel/UCxAlxC1zcyCBAw7XNT-MzCA,UCxAlxC1zcyCBAw7XNT-MzCA,channel_id
316910,ffe54de6-5cee-4c0f-8329-f5946f9bc3ff,Lecrae,https://www.youtube.com/channel/UCxuwb_eErNh6okiCGhIf7ww,UCxuwb_eErNh6okiCGhIf7ww,channel_id
388,678d88b2-87b0-403b-b63d-5da7465aecc3,Led Zeppelin,https://music.youtube.com/channel/UCYtap7ujIPaxTS2iCDoMi3g,UCYtap7ujIPaxTS2iCDoMi3g,channel_id
48053,617a2fbd-fef9-420f-981c-bda2ca103d38,Ledisi,https://www.youtube.com/channel/UC_AUghxf8aRjHthpD_e-4Vg,UC_AUghxf8aRjHthpD_e-4Vg,channel_id
12099,16c5bb7a-35b7-418d-880e-7ed3399f1b40,Lee Ann Womack,https://www.youtube.com/channel/UC67vGQZlUvFA6kGqTXSohTQ,UC67vGQZlUvFA6kGqTXSohTQ,channel_id
36030,91f603ca-b126-42a2-9c29-820ca687347c,Terence Trent D’Arby,https://www.youtube.com/channel/UCZ_lub4220RBkQIkuzgHt3A,UCZ_lub4220RBkQIkuzgHt3A,channel_id
318207,12455562-6e62-4c14-b21c-6f9664af2aa0,Tenth Avenue North,https://www.youtube.com/channel/UCC62qTafQ6qr7pxz0orKk4Q,UCC62qTafQ6qr7pxz0orKk4Q,channel_id
9305,a1235272-3650-4ed7-9317-5a55a08701ec,Lee Morgan,https://www.youtube.com/channel/UCOjVw_NxbOk2_Lk4H7MKUcw,UCOjVw_NxbOk2_Lk4H7MKUcw,channel_id
1358998,c0ef2ba5-a7b7-40ea-bd27-30acccfcac11,Lauv,https://www.youtube.com/channel/UCfLdIEPs1tYj4ieEdJnyNyw,UCfLdIEPs1tYj4ieEdJnyNyw,channel_id
54191,5c6f6348-15b5-4eb5-a8ae-d8a3ee3354a1,Las Ketchup,https://www.youtube.com/channel/UCzsdhsuhnG1YxjkSXayBFtQ,UCzsdhsuhnG1YxjkSXayBFtQ,channel_id
1261414,20d49152-11a2-4e55-8251-0d11dc6424fa,Larry June,https://www.youtube.com/channel/UCMAWWX5HmFvC06IKmY0PiGQ,UCMAWWX5HmFvC06IKmY0PiGQ,channel_id
2065174,7292a1cf-3f5b-4ec5-a4a7-ec91afc556aa,Larray,https://www.youtube.com/channel/UCt_DaLB_NDqPVxezyvcfRtg,UCt_DaLB_NDqPVxezyvcfRtg,channel_id
559418,88d1360a-bc2d-47df-90d1-d2de285560aa,La Roux,https://www.youtube.com/channel/UCpqFltn_Kl3ZZeq_LOmtfew,UCpqFltn_Kl3ZZeq_LOmtfew,channel_id
4761,affa0adf-7be7-4944-b30d-a09baeb7dd28,LaVern Baker,https://music.youtube.com/channel/UCqpdgpTWu7YumFdn1Gij8-w,UCqpdgpTWu7YumFdn1Gij8-w,channel_id
2372895,de7898d0-567b-4c9f-b863-a8177d20d49b,The A's,https://www.youtube.com/channel/UCVHJv34N4WRK1TnGOlRVX3g,UCVHJv34N4WRK1TnGOlRVX3g,channel_id
734972,dc99e6fd-c710-4f79-b74b-127b4d0b7849,Labrinth,https://www.youtube.com/channel/UCGLzRVwflLiCoKKErrMfREg,UCGLzRVwflLiCoKKErrMfREg,channel_id
745163,9d2bd333-ac4d-4271-a41e-a8d805674c4a,Lacey Sturm,https://music.youtube.com/channel/UCpxHp1TS0FLLUjk41yDPGzA,UCpxHp1TS0FLLUjk41yDPGzA,channel_id
103219,fc2b1708-8c78-4e1f-a512-b067de5e6c02,The 4 of Us,https://www.youtube.com/channel/UCwoIdsicOUIobgc9Xd304Ig,UCwoIdsicOUIobgc9Xd304Ig,channel_id
62148,5cab4a1f-9797-42eb-9346-f5f375262a4a,The 2 Live Crew,https://music.youtube.com/channel/UC4lb4B91rYU90Mmk5OCUfRQ,UC4lb4B91rYU90Mmk5OCUfRQ,channel_id
33910,6fea1339-260c-40fe-bb7a-ace5c8438955,Lacuna Coil,https://music.youtube.com/channel/UCw1BUVTZt8qPQW6KsZ8UEyg,UCw1BUVTZt8qPQW6KsZ8UEyg,channel_id
518096,0eedfc95-e79a-4fd9-832a-cd816a0b3fda,Lady A,https://www.youtube.com/channel/UClcR5Ho9kfnj40zaN1enC-Q,UClcR5Ho9kfnj40zaN1enC-Q,channel_id
531923,650e7db6-b795-4eb5-a702-5ea2fc46c848,Lady Gaga,https://music.youtube.com/channel/UCGKXb1syicud01CJOOFRykg,UCGKXb1syicud01CJOOFRykg,channel_id
49852,be23dca9-50e8-455d-9029-1372b299aff0,Lady Saw,https://music.youtube.com/channel/UClP2lCaDAJ2FifJzzZHU9fA,UClP2lCaDAJ2FifJzzZHU9fA,channel_id
2931,7a1daf7f-b972-4808-bc03-2e1e3a79dce0,Lara Fabian,https://www.youtube.com/channel/UC1gUvXeeznSixecbi16b8yg,UC1gUvXeeznSixecbi16b8yg,channel_id
