label,big_3_affiliation,year,#_of_connected_artists,#_of_connected_artists_rolling5,total_power_of_connected_artists,total_power_of_connected_artists_rolling5
Castle Select,Other,1964,1,2,94,193
Castle Select,Other,1965,1,2,40,134
Castle Select,Other,1970,2,2,180,180
Cat-O-Log,Other,1971,1,1,99,99
Catch & Release,Other,1999,1,1,93,93
Catchy Tunes,Other,2005,1,1,93,93
Celluloid,Other,1982,1,1,93,93
Central Park Records,Other,1968,1,1,-86,-86
Central Station,Other,1995,1,1,99,99
Central Station,Other,2014,1,1,31,31
Centricity Music,Other,2015,1,1,73,73
Centricity Music,Other,2016,1,1,72,145
Centricity Music,Other,2018,1,1,98,243
Centropolis Entertainment,Other,1998,1,1,97,97
Century Media,Other,2008,1,1,28,28
Century Media,Other,2010,1,1,61,89
Century Media,Other,2012,1,1,86,175
Certron Corporation,Other,1958,1,1,99,99
Chamillitary,Other,2005,1,1,91,91
Chancellor,Other,1959,1,1,98,98
Chancellor,Other,1962,1,2,96,194
ChanneL Records,Other,1986,1,1,100,100
Chaos Recordings,Sony,1993,1,1,84,84
Chaos Recordings,Sony,1994,1,2,95,179
Charger Records,Other,1965,1,1,88,88
Charisma,Other,1973,1,1,31,31
Charisma,Other,1977,2,2,87,118
Charisma,Other,1978,1,2,87,174
Charisma,Other,1980,2,2,143,317
Charisma,Other,1981,1,2,94,411
Charisma,Other,1982,2,2,141,465
Charisma,Other,1984,1,3,92,470
Charisma,Other,1986,1,3,99,332
Charisma,Other,1991,1,1,95,95
Charisma Catalogue,Other,1977,1,1,54,54
Charisma Records America,Other,1991,1,1,95,95
Charisma Records Ltd.,Other,1978,1,1,87,87
Charisma Records Ltd.,Other,1980,1,1,90,177
Charisma Records Ltd.,Other,1986,1,1,100,100
Charly Films,Other,1992,1,1,93,93
Charly Groove,Other,1971,1,1,80,80
Charly R&B,Other,1959,1,1,81,81
Charly Records,Other,1960,1,1,79,79
Charly Records,Other,1961,1,2,95,174
Charly Records,Other,1963,2,4,134,308
Charly Records,Other,1966,1,3,94,228
Charly Records,Other,1968,2,3,55,149
Charly Records,Other,1969,2,5,144,293
Charly Records,Other,1971,1,5,80,279
Charly Records,Other,1973,1,4,45,269
Charly Records,Other,1979,1,1,100,100
Chattahoochee Records,Other,1963,1,1,98,98
Checker,Other,1965,1,1,97,97
Cheeky Records,Other,2001,1,1,98,98
Chelsea Records,Other,1972,1,1,97,97
Chen Lin,Other,2008,1,1,99,99
Cherry Pop,Other,1984,1,1,21,21
Cherry Pop,Other,1986,1,1,99,120
Cherry Pop,Other,1987,2,3,189,309
Cherry Red Records,Other,1968,1,1,94,94
Cherry Red Records,Other,1974,2,2,28,28
Cherry Red Records,Other,1975,1,3,98,126
Cherry Red Records,Other,1976,1,4,98,224
Cherry Red Records,Other,1980,1,2,98,196
Cherry Red Records,Other,1984,1,2,42,140
Cherry Red Records,Other,1985,1,1,91,133
Cherrytree Records,Universal,2007,1,1,85,85
Cherrytree Records,Universal,2008,1,2,100,185
Cherrytree Records,Universal,2009,1,3,68,253
Cherrytree Records,Universal,2010,2,5,187,440
Cherrytree Records,Universal,2011,3,6,293,733
Cherrytree Records,Universal,2012,1,6,92,740
Cherrytree Records,Universal,2013,1,6,65,705
Chess,Other,1958,1,1,91,91
Chess,Other,1959,1,2,8,99
Chess,Other,1965,1,1,77,77
Chess,Other,1966,1,1,91,168
Chess,Other,1967,1,2,29,197
Chess,Other,1969,1,3,63,260
Chess,Other,1972,1,2,93,156
Chess International,Other,1965,1,1,97,97
Chicago Records,Other,1970,1,1,97,97
Chillum Records,Other,2000,1,1,-15,-15
Chimera Music,Other,1969,1,1,-23,-23
Chimera Music,Other,1971,1,2,-81,-104
Chimera Music,Other,1973,1,2,-92,-196
Chinese Dragon Music,Other,1979,1,1,99,99
Chinese Dragon Music,Other,1989,1,1,76,76
Chinese Dragon Music,Other,1991,1,1,84,160
Chinese Dragon Music,Other,1995,1,1,92,176
Chocolate City Records,Other,1977,1,1,-15,-15
Chocolate City Records,Other,1978,1,1,43,28
Chocolate City Records,Other,1979,1,1,55,83
Chocolate City Records,Other,1980,1,1,76,159
Chocolate City Records,Other,1981,1,1,57,216
Chocolate City Records,Other,1982,1,1,78,309
Chop Shop Records,Warner,2008,1,1,68,68
ChopNotSlop Ent.,Other,1992,1,1,95,95
ChopNotSlop Ent.,Other,2003,1,1,100,100
ChopNotSlop Ent.,Other,2019,1,1,100,100
Chrissie Hynde,Other,1980,1,1,92,92
Christmas Gold,Other,2009,1,1,74,74
Christopher Cross Records,Other,1980,1,1,95,95
Chrome Dreams,Other,1979,1,1,-25,-25
Chrome Dreams,Other,1999,1,1,50,50
Chrome Dreams,Other,2002,1,2,94,144
Chrome Dreams,Other,2017,1,1,100,100
Chronicles,Other,1969,1,1,42,42
Chronicles,Other,1971,1,1,-56,-14
Chronicles,Other,1978,1,1,-57,-57
Chronicles,Other,1982,1,2,97,40
Chronicles,Other,1990,1,1,93,93
Chronicles,Other,1991,1,2,-35,58
Chronicles,Other,1993,2,4,147,205
Chronicles,Other,1994,3,7,89,294
Chronicles,Other,1998,1,4,96,185
Chrysalis,Other,1969,1,1,81,81
Chrysalis,Other,1970,1,1,90,171
Chrysalis,Other,1971,2,2,163,334
Chrysalis,Other,1973,1,3,-5,329
Chrysalis,Other,1974,1,3,94,342
Chrysalis,Other,1975,1,4,85,337
Chrysalis,Other,1976,1,2,91,265
Chrysalis,Other,1978,1,3,100,370
Chrysalis,Other,1979,2,4,189,465
Chrysalis,Other,1980,1,4,92,472
Chrysalis,Other,1982,3,6,211,592
Chrysalis,Other,1983,2,6,192,684
Chrysalis,Other,1984,2,5,197,692
Chrysalis,Other,1985,1,5,60,660
Chrysalis,Other,1986,1,6,22,682
Chrysalis,Other,1987,2,6,179,650
Chrysalis,Other,1988,2,6,179,637
Chrysalis,Other,1989,1,4,94,534
Chrysalis,Other,1990,1,4,83,557
Chrysalis,Other,1991,2,6,71,606
Chrysalis,Other,1992,3,6,224,651
Chrysalis,Other,1993,1,6,98,570
Chrysalis,Other,1994,1,5,76,552
Chrysalis,Other,1995,1,6,99,568
Chrysalis,Other,2008,1,1,92,92
Chrysalis Music Group USA,Other,1987,1,1,93,93
Chrysalis Music Group USA,Other,2005,1,1,34,34
Chrysalis Music Group USA,Other,2009,1,2,90,124
Cicadelic Records,Other,1964,1,1,99,99
Cinematic Music Group,Sony,2015,1,1,96,96
Circa Records,Other,1989,1,1,98,98
Cisco Music,Other,1970,1,1,92,92
City Slang,Other,1994,1,1,49,49
City Slang,Other,2007,1,1,99,99
Clairo Records,Other,2024,1,1,93,93
Classic Compact Discs,Other,1994,1,1,51,51
Classic Compact Discs,Other,1995,1,1,23,74
Classic Music International,Other,1961,1,1,93,93
Classic Pictures,Other,1974,1,1,98,98
Classic Popular,Other,1966,1,1,100,100
Classic Popular,Other,1967,1,1,90,190
Classic Records,Other,1958,2,2,108,108
Classic Records,Other,1967,1,1,54,54
Classic Records,Other,1968,2,3,151,205
Classic Records,Other,1969,1,4,-72,133
Classic Records,Other,1971,2,6,188,321
Classic Records,Other,1972,1,6,32,299
Classic Records,Other,1974,1,4,100,320
Classic Records,Other,1978,1,2,71,171
Classic Records,Other,1986,1,1,99,99
Classic Sound,Other,1965,1,1,93,93
Classics France,Other,1977,1,1,82,82
Classics France,Other,1978,1,1,94,176
Clean Slate,Other,1996,1,1,86,86
Clean Slate,Other,1999,1,2,97,183
Clean Slate,Other,2005,1,1,94,94
Cleopatra Records,Other,1967,1,1,99,99
Cleopatra Records,Other,1968,1,2,96,195
Cleopatra Records,Other,1969,1,3,100,295
Cleopatra Records,Other,1970,1,4,93,388
Cleopatra Records,Other,1972,2,5,191,480
Cleopatra Records,Other,1975,1,3,96,287
Cleopatra Records,Other,1982,2,2,185,185
Cleopatra Records,Other,1983,2,4,197,382
Cleopatra Records,Other,1987,1,3,97,294
Cleopatra Records,Other,1990,1,2,92,189
Cleopatra Records,Other,1992,1,2,100,192
Cleopatra Records,Other,1995,1,2,99,199
Cleveland International Records,Other,1978,1,1,62,62
Cleveland International Records,Other,1981,1,1,56,118
Clouds,Other,1978,1,1,92,92
Clouds Hill,Other,2005,1,1,97,97
Club,Other,1985,1,1,43,43
Club,Other,1986,1,1,95,138
Club Tools,Other,1993,1,1,99,99
Co & Ce Records,Other,1965,1,1,97,97
CoJo Music,Other,2014,1,1,68,68
CoJo Music,Other,2016,1,1,90,158
Coalition Music Records,Other,2001,1,1,20,20
Cocomelos Records,Other,1992,1,1,95,95
Coconut,Other,1970,1,1,98,98
Coconut,Other,1991,1,1,100,100
Coed,Other,1958,1,1,99,99
Coed,Other,1960,1,2,43,142
Coed,Other,1961,1,2,96,238
Coed,Other,1962,1,3,94,332
Cohesion,Other,1974,1,1,-56,-56
Cold Chillin’,Other,1990,1,1,92,92
Colgems,Other,1966,1,1,100,100
Colgems,Other,1967,1,1,100,200
Collectables,Other,1958,1,1,81,81
Collectables,Other,1959,9,10,861,942
Collectables,Other,1960,3,13,289,1231
Collectables,Other,1961,6,19,582,1813
Collectables,Other,1962,7,26,661,2474
Collectables,Other,1963,12,37,1164,3557
Collectables,Other,1964,5,33,482,3178
Collectables,Other,1965,2,32,177,3066
Collectables,Other,1966,5,31,488,2972
Collectables,Other,1967,7,29,657,2968
Collectables,Other,1968,1,18,69,1873
Collectables,Other,1969,3,16,254,1645
Collectables,Other,1970,1,15,91,1559
Collectables,Other,1971,2,14,194,1265
Collectables,Other,1972,3,10,290,898
Collectables,Other,1973,4,13,366,1195
Collectables,Other,1974,3,13,292,1233
Collectables,Other,1975,3,15,164,1306
Collectables,Other,1976,2,15,196,1308
Collectables,Other,1977,2,14,178,1196
Collectables,Other,1978,2,11,198,1028
Collectables,Other,1979,1,9,100,836
Collectables,Other,1980,1,7,92,764
Collectables,Other,1981,2,7,163,731
Collectables,Other,1982,1,7,91,644
Collectables,Other,1983,1,6,96,542
Collectables,Other,1985,1,5,100,450
Collectables,Other,1988,1,2,98,198
Collectables,Other,1990,1,2,92,190
Collectables,Other,1993,1,2,76,168
Collectables Records Corp.,Other,1968,1,1,100,100
Collectables Records Corp.,Other,1975,1,1,96,96
Collectors’ Choice Music,Other,1958,1,1,20,20
Collectors’ Choice Music,Other,1962,2,3,190,210
Collectors’ Choice Music,Other,1964,1,3,100,290
Collectors’ Choice Music,Other,1965,1,4,98,388
Collectors’ Choice Music,Other,1966,1,5,21,409
Collectors’ Choice Music,Other,1967,5,8,374,593
Collectors’ Choice Music,Other,1968,1,8,75,668
Collectors’ Choice Music,Other,1969,1,7,-62,506
Collectors’ Choice Music,Other,1970,1,7,99,507
Collectors’ Choice Music,Other,1975,1,1,71,71
Collectors’ Choice Music,Other,1976,1,2,100,171
Collectors’ Choice Music,Other,1978,1,3,94,265
Collectors’ Choice Music,Other,2024,1,1,98,98
ColliPark Music,Other,2002,1,1,45,45
ColliPark Records,Other,2000,1,1,27,27
Colorize,Other,1994,1,1,91,91
Colpix,Other,1961,1,1,100,100
Colpix,Other,1962,1,2,100,200
Colpix,Other,1963,1,3,91,291
Columbia,Other,1958,2,2,137,137
Columbia,Other,1959,5,5,458,595
Columbia,Other,1960,4,8,321,916
Columbia,Other,1961,4,11,276,1192
Columbia,Other,1962,2,12,102,1294
Columbia,Other,1963,5,16,409,1566
Columbia,Other,1964,4,15,354,1462
Columbia,Other,1965,4,15,312,1453
Columbia,Other,1966,3,14,246,1423
Columbia,Other,1967,10,21,610,1931
Columbia,Other,1968,8,22,397,1919
Columbia,Other,1969,6,23,357,1922
Columbia,Other,1970,6,25,352,1962
Columbia,Other,1971,10,30,406,2122
Columbia,Other,1972,12,29,661,2173
Columbia,Other,1973,8,29,460,2236
Columbia,Other,1974,9,30,280,2159
Columbia,Other,1975,7,29,541,2348
Columbia,Other,1976,11,31,579,2521
Columbia,Other,1977,8,26,351,2211
Columbia,Other,1978,8,25,494,2245
Columbia,Other,1979,6,22,378,2343
Columbia,Other,1980,6,21,382,2184
Columbia,Other,1981,7,19,259,1864
Columbia,Other,1982,8,20,367,1880
Columbia,Other,1983,6,20,350,1736
Columbia,Other,1984,9,23,703,2061
Columbia,Other,1985,6,24,533,2212
Columbia,Other,1986,9,29,577,2530
Columbia,Other,1987,6,28,292,2455
Columbia,Other,1988,5,30,403,2508
Columbia,Other,1989,6,26,354,2159
Columbia,Other,1990,8,26,660,2286
Columbia,Other,1991,2,19,161,1870
Columbia,Other,1992,8,22,604,2182
Columbia,Other,1993,9,25,655,2434
Columbia,Other,1994,7,23,513,2593
Columbia,Other,1995,4,19,334,2267
Columbia,Other,1996,6,23,427,2533
Columbia,Other,1997,6,25,416,2345
Columbia,Other,1998,10,25,810,2500
Columbia,Other,1999,15,32,1025,3012
Columbia,Other,2000,7,33,447,3125
Columbia,Other,2001,12,36,728,3426
Columbia,Other,2002,10,39,698,3708
Columbia,Other,2003,6,38,462,3360
Columbia,Other,2004,7,29,420,2755
Columbia,Other,2005,10,33,856,3164
Columbia,Other,2006,6,30,459,2895
Columbia,Other,2007,6,29,335,2532
Columbia,Other,2008,3,28,278,2348
Columbia,Other,2009,9,28,637,2565
Columbia,Other,2010,7,24,505,2214
Columbia,Other,2011,5,24,421,2176
Columbia,Other,2012,8,25,698,2539
Columbia,Other,2013,8,32,770,3031
Columbia,Other,2014,7,31,683,3077
Columbia,Other,2015,4,29,380,2952
Columbia,Other,2016,2,26,196,2727
Columbia,Other,2017,2,21,198,2227
Columbia,Other,2018,1,15,91,1548
Columbia,Other,2019,8,16,621,1486
Columbia,Other,2020,6,16,459,1565
Columbia,Other,2021,6,16,548,1917
Columbia,Other,2022,3,17,250,1969
Columbia,Other,2023,3,18,70,1948
Columbia,Other,2024,3,16,281,1608
Columbia,Other,2025,3,14,284,1433
Columbia House,Other,1968,1,1,100,100
Columbia House,Other,1969,1,2,100,200
Columbia House,Other,1972,2,4,101,301
Columbia House,Other,1976,1,3,96,197
Columbia House,Other,1977,1,2,85,181
Columbia House,Other,1978,1,3,83,264
Columbia House,Other,1979,1,4,100,364
Columbia House,Other,1980,2,6,144,508
Columbia House,Other,1981,1,6,38,450
Columbia House,Other,1982,1,6,90,455
Columbia House,Other,1986,1,2,96,186
Columbia House,Other,1987,3,4,101,197
Columbia House,Other,1988,1,5,79,276
Columbia House,Other,1989,1,6,89,365
Columbia House,Other,1990,3,9,250,615
Columbia House,Other,1991,3,11,270,789
Columbia House,Other,1992,5,12,267,955
Columbia House,Other,1993,2,13,200,1076
Columbia House,Other,1994,3,16,295,1282
Columbia House,Other,1995,1,14,96,1128
Columbia House,Other,1996,1,12,65,923
Columbia House,Other,1997,1,8,97,753
Columbia House,Other,1999,1,4,99,357
Columbia House,Other,2000,1,4,100,361
Columbia House,Other,2001,1,4,-24,272
Columbia House Canada,Other,1984,1,1,100,100
Columbia Local,Other,2003,1,1,96,96
Columbia Music Video,Other,2010,1,1,-11,-11
Columbia Nashville,Sony,1965,2,2,118,118
Columbia Nashville,Sony,1969,1,3,38,156
Columbia Nashville,Sony,1972,1,2,60,98
Columbia Nashville,Sony,1975,1,2,73,133
Columbia Nashville,Sony,1976,1,2,53,186
Columbia Nashville,Sony,1980,1,1,31,84
Columbia Nashville,Sony,1981,1,1,70,101
Columbia Nashville,Sony,1982,1,1,99,200
Columbia Nashville,Sony,1989,1,1,-82,-82
Columbia Nashville,Sony,1990,1,1,31,-51
Columbia Nashville,Sony,1991,1,2,77,26
Columbia Nashville,Sony,1993,1,2,85,111
Columbia Nashville,Sony,2004,1,1,91,91
Columbia Nashville,Sony,2007,1,2,95,186
Columbia Nashville,Sony,2011,1,2,96,191
Columbia Nashville,Sony,2013,1,2,96,192
Columbia Nashville,Sony,2016,1,2,96,192
Columbia Nashville,Sony,2017,2,3,107,299
Columbia Nashville,Sony,2018,1,2,80,283
Columbia Nashville,Sony,2019,1,2,86,369
Columbia Nashville,Sony,2020,1,2,99,468
Columbia Nashville,Sony,2023,1,2,63,248
Columbia Nashville,Sony,2024,1,2,92,254
Columbia Nashville Legacy,Other,1963,1,1,84,84
Columbia Nashville Legacy,Other,1966,1,1,5,89
Columbia Nashville Legacy,Other,2005,1,1,83,83
Columbia Pictures,Other,1987,1,1,100,100
Columbia Pictures,Other,1997,1,1,100,100
Columbia Record Club,Other,1998,1,1,97,97
Columbia Records,Sony,1959,1,1,71,71
Columbia Records,Sony,1961,1,2,98,169
Columbia Records,Sony,1962,2,4,98,267
Columbia Records,Sony,1963,1,4,39,306
Columbia Records,Sony,1964,1,5,97,332
Columbia Records,Sony,1965,2,7,189,521
Columbia Records,Sony,1967,1,5,-30,295
Columbia Records,Sony,1968,3,7,25,281
Columbia Records,Sony,1969,1,6,86,270
Columbia Records,Sony,1970,1,5,92,173
Columbia Records,Sony,1976,1,1,100,100
Columbia Records,Sony,1980,1,2,100,200
Columbia Records,Sony,1992,1,1,90,90
Columbia Records,Sony,2001,1,1,88,88
Columbia Records,Sony,2012,1,1,82,82
Combat,Other,1988,1,1,73,73
Combo Records,Other,1964,1,1,99,99
Comedy Central Records,Warner,2005,1,1,97,97
Comedy Central Records,Warner,2009,1,2,-4,93
Comedy Central Records,Warner,2010,1,1,61,57
Comic Relief,Other,1959,1,1,71,71
Command Records,Other,1964,1,1,98,98
Commission Records,Other,2018,1,1,93,93
Communion Records,Other,2012,1,1,95,95
Companhia Brasileira De Discos Phonogram,Other,1971,1,1,71,71
Companion,Other,1962,1,1,79,79
Concert Live,Other,1973,1,1,71,71
Concord Bicycle Assets,Other,2004,1,1,69,69
Concord Bicycle Music,Other,1988,1,1,98,98
Concord Music Group,Other,1962,1,1,98,98
Concord Records,Other,1966,1,1,100,100
Concord Records,Other,1990,1,1,26,26
Concord Records,Other,2011,1,1,-37,-37
Concord Records,Other,2012,1,2,48,11
Concord Records,Other,2014,1,3,89,100
Concord Records,Other,2017,1,1,91,180
Congress,Other,1963,1,1,93,93
Connoisseur Collection,Other,1964,1,1,96,96
Constellation,Other,1985,1,1,96,96
Contemporary Jazz Masters,Other,1980,1,1,-16,-16
Continental,Other,1972,1,1,100,100
Contour,Other,1958,1,1,95,95
Convoy,Other,1986,1,1,100,100
Cooking Vinyl,Sony,1967,1,1,72,72
Cooking Vinyl,Sony,1974,1,1,18,18
Cooking Vinyl,Sony,1975,1,1,100,118
Cooking Vinyl,Sony,1987,1,1,98,98
Cooking Vinyl,Sony,2007,1,1,81,81
Cooking Vinyl,Sony,2011,1,1,95,176
Cooking Vinyl,Sony,2012,1,2,91,186
Cooking Vinyl,Sony,2014,2,4,138,324
Cooking Vinyl Australia,Other,2003,1,1,38,38
Cooltempo,Other,1986,1,1,93,93
Cooltempo,Other,1991,1,1,-20,-20
Cooltempo,Other,1992,2,2,131,111
Cooltempo,Other,1998,1,1,95,95
Cooperative Music,Other,2010,3,3,296,296
Cooperative Music,Other,2013,1,4,65,361
Copenhagen Records,Universal,2016,1,1,98,98
Corporate Thugz Entertainment,Other,2014,1,1,99,99
Cortés Entertainment,Other,2004,1,1,97,97
Cosmopolitan,Other,1968,1,1,-45,-45
Cotillion,Other,1977,1,1,95,95
Cotillion,Other,1979,1,2,99,194
Cotillion,Other,1984,1,1,26,26
Counter Records,Other,2014,1,1,59,59
Counter Records,Other,2017,1,1,98,157
Counting Crows,Other,1994,1,1,97,97
Country Harvest Records,Other,1963,1,1,99,99
Country Rewind Records,Other,1958,1,1,99,99
Country Stars,Other,1973,1,1,100,100
Country Stars,Other,1975,1,2,100,200
Country Stars,Other,1976,1,3,100,300
Cr2 Records,Other,2000,1,1,93,93
Craft Recordings,Universal,1969,2,2,22,22
Craft Recordings,Universal,1970,1,3,98,120
Craft Recordings,Universal,1971,2,5,78,198
Craft Recordings,Universal,1977,1,1,85,85
Craft Recordings,Universal,1978,1,1,38,123
Craft Recordings,Universal,1983,1,1,23,23
Craft Recordings,Universal,1996,1,1,97,97
Craft Recordings,Universal,1997,1,2,79,176
Craft Recordings,Universal,1999,1,2,100,276
Craft Recordings,Universal,2002,1,2,9,109
Craft Recordings,Universal,2003,2,4,16,125
Craft Recordings,Universal,2004,3,5,263,288
Craft Recordings,Universal,2006,1,6,26,314
Craft Recordings,Universal,2009,1,2,80,106
Craft Recordings,Universal,2010,2,3,16,122
Craft Recordings,Universal,2012,1,3,91,187
Craft Recordings,Universal,2014,1,3,92,199
Craft Recordings Latino,Other,2004,1,1,75,75
Craft Recordings Latino,Other,2007,1,1,92,167
Craig,Other,1970,1,1,97,97
Crave,Other,1997,2,2,194,194
Create Music Group,Other,2018,1,1,99,99
Creation Records,Other,1995,1,1,97,97
Creation Records,Other,1996,1,1,93,190
Creative Sounds Ltd.,Other,1968,1,1,77,77
Creative Sounds Ltd.,Other,1969,1,1,47,124
Creator Records under exclusive license to Universal Music Romania,Other,2010,1,1,90,90
Crest,Other,1961,1,1,39,39
Crewe Records,Other,1969,1,1,98,98
Crimson,Other,1970,1,1,96,96
Crimson,Other,1981,1,1,91,91
Critique Records,Other,1995,1,1,99,99
Croatia Records,Other,2008,1,1,97,97
Crocodile Beat,Other,1984,1,1,62,62
Crusader Records,Other,1964,1,1,98,98
CrusaderBeach,Other,1985,1,1,100,100
Crystal,Other,1969,1,1,47,47
Crystal Beats,Other,1964,1,1,95,95
Cub Records,Other,1959,2,2,198,198
Cube Records,Other,1967,1,1,96,96
Cube Records,Other,1968,1,1,77,173
Cube Records,Other,1969,1,1,69,242
Cube Records,Other,1970,1,1,67,309
Cuca Records,Other,1960,1,1,96,96
Cult Legends,Other,1984,1,1,100,100
Culture Factory,Other,1967,1,1,95,95
Culture Factory,Other,1979,1,1,82,82
Culture Factory,Other,1980,1,1,42,124
Culture Factory,Other,1985,1,1,93,93
Cultures of Soul Records,Other,1998,1,1,98,98
Curb Denon Records,Other,1996,1,1,98,98
Curb Records,Warner,1966,1,1,99,99
Curb Records,Warner,1971,1,1,87,87
Curb Records,Warner,1974,1,2,96,183
Curb Records,Warner,1976,1,2,100,196
Curb Records,Warner,1977,2,4,200,396
Curb Records,Warner,1978,1,5,100,496
Curb Records,Warner,1992,1,1,97,97
Curb Records,Warner,1994,1,2,100,197
Curb Records,Warner,1995,1,2,76,273
Curb Records,Warner,1996,2,4,53,326
Curb Records,Warner,1997,3,4,287,516
Curb Records,Warner,1998,1,4,40,556
Curb Records,Warner,2000,1,4,82,462
Curb Records,Warner,2002,1,1,-46,76
Curb Records,Warner,2003,2,2,157,193
Curb Records,Warner,2005,1,2,94,205
Curb Records,Warner,2006,1,3,98,303
Curb Records,Warner,2008,1,3,91,283
Curb Records,Warner,2010,1,3,57,246
Curb Records,Warner,2012,1,2,96,244
Curb Records,Warner,2018,1,1,94,94
Curb | Word,Other,2012,1,1,-27,-27
Curb | Word,Other,2018,1,1,94,94
Curtom,Other,1971,1,1,80,80
Curtom Records,Other,1971,1,1,61,61
Curvve Recordings,Other,1987,1,1,99,99
Custard,Other,2005,1,1,100,100
Cut & Run,Other,1997,1,1,80,80
Cutting Records,Other,1991,1,1,95,95
Cédé International,Other,1959,1,1,96,96
C‐Note Records,Other,1995,1,1,93,93
D.V. More Record,Other,1965,1,1,93,93
D58 Mixes,Other,1984,1,1,91,91
DALE PLAY Records,Other,2022,1,1,22,22
DALE PLAY Records,Other,2023,1,1,92,114
DAS Label,Other,2000,1,1,93,93
DAS Label,Other,2011,1,1,36,36
DAS Label,Other,2014,1,1,96,132
DBK Works,Other,1968,1,1,100,100
DCC Compact Classics,Other,1967,1,1,98,98
DCC Compact Classics,Other,1971,1,2,86,184
DCC Compact Classics,Other,1972,1,2,99,185
DCC Compact Classics,Other,1974,3,4,271,456
DCC Compact Classics,Other,1975,2,6,197,653
DCC Compact Classics,Other,1976,3,8,290,857
DCC Compact Classics,Other,1977,2,9,195,953
DCC Compact Classics,Other,1978,2,11,182,1135
DCC Compact Classics,Other,1984,1,1,53,53
DCC Compact Classics,Other,1986,1,1,72,125
DCC Compact Classics,Other,1989,1,2,100,172
DCC Compact Classics,Other,1990,1,2,9,181
DCC Jazz,Other,1961,1,1,97,97
DCC Recording,Other,1978,1,1,82,82
DCD2,Other,2008,1,1,-11,-11
DCD2,Other,2009,1,2,97,86
DD172,Other,2010,1,1,62,62
DEL Records,Other,1992,1,1,98,98
DEL Records,Other,2008,1,1,3,3
DEP International,Other,1983,1,1,87,87
DEP International,Other,1984,1,1,100,187
DEP International,Other,1986,1,1,48,235
DEP International,Other,1987,1,1,-20,215
DEP International,Other,1988,1,1,57,185
DEP International,Other,1990,1,1,71,156
DEP International,Other,1993,1,1,95,166
DFA Records,Other,2007,1,1,55,55
DFA Records,Other,2010,1,1,91,146
DG Records,Other,1986,1,1,7,7
DG Records,Other,1990,1,1,61,68
DGC Records,Universal,1979,1,1,98,98
DGC Records,Universal,1990,1,1,95,95
DGC Records,Universal,1991,1,2,100,195
DGC Records,Universal,1994,2,4,140,335
DGC Records,Universal,1995,1,4,-3,237
DGC Records,Universal,1996,1,3,80,217
DGC Records,Universal,1998,1,3,92,309
DGC Records,Universal,1999,1,3,67,236
DGC Records,Universal,2002,1,2,93,252
DGC Records,Universal,2005,1,2,91,184
DGC Records,Universal,2009,1,2,95,186
DGC Records,Universal,2011,1,2,74,169
DHX Music,Other,2021,1,1,99,99
DJ Snake Music,Other,2016,1,1,93,93
DJ Snake Music LLC,Other,2016,1,1,93,93
DJ:,Other,1989,1,1,64,64
DJ:,Other,1991,1,2,99,163
DJM Records,Other,1970,1,1,93,93
DMRemix,Other,1982,1,1,-76,-76
DPR-TMC,Other,1978,1,1,100,100
DSP,Other,2009,1,1,42,42
DTIFC,Other,1997,1,1,49,49
DTS Entertainment,Other,1975,1,1,97,97
DTS Entertainment,Other,1989,1,1,93,93
DTS Entertainment,Other,1997,1,1,-8,-8
DTox,Other,1984,1,1,42,42
DTox,Other,1985,1,1,91,133
Da Band Music,Other,2012,1,1,10,10
Dack Janiel's Music,Other,2014,1,1,98,98
Dack Janiels Records,Other,2014,1,1,98,98
Daemon Records,Other,1970,1,1,100,100
Daft Life Limited,Other,1997,1,1,40,40
Daily Mail,Other,1983,2,2,196,196
Daily Mail,Other,1985,1,3,91,287
Dakar Records,Other,1968,1,1,96,96
Dance Plant Records,Other,1966,1,1,99,99
Dance Street,Other,1982,1,1,99,99
Dangerbird Records,Other,2007,1,1,21,21
Dangerbird Records,Other,2009,1,1,94,115
Dangerous Music,Other,1992,1,1,95,95
Danya Records Ltd.,Other,1986,1,1,93,93
Dash,Other,1978,1,1,92,92
Data Records,Other,2005,1,1,93,93
Data Records,Other,2009,1,2,98,191
Date,Other,1966,1,1,80,80
Date,Other,1967,1,1,71,151
Day by Day Record,Other,2005,1,1,95,95
DayDream Records,Other,1976,1,1,79,79
Daylight,Other,2000,1,1,-84,-84
Daylight,Other,2002,1,1,94,10
Daz Dillinger Recordingz,Other,1998,1,1,93,93
Dead Oceans,Other,2002,1,1,-60,-60
Dead Oceans,Other,2018,1,1,49,49
Dead Oceans,Other,2022,1,1,96,145
Dead Silence Records,Other,2020,1,1,91,91
Deadbeats,Other,2002,1,1,-38,-38
Deadline Music,Other,1984,2,2,53,53
Deadline Music,Other,1987,1,2,78,131
Death Row Records,Other,1993,1,1,93,93
Death Row Records,Other,1995,2,3,200,293
Death Row Records,Other,1996,2,5,200,493
Death Row Records,Other,1998,1,5,93,493
Decaydance,Other,2005,1,1,92,92
Decaydance,Other,2006,1,2,94,186
Decaydance,Other,2009,1,3,97,283
Decaydance,Other,2010,2,4,194,385
Decca,Other,1967,1,1,98,98
Decca Classics,Universal,1967,1,1,91,91
Decca Records,Universal,1958,5,5,485,485
Decca Records,Universal,1959,1,6,97,582
Decca Records,Universal,1961,2,8,184,766
Decca Records,Universal,1962,1,9,12,778
