performer_normalized,performer,first_song_year,last_song_year,first_album_year,last_album_year,years_active_on_charts,#_of_unique_years_active,total_charting_songs,total_charting_albums,#1_hit_song_count,#1_hit_album_count,top_10_song_count,top_10_album_count,top_20_song_count,top_20_album_count,top_50_song_count,top_50_album_count,highest_charting_song_name,highest_charting_song_position,first_charting_song_name,first_charting_song_position,first_charting_song_duration,total_charting_songs_duration_weeks,highest_charting_album_name,highest_charting_album_position,first_charting_album_name,first_charting_album_position,first_charting_album_duration,total_charting_albums_duration_weeks,tags,genre_tags_musicbrainz,first_year_on_chart_songs,first_year_top_20_songs,first_year_top_10_songs,first_year_num1_songs,first_year_on_chart_albums,first_year_top_20_albums,first_year_top_10_albums,first_year_num1_albums,aggregate_labels,first_top_10_hit_song_genre_tags,first_top_10_hit_album_genre_tags,genre_tags_through_first_top_10_hit,top_10_hit_song_in_first_year_on_charts,top_10_hit_album_in_first_year_on_charts,top_10_hit_album_or_song_in_first_year_on_charts,years_before_first_top_10_hit_song,years_before_first_top_10_hit_album,years_before_first_top_10_hit_song_or_album,top_10_1hit_wonder_song,top_10_1hit_wonder_album,top_10_hitmaker_songs,top_10_hitmaker_albums,musicbrainz_artist_id,degree_centrality_top10_yearly,degree_centrality_firstsong_yearly,degree_centrality_top10_rolling10,degree_centrality_firstsong_rolling10,degree_centrality_top10_cumulative,degree_centrality_firstsong_cumulative,closeness_centrality_top10_yearly,closeness_centrality_firstsong_yearly,closeness_centrality_top10_rolling10,closeness_centrality_firstsong_rolling10,closeness_centrality_top10_cumulative,closeness_centrality_firstsong_cumulative,harmonic_closeness_centrality_top10_yearly,harmonic_closeness_centrality_firstsong_yearly,harmonic_closeness_centrality_top10_rolling10,harmonic_closeness_centrality_firstsong_rolling10,harmonic_closeness_centrality_top10_cumulative,harmonic_closeness_centrality_firstsong_cumulative,betweenness_centrality_top10_yearly,betweenness_centrality_firstsong_yearly,betweenness_centrality_top10_rolling10,betweenness_centrality_firstsong_rolling10,betweenness_centrality_top10_cumulative,betweenness_centrality_firstsong_cumulative,eigenvector_centrality_top10_yearly,eigenvector_centrality_firstsong_yearly,eigenvector_centrality_top10_rolling10,eigenvector_centrality_firstsong_rolling10,eigenvector_centrality_top10_cumulative,eigenvector_centrality_firstsong_cumulative
dem franchize boyz,Dem Franchize Boyz,2004.0,2006.0,2004.0,2008.0,2004-2008,4,5,3,0,0,1,1,2,1,3,1,"Lean Wit It, Rock Wit It",7,White Tee's,79,13,86,On Top Of Our Game,5,Dem Franchize Boyz,106,4,32,hip hop,hip hop,2004.0,2005.0,2006.0,,2004.0,2006.0,2006.0,,"So So Def, Virgin, Universal, Universal Records, BMG Direct",,,,False,False,False,2.0,2.0,2.0,True,True,False,False,246956.0,0.0029615004935834,,0.0011314350367716,,0.0005806077027288,,0.0029615004935834,,0.0840137478554035,,0.1220968608897585,,3.0,,506.31537906536215,,1335.2239593739953,,0.0,,0.0008107903592288,,0.0005271002611301,,3.232747843048577e-50,,2.581743748742279e-06,,7.008390338996273e-07,
demi lovato,Demi Lovato,2008.0,2022.0,2008.0,2025.0,2008-2025,16,35,10,0,1,4,9,8,9,20,9,Sorry Not Sorry,6,This Is Me,9,7,377,Here We Go Again,1,Don't Forget,2,45,277,"pop, pop rock, teen pop, dance-pop, electropop, queer, english, female vocals, vyrzukhisuc-artiest, 2010s","pop, pop rock, teen pop, dance-pop, electropop",2008.0,2008.0,2008.0,,2008.0,2008.0,2008.0,2009.0,"Walt Disney Records, Hollywood Records",,,,True,True,True,0.0,0.0,0.0,False,False,True,True,527516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deniece williams,Deniece Williams,1976.0,1988.0,1976.0,1984.0,1976-1988,9,8,8,1,0,2,0,2,2,4,4,Let's Hear It For The Boy,1,Free,25,20,91,That's What Friends Are For,19,This Is Niecy,33,36,172,"soul, disco, dance-pop, classic pop and rock, pop soul, r&b, contemporary r&b","soul, disco, dance-pop, pop soul, r&b, contemporary r&b",1976.0,1982.0,1982.0,1984.0,1976.0,1978.0,,,"CBS, Columbia, Discos CBS",,,"pop, disco, soul, r&b",False,False,False,6.0,,6.0,False,False,True,False,9385.0,,,0.0005675368898978,,0.0002855511136493,,,,0.0005675368898978,,0.1115117002999499,,,,1.0,,419.74954628704813,,,,0.0,,0.0,,,,2.6469777099612547e-32,,1.2823926005380616e-05,
dennis coffey & the detroit guitar band,Dennis Coffey & The Detroit Guitar Band,1971.0,1972.0,,,1971-1972,2,3,0,0,0,1,0,2,0,2,0,Scorpio,6,Scorpio,6,17,33,,0,,0,0,0,,,1971.0,1971.0,1971.0,,,,,,,,,,True,False,True,0.0,,0.0,True,False,False,False,130561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dennis deyoung,Dennis DeYoung,1984.0,1986.0,1984.0,1986.0,1984-1986,2,4,2,0,0,1,0,1,0,1,1,Desert Moon,10,Desert Moon,10,22,40,Desert Moon,29,Desert Moon,29,25,33,"rock, progressive rock, 2008 universal fire victim","rock, progressive rock",1984.0,1984.0,1984.0,,1984.0,,,,A&M Records,,,,True,False,True,0.0,,0.0,True,False,False,False,85371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dennis yost,Dennis Yost,1968.0,1969.0,,,1968-1969,2,3,0,0,0,2,0,3,0,3,0,Traces,2,Stormy,5,15,38,,0,,0,0,0,,,1968.0,1968.0,1968.0,,,,,,Rebound,pop,,pop,True,False,True,0.0,,0.0,False,False,True,False,123663.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deodato,Deodato,1973.0,1982.0,1973.0,1978.0,1973-1982,5,4,5,0,0,1,1,1,2,2,2,Also Sprach Zarathustra (2001),2,Also Sprach Zarathustra (2001),2,12,31,Prelude,3,Prelude,3,26,103,"jazz, bossa nova, latin jazz, jazz, drums, singer, drummer, sideman, percussionnist, jazz","jazz, bossa nova, latin jazz, jazz, jazz",1973.0,1973.0,1973.0,,1973.0,1973.0,1973.0,,"CTI, CBS, Epic",,,,True,True,True,0.0,0.0,0.0,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deon estus,Deon Estus,1989.0,1989.0,1989.0,1989.0,1989-1989,1,1,1,0,0,1,0,1,0,1,0,Heaven Help Me,5,Heaven Help Me,5,16,16,Spell,89,Spell,89,15,15,"pop, american, rhythm and blues",pop,1989.0,1989.0,1989.0,,1989.0,,,,"Mika Records, PolyGram, Polydor","pop, ballad",,"pop, ballad",True,False,True,0.0,,0.0,True,False,False,False,150100.0,,,0.0004024144869215,0.0004024144869215,0.0002089864158829,0.0002089864158829,,,0.0004024144869215,0.0004024144869215,0.0002089864158829,0.0002089864158829,,,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,,,4.841713484779448e-42,4.841713484779448e-42,2.540212985222212e-51,2.540212985222212e-51
depeche mode,Depeche Mode,1985.0,2005.0,1981.0,2023.0,1981-2023,21,17,22,0,1,1,8,3,9,8,12,Enjoy The Silence,8,People Are People,13,18,197,Songs Of Faith And Devotion,1,Speak & Spell,192,9,392,"electronic, synth-pop, new wave, synthpop, alternative rock, british, dark wave, alternative dance, electronic rock, electronica","electronic, synth-pop, new wave, alternative rock, dark wave, alternative dance, electronic rock, electronica",1985.0,1985.0,1990.0,,1981.0,1990.0,1990.0,1993.0,"BMG Direct Marketing, Inc., Intercord, Mute, Sire Records, Reprise Records, Rhino, Alfa, Columbia, Gresham Records, DMRemix, BMG, Dischi Ricordi S.p.A., BMG Rights Management, Festival Records",,,electronic,False,False,False,5.0,9.0,9.0,True,False,False,True,317.0,0.0015197568389057,,0.0018594272963927,0.0010293360782295,0.0009885330170027,0.0005070993914807,0.0015197568389057,,0.0021875615251678,0.0010293360782295,0.0011961249505733,0.0005070993914807,1.0,,7.166666666666666,2.0,7.499999999999999,2.0,0.0,,9.676216153995998e-06,1.030396156579933e-06,1.5822783572923086e-06,0.0,7.67805619360856e-32,,8.282087958423467e-35,6.432353470353844e-33,4.2171399431810957e-39,1.2903092859943901e-42
derek & the dominos,Derek & The Dominos,1971.0,1971.0,1970.0,2011.0,1970-2011,5,2,4,0,0,1,0,1,2,1,2,Layla,10,Layla,10,25,27,Layla,16,Layla,16,77,105,,,1971.0,1971.0,1971.0,,1970.0,1970.0,,,,,,,True,False,False,0.0,,1.0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
des'ree,Des'ree,1994.0,1995.0,1994.0,1998.0,1994-1998,3,2,2,0,0,1,0,1,0,1,1,You Gotta Be,5,You Gotta Be,5,44,55,I Ain't Movin',27,I Ain't Movin',27,45,47,,,1994.0,1994.0,1994.0,,1994.0,,,,,,,,True,False,True,0.0,,0.0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desiigner,Desiigner,2016.0,2017.0,2016.0,2018.0,2016-2018,3,4,2,1,0,1,0,1,0,3,1,Panda,1,Panda,1,40,73,New English,22,New English,22,17,18,"hip hop, pop rap, east coast hip hop, trap rap","hip hop, pop rap, east coast hip hop",2016.0,2016.0,2016.0,2016.0,2016.0,,,,"Def Jam Recordings, G.O.O.D. Music, [no label]",,,,True,False,True,0.0,,0.0,True,False,False,False,1327733.0,0.0010917030567685,0.0010917030567685,0.0002428953121204,0.0002428953121204,0.0001221224888563,0.0001221224888563,0.0884235197117293,0.0884235197117293,0.1297622118889566,0.1297622118889566,0.1440201073367167,0.1440201073367167,178.3492063492058,178.3492063492058,1206.466569541565,1206.466569541565,2554.649688220365,2554.649688220365,0.0,0.0,0.0,0.0,0.0,0.0,0.0023224780283551,0.0023224780283551,0.0111602388397107,0.0111602388397107,1.370997964057622e-06,1.370997964057622e-06
desmond dekker and the aces,Desmond Dekker And The Aces,1969.0,1969.0,1969.0,1969.0,1969-1969,1,1,1,0,0,1,0,1,0,1,0,Israelites,9,Israelites,9,10,10,Israelites,153,Israelites,153,3,3,,,1969.0,1969.0,1969.0,,1969.0,,,,,,,,True,False,True,0.0,,0.0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
destiny's child,Destiny's Child,1997.0,2005.0,1998.0,2013.0,1997-2013,10,13,9,4,2,10,4,11,4,13,6,"Bills, Bills, Bills",1,"No, No, No",3,35,313,Survivor,1,Destiny's Child,67,26,281,,,1997.0,1997.0,1997.0,1999.0,1998.0,1999.0,1999.0,2001.0,,,,,True,False,True,0.0,1.0,0.0,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dexys midnight runners,Dexys Midnight Runners,1983.0,1983.0,1983.0,1983.0,1983-1983,1,2,1,1,0,1,0,1,1,1,1,Come On Eileen,1,Come On Eileen,1,23,27,Too-rye-ay,14,Too-rye-ay,14,24,24,"new wave, blue-eyed soul, northern soul, pop soul, pop rock, celtic soul, soul, celtic rock, ska","new wave, blue-eyed soul, northern soul, pop soul, pop rock, soul, celtic rock, ska",1983.0,1983.0,1983.0,1983.0,1983.0,1983.0,,,"Mercury Records, Universal Music Group International",,,,True,False,True,0.0,,0.0,True,False,False,False,9017.0,,,0.0011305822498586,0.0011305822498586,0.0005530973451327,0.0005530973451327,,,0.0011305822498586,0.0011305822498586,0.0005530973451327,0.0005530973451327,,,2.0,2.0,2.0,2.0,,,1.1318611890553498e-06,1.1318611890553498e-06,0.0,0.0,,,7.660528233723775e-32,7.660528233723775e-32,6.133373056416127e-41,6.133373056416127e-41
diana ross,Diana Ross & The Supremes,1967.0,1985.0,1967.0,2018.0,1967-2018,31,51,43,8,3,18,7,26,12,43,28,Love Child,1,Reflections,2,11,626,Diana Ross And The Supremes Greatest Hits,1,Diana Ross And The Supremes Greatest Hits,1,89,929,,,1967.0,1967.0,1967.0,1968.0,1967.0,1967.0,1967.0,1967.0,,,,,True,True,True,0.0,0.0,0.0,False,False,True,True,9386.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diane guerrero,Diane Guerrero,2022.0,2022.0,,,2022-2022,1,2,0,1,0,1,0,1,0,2,0,We Don't Talk About Bruno,1,We Don't Talk About Bruno,1,20,34,,0,,0,0,0,,,2022.0,2022.0,2022.0,2022.0,,,,,,,,,True,False,True,0.0,,0.0,True,False,False,False,2271019.0,0.001591723040191,0.001591723040191,0.0003232062055591,0.0003232062055591,0.0001745505323791,0.0001745505323791,0.0030568317476395,0.0030568317476395,0.1380164967690016,0.1380164967690016,0.1441584501932018,0.1441584501932018,8.5,8.5,1818.8482323233252,1818.8482323233252,3484.8744580967723,3484.8744580967723,0.0,0.0,0.0,0.0,0.0,0.0,4.287201449597683e-08,4.287201449597683e-08,5.600106790470154e-05,5.600106790470154e-05,2.053982919832601e-07,2.053982919832601e-07
diane renay,Diane Renay,1964.0,1964.0,,,1964-1964,1,2,0,0,0,1,0,1,0,2,0,Navy Blue,6,Navy Blue,6,12,20,,0,,0,0,0,,,1964.0,1964.0,1964.0,,,,,,"20th Century-Fox Records, Marginal Records",,,,True,False,True,0.0,,0.0,True,False,False,False,85533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dick and deedee,Dick and DeeDee,1961.0,1965.0,,,1961-1965,5,8,0,0,0,1,0,3,0,5,0,The Mountain's High,2,The Mountain's High,2,15,69,,0,,0,0,0,,,1961.0,1961.0,1961.0,,,,,,,,,,True,False,True,0.0,,0.0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dickey lee,Dickey Lee,1962.0,1976.0,,,1962-1976,4,6,0,0,0,1,0,3,0,3,0,Patches,6,Patches,6,14,60,,0,,0,0,0,country,country,1962.0,1962.0,1962.0,,,,,,Smash Records,,,,True,False,True,0.0,,0.0,True,False,False,False,73299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dickie goodman,Dickie Goodman,1961.0,1977.0,1975.0,1975.0,1961-1977,8,12,1,0,0,1,0,1,0,7,0,Mr. Jaws,4,The Touchables In Brooklyn,42,6,68,Mr. Jaws And Other Fables,144,Mr. Jaws And Other Fables,144,8,8,death by suicide,,1961.0,1975.0,1975.0,,1975.0,,,,"Rainy Wednesday, Cash Records",pop,,pop,False,False,False,14.0,,14.0,True,False,False,False,114060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diddy,Diddy,2006.0,2023.0,2006.0,2023.0,2006-2023,4,6,2,0,1,2,1,2,2,4,2,Come To Me,9,Come To Me,9,20,88,Press Play,1,Press Play,1,33,40,"hip hop, rapist, east coast hip hop, domestic abuser, southern hip hop, criminal, pop rap, hip-hop, hip hop, pop rap","hip hop, east coast hip hop, southern hip hop, pop rap, hip hop, pop rap",2006.0,2006.0,2006.0,,2006.0,2006.0,2006.0,2006.0,"Bad Boy Records, Atlantic, Bad Boy Entertainment",,,,True,True,True,0.0,0.0,0.0,False,True,True,False,65660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dido,Dido,2000.0,2003.0,2000.0,2019.0,2000-2019,6,3,5,0,0,1,2,2,3,2,5,Thank You,3,Stan,51,15,95,No Angel,4,No Angel,4,69,130,"pop, trip hop, downtempo, electropop, folktronica, uk, singer, singer-songwriter, jazz, alternative rock","pop, trip hop, downtempo, electropop, folktronica, singer-songwriter, jazz, alternative rock",2000.0,2001.0,2001.0,,2000.0,2000.0,2000.0,,"Arista, Cheeky Records, Ministry of Sound, Arista Records, Inc., BMG",,,,False,True,True,1.0,0.0,0.0,True,False,False,True,2642032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dinah washington,Dinah Washington,1959.0,1963.0,,,1959-1963,5,21,0,0,0,3,0,4,0,8,0,Baby (You've Got What It Takes),5,What A Diff'rence A Day Makes,8,20,142,,0,,0,0,0,"jazz, blues, vocal jazz, standards, traditional pop, r&b, rhythm & blues","jazz, blues, vocal jazz, traditional pop, r&b",1959.0,1959.0,1959.0,,,,,,"Mercury Records, Verve",,,,True,False,True,0.0,,0.0,False,False,True,False,15667.0,0.0166666666666666,0.0166666666666666,0.021108179419525,0.021108179419525,0.0187695516162669,0.0187695516162669,0.0177777777777777,0.0177777777777777,0.1301996513721269,0.1301996513721269,0.1622160292536216,0.1622160292536216,3.5,3.5,117.22341269841294,117.22341269841294,180.74126984126997,180.74126984126997,0.0003103662321539,0.0003103662321539,0.0229452777967267,0.0229452777967267,0.0245122274855302,0.0245122274855302,1.7368469028363997e-27,1.7368469028363997e-27,0.0689807624282846,0.0689807624282846,0.0036745893481218,0.0036745893481218
dino,Dino,1988.0,1993.0,1989.0,1990.0,1988-1993,4,8,2,0,0,2,0,2,0,7,1,Romeo,6,Summergirls,50,12,127,24/7,34,24/7,34,48,69,"indie rock, alternative rock, post-rock, blackgaze, russian, heavy rock, session, photographe, noise rock, composer","indie rock, alternative rock, post-rock, blackgaze, noise rock",1988.0,1989.0,1989.0,,1989.0,,,,"4th & B’way, Fourth and Broadway Records",,,,False,False,False,1.0,,1.0,False,False,True,False,2536943.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dion,Dion & The Belmonts,1958.0,1989.0,1968.0,1989.0,1958-1989,12,30,6,1,0,9,0,10,0,23,0,Runaround Sue,1,No One Knows,24,16,268,Dion,128,Dion,128,11,49,"doo-wop, pop, standards, rock & roll","doo-wop, pop",1958.0,1959.0,1959.0,,,,,,"Laurie Records, Classic Records, CEMA Special Markets, Collectables",,,"rock, rockabilly, blues rock, rock and roll, doo-wop",False,False,False,1.0,,1.0,False,False,True,False,647225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dion (di muci),Dion (Di Muci),1963.0,1963.0,,,1963-1963,1,1,0,0,0,1,0,1,0,1,0,Donna The Prima Donna,6,Donna The Prima Donna,6,11,11,,0,,0,0,0,,,1963.0,1963.0,1963.0,,,,,,,,,,True,False,True,0.0,,0.0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dion di muci,Dion Di Muci,1963.0,1964.0,,,1963-1964,2,2,0,0,0,1,0,1,0,1,0,Drip Drop,6,Drip Drop,6,11,15,,0,,0,0,0,,,1963.0,1963.0,1963.0,,,,,,,,,,True,False,True,0.0,,0.0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dionne,Dionne & Friends,1985.0,1987.0,,,1985-1987,2,2,0,1,0,1,0,1,0,1,0,That's What Friends Are For,1,That's What Friends Are For,1,23,30,,0,,0,0,0,,,1985.0,1985.0,1985.0,1985.0,,,,,,,,,True,False,True,0.0,,0.0,True,False,False,False,953428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dionne farris,Dionne Farris,1995.0,1995.0,1995.0,1995.0,1995-1995,1,1,1,0,0,1,0,1,0,1,0,I Know,4,I Know,4,38,38,Wild Seed-Wild Flower,57,Wild Seed-Wild Flower,57,20,20,"pop rock, neo soul, contemporary r&b","pop rock, neo soul, contemporary r&b",1995.0,1995.0,1995.0,,1995.0,,,,Columbia,,,,True,False,True,0.0,,0.0,True,False,False,False,64835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dionne warwick,Dionne Warwick,1962.0,1998.0,1967.0,1990.0,1962-1998,26,51,29,0,0,10,2,16,7,34,16,(Theme From) Valley Of The Dolls,2,Don't Make Me Over,21,12,493,Valley Of The Dolls,6,"Dionne Warwick's Golden Hits, Part One",10,69,720,"pop, soul, adult contemporary, quiet storm, pop soul, rock, smooth soul, easy listening, soft rock","pop, soul, quiet storm, pop soul, rock, smooth soul, easy listening, soft rock",1962.0,1963.0,1963.0,,1967.0,1967.0,1967.0,,"Scepter, Black Tulip, Disques Vogue, Edsel Records",,,,False,True,False,1.0,0.0,1.0,False,False,True,True,16172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dionne warwicke,Dionne Warwicke,1971.0,1974.0,,,1971-1974,3,3,0,1,0,1,0,1,0,1,0,Then Came You,1,Amanda,83,5,27,,0,,0,0,0,,,1971.0,1974.0,1974.0,1974.0,,,,,,,,,False,False,False,3.0,,3.0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diplo,Skrillex & Diplo,2015.0,2025.0,2012.0,2018.0,2012-2025,7,4,5,0,0,1,0,1,0,1,1,Where Are U Now,8,Where Are U Now,8,45,59,Skrillex And Diplo Present Jack U,26,Express Yourself (EP),197,1,51,,,2015.0,2015.0,2015.0,,2015.0,,,,,,,,True,False,False,0.0,,3.0,True,False,False,False,153653.0,0.0070880094506792,0.0070880094506792,0.0060349255264509,0.0060349255264509,0.0031551835157759,0.0031551835157759,0.0499203533495837,0.0499203533495837,0.1321141604336064,0.1321141604336064,0.1618647970374486,0.1618647970374486,103.9621933621936,103.9621933621936,1199.012792762786,1199.012792762786,2755.1241280777795,2755.1241280777795,0.0050355967207483,0.0050355967207483,0.0140307286687688,0.0140307286687688,0.0059989783685639,0.0059989783685639,2.3190695740272654e-07,2.3190695740272654e-07,0.0005364868882618,0.0005364868882618,5.1523310977306864e-06,5.1523310977306864e-06
dire straits,Dire Straits,1979.0,1986.0,1979.0,1993.0,1979-1993,10,7,10,1,1,3,2,4,6,5,7,Money For Nothing,1,Sultans Of Swing,4,15,93,Brothers In Arms,1,Dire Straits,2,41,306,"rock, soft rock, classic rock, pop rock, roots rock, british, rock and roll, guitar, pub rock, sophisti-pop","rock, soft rock, classic rock, pop rock, roots rock, rock and roll, pub rock, sophisti-pop",1979.0,1979.0,1979.0,1985.0,1979.0,1979.0,1979.0,1985.0,"EMI, Immortal, Immortal Records, BMG Direct Marketing, Inc., Chinese Dragon Music",,,,True,True,True,0.0,0.0,0.0,False,False,True,True,233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disclosure,Disclosure,2014.0,2015.0,2013.0,2020.0,2013-2020,4,2,3,0,0,1,1,1,1,1,3,Latch,7,Latch,7,33,39,Caracal,9,Settle,36,20,32,"house, uk garage, electronic, future garage, uk funky","house, uk garage, electronic, future garage, uk funky",2014.0,2014.0,2014.0,,2013.0,2015.0,2015.0,,"Island, PMR Records, Universal, Cherrytree Records, Cooperative Music, Interscope Records, Capitol Records",,,,True,False,False,0.0,2.0,1.0,True,True,False,False,1270844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disco tex,Disco Tex & The Sex-O-Lettes,1974.0,1976.0,1975.0,1975.0,1974-1976,3,4,1,0,0,1,0,1,0,2,1,Get Dancin',10,Get Dancin',10,15,38,Disco Tex And The Sex-O-Lettes,36,Disco Tex And The Sex-O-Lettes,36,22,22,,,1974.0,1974.0,1974.0,,,,,,,,,,True,False,True,0.0,,0.0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
divine,Divine,1998.0,1999.0,1998.0,1998.0,1998-1999,2,2,1,1,0,1,0,1,0,2,0,Lately,1,Lately,1,27,36,Fairy Tales,126,Fairy Tales,126,21,21,"post-rock, dark ambient, tabriz, iran, ambient, hamid sarami, post-metal, iranian, sadistic divine, one-man band","post-rock, dark ambient, ambient, post-metal",1998.0,1998.0,1998.0,1998.0,1998.0,,,,"CNR Music, Pendulum Records, Red Ant Entertainment","pop, contemporary r&b",,"pop, contemporary r&b",True,False,True,0.0,,0.0,True,False,False,False,1429518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
divinyls,Divinyls,1986.0,1991.0,1985.0,1991.0,1985-1991,3,2,2,0,0,1,0,1,1,1,1,I Touch Myself,4,Pleasure And Pain,76,7,25,Divinyls,15,What A Life,91,18,44,"pop rock, new wave, rock and indie, pleasure and pain","pop rock, new wave",1986.0,1991.0,1991.0,,1985.0,1991.0,,,"Virgin, Virgin America",,,,False,False,False,5.0,,6.0,True,False,False,False,62791.0,,0.0023364485981308,0.0003498950314905,0.0004863813229571,0.0001886080724254,0.0002424242424242,,0.0023364485981308,0.0003498950314905,0.0004863813229571,0.0001886080724254,0.0002424242424242,,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,5.5960005404836235e-18,1.8724146479050216e-46,2.2142298600407352e-33,1.4956799476035422e-51,6.5436896527568115e-47
dixie chicks,Dixie Chicks,1998.0,2019.0,1998.0,2016.0,1998-2019,11,18,7,0,3,3,4,4,4,13,5,Not Ready To Make Nice,4,There's Your Trouble,36,16,284,Fly,1,Wide Open Spaces,4,134,417,,,1998.0,2000.0,2002.0,,1998.0,1998.0,1998.0,1999.0,,,,,False,True,True,4.0,0.0,0.0,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dj khaled,DJ Khaled,2006.0,2023.0,2006.0,2022.0,2006-2023,17,56,13,1,4,7,10,12,13,27,13,I'm The One,1,Holla At Me,59,4,448,Major Key,1,Listennn: The Album,12,7,248,"hip hop, pop rap, gangsta rap, contemporary r&b, southern hip hop, trap rap, congratulations you played yourself, another one, we the best music, english","hip hop, pop rap, gangsta rap, contemporary r&b, southern hip hop",2006.0,2007.0,2011.0,2017.0,2006.0,2006.0,2007.0,2016.0,"KOCH Records, E1 Entertainment, Cash Money Records, Universal Republic Records, Universal Motown",hip hop,,,False,False,False,5.0,1.0,1.0,False,False,True,True,353670.0,0.0024330900243309,0.0009871668311944,0.0019534429431873,0.0003771450122572,0.0009434703986162,0.0001935359009096,0.0499402418685051,0.0009871668311944,0.1183426840255154,0.0786222368050406,0.1445607887499027,0.0999969873605336,72.53611111111117,1.0,847.2160728160712,451.387634587619,2005.6252525254124,1076.166486291443,1.353911025443872e-06,0.0,0.0004692599707894,0.0001158271941755,0.000182217365779,0.0015903987313424,0.1107560197314349,9.898647893473952e-62,1.0529024630460962e-05,6.610846604590509e-07,3.632277679463266e-06,2.042093613274406e-09
dj sammy & yanou,DJ Sammy & Yanou,2002.0,2002.0,,,2002-2002,1,1,0,0,0,1,0,1,0,1,0,Heaven,8,Heaven,8,27,27,,0,,0,0,0,,,2002.0,2002.0,2002.0,,,,,,,,,,True,False,True,0.0,,0.0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dj snake,DJ Snake,2014.0,2019.0,2016.0,2019.0,2014-2019,5,8,2,0,0,3,1,6,1,6,2,Turn Down For What,4,Turn Down For What,4,37,197,Encore,8,Encore,8,39,45,"dance, hip hop, edm, contemporary r&b, electropop, moombahton, alternative r&b, trap, 2010s, hip hop","dance, hip hop, edm, contemporary r&b, electropop, moombahton, alternative r&b, trap, hip hop",2014.0,2014.0,2014.0,,2016.0,2016.0,2016.0,,"Columbia, [no label], DJ Snake Music, DJ Snake Music LLC, Interscope Records",,,,True,True,True,0.0,0.0,0.0,False,True,True,False,1839685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
djo,Djo,2024.0,2024.0,2024.0,2025.0,2024-2025,2,1,2,0,0,1,0,1,0,1,2,End Of Beginning,6,End Of Beginning,6,27,27,Decide,24,Decide,24,17,21,"ai, software as artist, software, french house, house, afrobeats, jazz, indie rock, indie pop, world fusion","french house, house, afrobeats, jazz, indie rock, indie pop, world fusion",2024.0,2024.0,2024.0,,2024.0,,,,"AWAL Recordings, [no label]",,,,True,False,True,0.0,,0.0,True,False,False,False,2107002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dna,DNA,1990.0,1990.0,,,1990-1990,1,1,0,0,0,1,0,1,0,1,0,Tom's Diner,5,Tom's Diner,5,21,21,,0,,0,0,0,"no wave, ambient, black metal, post-punk, pop yeh-yeh, turkish, q-pop, jazz, jazz, deep house","no wave, ambient, black metal, post-punk, pop yeh-yeh, q-pop, jazz, jazz, deep house",1990.0,1990.0,1990.0,,,,,,,,,,True,False,True,0.0,,0.0,True,False,False,False,1866362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
