performer_normalized,performer,first_song_year,last_song_year,first_album_year,last_album_year,years_active_on_charts,#_of_unique_years_active,total_charting_songs,total_charting_albums,#1_hit_song_count,#1_hit_album_count,top_10_song_count,top_10_album_count,top_20_song_count,top_20_album_count,top_50_song_count,top_50_album_count,highest_charting_song_name,highest_charting_song_position,first_charting_song_name,first_charting_song_position,first_charting_song_duration,total_charting_songs_duration_weeks,highest_charting_album_name,highest_charting_album_position,first_charting_album_name,first_charting_album_position,first_charting_album_duration,total_charting_albums_duration_weeks,tags,genre_tags_musicbrainz,first_year_on_chart_songs,first_year_top_20_songs,first_year_top_10_songs,first_year_num1_songs,first_year_on_chart_albums,first_year_top_20_albums,first_year_top_10_albums,first_year_num1_albums,aggregate_labels,first_top_10_hit_song_genre_tags,first_top_10_hit_album_genre_tags,genre_tags_through_first_top_10_hit,top_10_hit_song_in_first_year_on_charts,top_10_hit_album_in_first_year_on_charts,top_10_hit_album_or_song_in_first_year_on_charts,years_before_first_top_10_hit_song,years_before_first_top_10_hit_album,years_before_first_top_10_hit_song_or_album,top_10_1hit_wonder_song,top_10_1hit_wonder_album,top_10_hitmaker_songs,top_10_hitmaker_albums
chamillionaire,Chamillionaire,2005.0,2009.0,2005.0,2007.0,2005-2009,4,7,2,1,0,2,2,2,2,5,2,Ridin',1,Turn It Up,41,20,111,Ultimate Victory,8,The Sound Of Revenge,10,46,54,"hip hop, southern hip hop, pop rap, dirty south","hip hop, southern hip hop, pop rap, dirty south",2005.0,2006.0,2006.0,2006.0,2005.0,2005.0,2005.0,,"Universal Records, Dogs on Acid, LaFace Records, Legacy, Chamillitary","hip hop, dance, soul, southern hip hop, crunk, r&b",,,False,True,True,1,0,0,False,False,True,True
chance the rapper,Chance The Rapper,2013.0,2020.0,2016.0,2025.0,2013-2025,8,15,5,1,0,3,3,3,3,8,4,I'm The One,1,Confident,41,3,123,The Big Day,2,Coloring Book,8,125,155,"hip hop, rap, pop rap, english, alternative hip hop, abstract hip hop, r&b, jazz rap, conscious hip hop, trap","hip hop, pop rap, alternative hip hop, abstract hip hop, r&b, jazz rap, conscious hip hop, trap",2013.0,2020.0,2020.0,,2016.0,2016.0,2016.0,,"Atlantic, VICE Records, [no label], Def Jam Recordings, Raymond Braun Media Group",,,"hip hop, conscious hip hop",False,True,False,7,0,3,False,False,True,True
chappell roan,Chappell Roan,2024.0,2025.0,2024.0,2024.0,2024-2025,2,9,1,0,0,4,1,5,1,6,1,The Subway,3,"Good Luck, Babe!",4,52,216,The Rise And Fall Of A Midwest Princess,2,The Rise And Fall Of A Midwest Princess,2,98,98,"synth-pop, queer, dance-pop, alternative pop, pop, indie pop, gay pop, pop rock, electropop, singer-songwriter","synth-pop, dance-pop, alternative pop, pop, indie pop, pop rock, electropop, singer-songwriter",2024.0,2024.0,2024.0,,2024.0,2024.0,2024.0,,"Amusement Records, Island, [no label], Atlantic","pop, indie pop, ballad, synth-pop",,"pop, indie pop, ballad, synth-pop",True,True,True,0,0,0,False,True,True,False
charice,Charice,2009.0,2010.0,2010.0,2010.0,2009-2010,2,2,1,0,0,0,1,0,1,1,1,Note To God,44,Note To God,44,1,3,Charice,8,Charice,8,8,8,,,2009.0,,,,2010.0,2010.0,2010.0,,,,,,False,True,False,,0,1,False,True,False,False
charli xcx,Charli XCX,2013.0,2025.0,2015.0,2025.0,2013-2025,10,14,9,1,0,3,3,4,3,7,5,Fancy,1,I Love It,7,29,190,Brat,3,Sucker,28,8,113,"electropop, dance-pop, hyperpop, synth-pop, electronic, uk, pop, 2020s, 2010s, pc music","electropop, dance-pop, hyperpop, synth-pop, electronic, pop",2013.0,2013.0,2013.0,2014.0,2015.0,2022.0,2022.0,,"Atlantic, Big Beat, Record Company TEN, Asylum Records, Asylum Records UK, Boiler Room, Atlantic Records UK",,"pop, electro, synth-pop, dance-pop",,True,False,True,0,7,0,False,False,True,True
charlie puth,Charlie Puth,2015.0,2024.0,2015.0,2022.0,2015-2024,7,13,4,1,0,4,3,5,3,9,4,See You Again,1,See You Again,1,52,304,Voicenotes,4,Some Type Of Love EP,37,20,150,"pop, contemporary r&b, ballad, dance-pop, neo soul, contemporary pop/rock, soft pop, social media pop, soul","pop, contemporary r&b, ballad, dance-pop, neo soul, soul",2015.0,2015.0,2015.0,2015.0,2015.0,2016.0,2016.0,,"Atlantic, Artist Partner, Otto Records",,,,True,False,True,0,1,0,False,False,True,True
charlie rich,Charlie Rich,1960.0,1976.0,1973.0,1977.0,1960-1977,8,13,11,1,0,1,1,5,1,11,4,The Most Beautiful Girl,1,Lonely Weekends,22,21,156,Behind Closed Doors,8,Behind Closed Doors,8,105,257,"rockabilly, country, traditional country, soul, country pop","rockabilly, country, traditional country, soul, country pop",1960.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,,"Bear Family Records, Charly Records, Hilltop Records, Mercury Records, Philips, Epic, CBS, Country Stars, Legacy, Rajon Music Group",,,,False,True,False,13,0,13,True,True,False,False
charlie wilson,Charlie Wilson,1998.0,2024.0,2001.0,2017.0,1998-2024,9,5,7,0,0,0,4,0,6,2,6,Whatcha Wanna Do?,41,Whatcha Wanna Do?,41,7,39,Uncle Charlie,2,Bridging The Gap,152,10,108,"soul, r&b, rnb, ballad, contemporary r&b","soul, r&b, ballad, contemporary r&b",1998.0,,,,2001.0,2005.0,2005.0,,"Major Hits Records, P.C.P.E, Jive, Sony BMG Music Entertainment, Zomba",,,,False,False,False,,4,7,False,False,False,True
charlotte church,Charlotte Church,,,1999.0,2002.0,1999-2002,4,0,5,0,0,0,1,0,2,0,4,,0,,0,0,0,Dream A Dream,7,Voice Of An Angel,28,77,147,"classical, experimental, british, uk, welsh, female vocalist, pop and chart, child prodigy, electronic, religious music","classical, experimental, electronic",,,,,1999.0,2000.0,2000.0,,"Sony Classical, Columbia",,,"classical, opera",False,False,False,,1,1,False,True,False,False
chase rice,Chase Rice,2013.0,2021.0,2013.0,2020.0,2013-2021,8,6,4,0,0,0,1,0,2,2,3,Drinkin' Beer. Talkin' God. Amen.,24,Ready Set Roll,54,21,80,Ignite The Night,3,Ready Set Roll (EP),16,4,67,"country, country pop","country, country pop",2013.0,,,,2013.0,2013.0,2014.0,,"Dack Janiel's Music, Dack Janiels Records",,,,False,False,False,,1,1,False,True,False,False
cheap trick,Cheap Trick,1978.0,1990.0,1977.0,2021.0,1977-2021,20,16,22,1,0,3,2,4,3,13,10,The Flame,1,Surrender,62,8,203,Cheap Trick At Budokan,4,In Color,73,12,285,"hard rock, power pop, pop rock, rock, aln-sh, classic rock, soft rock, aor","hard rock, power pop, pop rock, rock, classic rock, soft rock, aor",1978.0,1979.0,1979.0,1988.0,1977.0,1979.0,1979.0,,"CBS Special Products, Epic, Memory Lane, Suzy, [no label], Legacy, BMG Direct, Friday Music, Epic Records International",,,,False,False,False,1,2,2,False,False,True,True
cheech & chong,Cheech & Chong,1973.0,1985.0,1971.0,1985.0,1971-1985,10,8,8,0,0,1,3,2,3,6,5,Earache My Eye,9,Basketball Jones Featuring Tyrone Shoelaces,15,11,76,Big Bambu,2,Cheech And Chong,28,64,303,2008 universal fire victim,,1973.0,1973.0,1974.0,,1971.0,1972.0,1972.0,,"Ode Records, Rhino, A&M Records",,,,False,False,False,1,1,1,True,False,False,True
chef raekwon,Chef Raekwon,1995.0,1995.0,1999.0,1999.0,1995-1999,2,1,1,0,0,0,1,0,1,1,1,Glaciers Of Ice/Criminology,43,Glaciers Of Ice/Criminology,43,9,9,Immobilarity,9,Immobilarity,9,9,9,,,1995.0,,,,1999.0,1999.0,1999.0,,,,,,False,True,False,,0,4,False,True,False,False
cher,Sonny & Cher,1965.0,2023.0,1967.0,2024.0,1965-2024,26,52,37,5,0,17,6,24,8,37,19,I Got You Babe,1,I Got You Babe,1,14,568,Closer To The Truth,3,The Best Of Sonny & Cher,23,64,765,"pop, baroque pop, pop rock, sunshine pop, folk pop, pop soul, soft pop, 2008 universal fire victim","pop, baroque pop, pop rock, sunshine pop, folk pop, pop soul",1965.0,1965.0,1965.0,1965.0,1967.0,1972.0,,,"ATCO Records, Atlantic, Flashback Records, Reprise Records",,,,True,False,True,0,,0,False,False,True,True
cher lloyd,Cher Lloyd,2012.0,2013.0,2012.0,2014.0,2012-2014,3,3,2,0,0,0,1,1,2,2,2,Want U Back,12,Want U Back,12,20,40,Sticks & Stones,9,Sticks & Stones,9,22,26,"pop, pop rap, teen pop","pop, pop rap, teen pop",2012.0,2012.0,,,2012.0,2012.0,2012.0,,"Epic, Syco Music",,,,False,True,True,,0,0,False,True,False,False
cherish,Cherish,2003.0,2022.0,2006.0,2008.0,2003-2022,4,5,2,0,0,0,1,1,1,4,2,Do It To It,12,In Love Wit Chu,44,16,81,Unappreciated,4,Unappreciated,4,25,30,"folk, celtic, celtic folk, irish-american, deathcore, kpop, girl group, hip hop, hip hop rnb and dance hall, r&b","folk, celtic, deathcore, hip hop, r&b",2003.0,2006.0,,,2006.0,2006.0,2006.0,,"Capitol Records, Sho’nuff Records",,,,False,True,False,,0,3,False,True,False,False
chevelle,Chevelle,2002.0,2004.0,2002.0,2025.0,2002-2025,12,3,11,0,0,0,5,0,8,0,8,The Red,56,The Red,56,20,52,La Gargola,3,Wonder What's Next,14,49,159,"alternative metal, alternative rock, nu metal, garage rock","alternative metal, alternative rock, nu metal, garage rock",2002.0,,,,2002.0,2002.0,2004.0,,"Epic, Epic Records International, Legacy",,,,False,False,False,,2,2,False,False,False,True
chic,Chic,1977.0,1982.0,1977.0,1982.0,1977-1982,6,9,7,2,0,4,2,4,2,6,4,Le Freak,1,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",6,28,125,C'est Chic,4,Chic,27,40,144,"rock, country, jazz, experimental, electronic, soft rock, disco, pop rock, psychedelic rock, aor","rock, country, jazz, experimental, electronic, soft rock, disco, pop rock, psychedelic rock, aor",1977.0,1977.0,1977.0,1978.0,1977.0,1978.0,1978.0,,"ATCO Records, Atlantic, Cotillion, !K7, 14th Floor Records, 7T’s, Friday Music",,,"funk, disco",True,False,True,0,1,0,False,False,True,True
chicago,Chicago,1969.0,1991.0,1969.0,2014.0,1969-2014,34,46,33,3,5,20,12,28,15,36,21,If You Leave Me Now,1,Questions 67 And 68,71,3,607,Chicago V,1,Chicago Transit Authority,17,171,1153,"rock, soft rock, pop rock, aor, jazz, avant-garde jazz, gospel, free jazz, punk, electro","rock, soft rock, pop rock, aor, jazz, avant-garde jazz, gospel, free jazz, punk, electro",1969.0,1970.0,1970.0,1976.0,1969.0,1969.0,1970.0,1972.0,"CBS, Columbia, Craig, CBS/Sony, CNR Music, Chicago Records",,,,False,False,False,1,1,1,False,False,True,True
chickenfoot,Chickenfoot,,,2009.0,2017.0,2009-2017,3,0,3,0,0,0,2,0,2,0,2,,0,,0,0,0,Chickenfoot,4,Chickenfoot,4,34,41,"rock, hard rock, supergroup","rock, hard rock",,,,,2009.0,2009.0,2009.0,,"Edel Records, Fontana, Redline Entertainment",,,,False,True,True,,0,0,False,False,False,True
chiddy bang,Chiddy Bang,2010.0,2012.0,2010.0,2012.0,2010-2012,2,2,2,0,0,0,1,0,1,0,1,Opposite Of Adults,90,Opposite Of Adults,90,2,4,Breakfast,8,The Preview,76,1,6,,,2010.0,,,,2010.0,2012.0,2012.0,,"EMI, Parlophone, I.R.S. Records, Regal",,,,False,False,False,,2,2,False,True,False,False
childish gambino,Childish Gambino,2013.0,2024.0,2011.0,2024.0,2011-2024,9,9,8,1,0,1,3,2,7,3,7,This Is America,1,V. 3005,64,20,95,"'Awaken, My Love!'",5,Camp,11,24,381,"hip hop, neo soul, r&b, contemporary r&b, nuno","hip hop, neo soul, r&b, contemporary r&b",2013.0,2016.0,2018.0,2018.0,2011.0,2011.0,2013.0,,"[no label], Glassnote, Liberator Music, RCA, Wolf+Rothstein, Caroline International, GlassNote, Caroline Records",,,"hip hop, pop, alternative hip hop, conscious hip hop, electronic",False,False,False,5,2,2,True,False,False,True
chingy,Chingy,2003.0,2008.0,2003.0,2008.0,2003-2008,4,8,4,0,0,4,3,6,3,6,3,Right Thurr,2,Right Thurr,2,33,143,Jackpot,2,Jackpot,2,56,91,"pop rap, contemporary r&b, hip hop, southern hip hop, midwestern hip hop","pop rap, contemporary r&b, hip hop, southern hip hop",2003.0,2003.0,2003.0,,2003.0,2003.0,2003.0,,"Capitol Records, Disturbing tha Peace, Priority Records, EMI",,,,True,True,True,0,0,0,False,False,True,True
chiodos,Chiodos,,,2006.0,2014.0,2006-2014,4,0,4,0,0,0,1,0,2,0,3,,0,,0,0,0,Bone Palace Ballet,5,All's Well That Ends Well,164,1,12,"emo, post-hardcore, alternative hardcore","emo, post-hardcore",,,,,2006.0,2007.0,2007.0,,"Equal Vision Records, Sumerian Records",,post-hardcore,post-hardcore,False,False,False,,1,1,False,True,False,False
chris brown,Chris Brown,2005.0,2025.0,2005.0,2023.0,2005-2025,21,117,13,2,3,17,12,30,12,57,13,Run It!,1,Run It!,1,38,1710,F.A.M.E.,1,Chris Brown,2,77,761,"pop, contemporary r&b, hip hop, 2010s, 2000s, electro house, r&b, electropop, dance, trap","pop, contemporary r&b, hip hop, electro house, r&b, electropop, dance, trap",2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2011.0,"Jive, Legacy, Sony BMG Music Entertainment, BMG Direct, [no label]",,"pop, hip hop, pop rap","pop, hip hop, pop rap",True,True,True,0,0,0,False,False,True,True
chris cagle,Chris Cagle,2000.0,2013.0,2001.0,2012.0,2000-2013,8,9,5,0,0,0,1,0,2,2,4,"I Breathe In, I Breathe Out",35,My Love Goes On And On,76,11,124,My Life's Been A Country Song,8,Play It Loud,164,24,95,"country, contemporary country","country, contemporary country",2000.0,,,,2001.0,2003.0,2008.0,,"Capitol Records, Capitol Records Nashville, Virgin Records Nashville",,,country,False,False,False,,7,8,False,True,False,False
chris cornell,Chris Cornell,2006.0,2006.0,1999.0,2021.0,1999-2021,8,1,9,0,0,0,1,0,4,0,4,You Know My Name,79,You Know My Name,79,2,2,Scream,10,Euphoria Morning,18,8,32,"acoustic rock, alternative rock, rock, pop rock, post-grunge, electropop, singer-songwriter","acoustic rock, alternative rock, rock, pop rock, post-grunge, electropop, singer-songwriter",2006.0,,,,1999.0,1999.0,2009.0,,"A&M Records, Inc., BMG Direct, Interscope Records, Suretone Records, Mosley Music Group, Universal Music Group International",,,,False,False,False,,10,10,False,True,False,False
chris isaak,Chris Isaak,1990.0,1995.0,1987.0,2015.0,1987-2015,13,2,12,0,0,1,1,1,1,2,8,Wicked Game,6,Wicked Game,6,24,44,Heart Shaped World,7,Chris Isaak,194,2,212,"rock, pop rock, rockabilly, roots rock, rock & roll","rock, pop rock, rockabilly, roots rock",1990.0,1990.0,1990.0,,1987.0,1989.0,1989.0,,"Half Rabbit, London Records, Reprise Records, Columbia House, Mailboat Records, BMG Direct Marketing, Inc., Primary Wave",,,,True,False,False,0,2,2,True,True,False,False
chris stapleton,Chris Stapleton,2015.0,2024.0,2015.0,2023.0,2015-2024,9,19,5,0,1,1,5,3,5,10,5,Say Something,9,Tennessee Whiskey,20,6,243,Traveller,1,Traveller,1,543,1071,"country, singer-songwriter, bluegrass, southern rock, outlaw country","country, singer-songwriter, bluegrass, southern rock, outlaw country",2015.0,2015.0,2018.0,,2015.0,2015.0,2015.0,2015.0,"Mercury Nashville, RCA","electronic, pop",,"country, americana, contemporary country",False,True,True,3,0,0,True,False,False,True
chris tomlin,Chris Tomlin,,,2002.0,2020.0,2002-2020,14,0,14,0,1,0,4,0,8,0,10,,0,,0,0,0,Burning Lights,1,Not To Us,161,1,432,"contemporary christian, contemporary worship",contemporary christian,,,,,2002.0,2006.0,2008.0,2013.0,"sixstepsrecords, Sparrow Records",,,,False,False,False,,6,6,False,False,False,True
chris young,Chris Young,2009.0,2024.0,2006.0,2024.0,2006-2024,15,17,9,0,0,0,4,0,6,9,8,Gettin' You Home,33,Gettin' You Home,33,20,261,A.M.,3,Chris Young,22,6,224,"country, contemporary country","country, contemporary country",2009.0,,,,2006.0,2009.0,2011.0,,"RCA, Sony Music, RCA Nashville, Sony Music Nashville",,,,False,False,False,,5,5,False,False,False,True
chrisette michele,Chrisette Michele,2006.0,2010.0,2007.0,2016.0,2006-2016,6,3,5,0,1,0,1,0,2,1,4,Aston Martin Music,30,Lost One,58,8,31,Epiphany,1,I Am,29,41,104,"soul, jazz, neo soul, hip hop soul, r&b, contemporary r&b","soul, jazz, neo soul, hip hop soul, r&b, contemporary r&b",2006.0,,,,2007.0,2009.0,2009.0,2009.0,"Def Jam Recordings, The Island Def Jam Music Group",,,,False,False,False,,2,3,False,True,False,False
christina aguilera,Christina Aguilera,1999.0,2013.0,1999.0,2018.0,1999-2018,14,30,10,5,2,11,7,16,7,22,9,Genie In A Bottle,1,Genie In A Bottle,1,25,469,Christina Aguilera,1,Christina Aguilera,1,97,314,"pop, soul, electropop, dance-pop, contemporary r&b, teen pop, adult contemporary, pop and chart, rock","pop, soul, electropop, dance-pop, contemporary r&b, teen pop, rock",1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,"BMG, RCA, 5020 Records, BMG Argentina","pop, dance-pop","pop, dance-pop","pop, dance-pop",True,True,True,0,0,0,False,False,True,True
christina perri,Christina Perri,2010.0,2014.0,2010.0,2014.0,2010-2014,4,5,4,0,0,0,2,1,2,3,2,Jar Of Hearts,17,Jar Of Hearts,17,31,82,lovestrong.,4,Ocean Way Sessions (EP),144,1,61,"pop, singer-songwriter, alternative","pop, singer-songwriter",2010.0,2010.0,,,2010.0,2011.0,2011.0,,Atlantic,,,,False,False,False,,1,1,False,False,False,True
christopher cross,Christopher Cross,1980.0,1985.0,1980.0,1985.0,1980-1985,5,10,3,2,0,4,1,7,2,8,2,Sailing,1,Sailing,1,21,152,Christopher Cross,6,Christopher Cross,6,116,153,"soft rock, classic pop and rock, ballad, rock, aor, yacht rock, aln-sh, pop, singer-songwriter, pop rock","soft rock, ballad, rock, aor, yacht rock, pop, singer-songwriter, pop rock",1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,,"Rhino, Warner Bros. Records, music is fun, BMG, Christopher Cross Records, Columbia House",,"rock, pop, yacht rock","rock, pop, yacht rock",True,True,True,0,0,0,False,True,True,False
chuck berry,Chuck Berry,1958.0,1972.0,1967.0,2019.0,1958-2019,12,21,10,1,0,3,1,5,1,12,4,My Ding-A-Ling,1,Run Rudolph Run,10,31,181,The London Chuck Berry Sessions,8,Chuck Berry's Golden Decade,72,20,125,"rock and roll, rock, rhythm & blues, blues, blues rock, rockabilly, rock & roll, rock-and-roll, soul, classic rock","rock and roll, rock, blues, blues rock, rockabilly, soul, classic rock",1958.0,1958.0,1958.0,1972.0,1967.0,1972.0,1972.0,,"Chess, JB Production, Bellaphon, Geffen Records",,,,True,False,True,0,5,0,False,True,True,False
chuck mangione,Chuck Mangione,1971.0,1980.0,1971.0,1984.0,1971-1984,13,5,17,0,0,1,2,2,3,2,5,Feels So Good,4,Hill Where The Lord Hides,76,6,54,Feels So Good,2,Friends & Love...A Chuck Mangione Concert,116,11,325,"jazz, easy listening, contemporary jazz, jazz pop, smooth jazz, 2008 universal fire victim, jazz","jazz, easy listening, contemporary jazz, jazz pop, smooth jazz, jazz",1971.0,1978.0,1978.0,,1971.0,1977.0,1977.0,,"A&M Records, BMG Direct Marketing, Inc., Mercury Records, Mobile Fidelity Sound Lab, Speakers Corner",,,"jazz, smooth jazz, latin jazz",False,False,False,7,6,6,True,False,False,True
chumbawamba,Chumbawamba,1997.0,1997.0,1997.0,1997.0,1997-1997,1,1,1,0,0,1,1,1,1,1,1,Tubthumping,6,Tubthumping,6,31,31,Tubthumper,3,Tubthumper,3,43,43,"anarcho-punk, alternative dance, art punk, pop rock, alternative rock, anarchist, folk, hip hop, indie pop, punk rock","anarcho-punk, alternative dance, art punk, pop rock, alternative rock, folk, hip hop, indie pop, punk rock",1997.0,1997.0,1997.0,,1997.0,1997.0,1997.0,,"EMI, EMI Electrola, EMI United Kingdom, BMG Direct Marketing, Inc.",,anarcho-punk,anarcho-punk,True,True,True,0,0,0,True,True,False,False
chvrches,CHVRCHES,2019.0,2019.0,2013.0,2021.0,2013-2021,5,1,4,0,0,0,1,0,3,1,4,Here With Me,31,Here With Me,31,16,16,Every Open Eye,8,Bones Of What You Believe,12,22,31,"synth-pop, indie pop, synthpop, indie, indietronica, indie synth pop","synth-pop, indie pop, indietronica",2019.0,,,,2013.0,2013.0,2015.0,,"EMI, Glassnote, Goodbye Records, Hostess Entertainment Unlimited",,,,False,False,False,,2,2,False,True,False,False
ciara,Ciara,2004.0,2018.0,2004.0,2019.0,2004-2019,12,20,7,1,1,7,4,9,5,14,6,Goodies,1,Goodies,1,38,311,Ciara: The Evolution,1,Goodies,3,71,141,"r&b, pop, contemporary r&b, dance-pop, dance, electropop, tango, hip hop, drums, ireland","r&b, pop, contemporary r&b, dance-pop, dance, electropop, tango, hip hop",2004.0,2004.0,2004.0,2004.0,2004.0,2004.0,2004.0,2006.0,"BMG Brasil Ltda., BMG Japan, LaFace Records, Zomba Label Group","rock, pop, dance, house, hip hop, pop rock",,"rock, pop, dance, house, hip hop, pop rock",True,True,True,0,0,0,False,False,True,True
cinderella,Cinderella,1986.0,1991.0,1986.0,1994.0,1986-1994,7,8,4,0,0,0,2,3,3,6,3,Don't Know What You Got (Till It's Gone),12,Nobody's Fool,13,21,108,Night Songs,3,Night Songs,3,70,169,"hard rock, glam metal, disney princess, rock, jazz, blues rock, estados unidos, progressive rock, heavy psych, manila sound","hard rock, glam metal, rock, jazz, blues rock, progressive rock, heavy psych, manila sound",1986.0,1986.0,,,1986.0,1986.0,1986.0,,"BMG Direct, Bad Reputation, Friday Music",,,,False,True,True,,0,0,False,False,False,True
clairo,Clairo,2020.0,2020.0,2019.0,2024.0,2019-2024,4,1,3,0,0,0,1,0,2,0,2,Sofia,98,Sofia,98,1,1,Charm,8,Immunity,51,1,18,"indie pop, indie folk, bedroom pop, alternative, indie, 2010s, 2020s, singer-songwriter, gen z, lo-fi","indie pop, indie folk, bedroom pop, singer-songwriter, lo-fi",2020.0,,,,2019.0,2021.0,2024.0,,"FADER Label, Good Buddy, Republic Records, Clairo Records, Virgin Music Group",,,,False,False,False,,5,5,False,True,False,False
clay aiken,Clay Aiken,2003.0,2004.0,2003.0,2012.0,2003-2012,7,3,7,1,1,2,5,2,5,3,5,This Is The Night,1,This Is The Night,1,16,44,Measure Of A Man,1,Measure Of A Man,1,35,67,"rock, pop, american idol","rock, pop",2003.0,2003.0,2003.0,2003.0,2003.0,2003.0,2003.0,2003.0,"RCA, 19 Recordings, BMG","pop, ballad, pop rock",,"pop, ballad, pop rock",True,True,True,0,0,0,False,False,True,True
clint black,Clint Black,1993.0,2004.0,1989.0,2013.0,1989-2013,13,5,12,0,0,0,1,0,4,3,8,When I Said I Do,31,A Bad Goodbye,43,11,71,The Hard Way,8,Killin' Time,31,143,479,"country, contemporary country, folk, world","country, contemporary country, folk",1993.0,,,,1989.0,1990.0,1992.0,,"BMG Special Products, RCA, RCA Nashville",,,,False,False,False,,3,3,False,True,False,False
clipse,Clipse,2002.0,2025.0,2002.0,2025.0,2002-2025,6,11,4,0,0,0,2,1,3,5,4,When The Last Time,19,When The Last Time,19,21,66,Lord Willin',4,Lord Willin',4,31,53,"hard rock, hip hop, coke rap, psytrance, goa trance, death, jazz, trance, negative aspects of life, black metal","hard rock, hip hop, coke rap, psytrance, goa trance, jazz, trance, black metal",2002.0,2002.0,,,2002.0,2002.0,2002.0,,Star Trak,,,,False,True,True,,0,0,False,False,False,True
club nouveau,Club Nouveau,1987.0,1987.0,1986.0,1988.0,1986-1988,3,2,2,1,0,1,1,1,1,2,1,Lean On Me,1,Lean On Me,1,17,30,"Life, Love And Pain",6,"Life, Love And Pain",6,44,50,"r&b, new jack swing, go-go, pop soul, contemporary r&b","r&b, new jack swing, go-go, pop soul, contemporary r&b",1987.0,1987.0,1987.0,1987.0,1986.0,1986.0,1986.0,,"King Jay Records, Tommy Boy, Warner Bros. Records",,,,True,True,True,0,0,0,True,True,False,False
cmw,CMW,,,1994.0,1996.0,1994-1996,2,0,2,0,0,0,1,0,2,0,2,,0,,0,0,0,We Come Strapped,5,We Come Strapped,5,14,22,,,,,,,1994.0,1994.0,1994.0,,,,,,False,True,True,,0,0,False,True,False,False
cobra starship,Cobra Starship,2009.0,2011.0,2006.0,2011.0,2006-2011,4,3,4,0,0,2,1,2,1,2,2,Good Girls Go Bad,7,Good Girls Go Bad,7,25,59,Hot Mess,4,"While The City Sleeps, We Rule The Streets",125,1,14,"electronic, united states",electronic,2009.0,2009.0,2009.0,,2006.0,2009.0,2009.0,,"Edge, Fueled by Ramen, DCD2, Decaydance",,,pop punk,True,False,False,0,3,3,False,True,True,False
cody johnson,Cody Johnson,2019.0,2025.0,2014.0,2023.0,2014-2025,7,10,5,0,0,0,1,3,4,7,5,Travelin' Soldier,12,On My Way To You,78,16,183,Ain't Nothin' To It,9,Cowboy Like Me,33,2,174,country,country,2019.0,2021.0,,,2014.0,2016.0,2019.0,,"CoJo Music, [no label]",,,,False,False,False,,5,5,False,True,False,False
cody simpson,Cody Simpson,,,2011.0,2015.0,2011-2015,4,0,5,0,0,0,1,0,2,0,3,,0,,0,0,0,Surfers Paradise,10,Coast To Coast (EP),12,9,18,"pop, teen pop, contemporary r&b","pop, teen pop, contemporary r&b",,,,,2011.0,2011.0,2013.0,,Atlantic,,,,False,False,False,,2,2,False,True,False,False
coheed and cambria,Coheed And Cambria,,,2003.0,2025.0,2003-2025,11,0,11,0,0,0,6,0,7,0,8,,0,,0,0,0,Year Of The Black Rainbow,5,In Keeping Secrets Of Silent Earth: 3,52,24,76,"progressive rock, alternative rock, progressive metal","progressive rock, alternative rock, progressive metal",,,,,2003.0,2005.0,2005.0,,"Columbia, Equal Vision Records, Legacy",,,,False,False,False,,2,2,False,False,False,True
colbie caillat,Colbie Caillat,2007.0,2014.0,2007.0,2016.0,2007-2016,8,13,10,0,1,1,3,3,4,7,7,Bubbly,5,Bubbly,5,47,206,Breakthrough,1,Coco,5,79,182,"pop, folk pop, country, pop rock, singer/songwriter","pop, folk pop, country, pop rock",2007.0,2007.0,2007.0,,2007.0,2007.0,2007.0,2009.0,"Universal Republic Records, Island, Island Records Group, Universal Records",,,,True,True,True,0,0,0,True,False,False,True
cold,Cold,2003.0,2003.0,2000.0,2011.0,2000-2011,4,1,4,0,0,0,1,0,1,0,3,Stupid Girl,87,Stupid Girl,87,20,20,Year Of The Spider,3,13 Ways To Bleed On Stage,98,27,55,"alternative rock, pop, pop rock, british, atmospheric black metal, alternative rock, post-metal, blackgaze, post-grunge, depressive black metal","alternative rock, pop, pop rock, atmospheric black metal, alternative rock, post-metal, blackgaze, post-grunge, depressive black metal",2003.0,,,,2000.0,2003.0,2003.0,,"Flip Records, Geffen Records, Interscope Records",,,post-grunge,False,False,False,,3,3,False,True,False,False
coldplay,Coldplay,2001.0,2025.0,2000.0,2024.0,2000-2025,19,26,15,1,5,4,9,9,12,16,12,Viva La Vida,1,Yellow,48,20,360,X&Y,1,Parachutes,51,98,571,"alternative rock, pop, pop rock, british, rock, post-britpop, uk, piano rock, dream pop, art pop","alternative rock, pop, pop rock, rock, post-britpop, piano rock, dream pop, art pop",2001.0,2005.0,2005.0,2008.0,2000.0,2002.0,2002.0,2005.0,"EMI, Parlophone, Capitol Records, [no label], Atlantic, BMG Direct Marketing, Inc.",,,britpop,False,False,False,4,2,2,False,False,True,True
