performer_normalized,performer,first_song_year,last_song_year,first_album_year,last_album_year,years_active_on_charts,#_of_unique_years_active,total_charting_songs,total_charting_albums,#1_hit_song_count,#1_hit_album_count,top_10_song_count,top_10_album_count,top_20_song_count,top_20_album_count,top_50_song_count,top_50_album_count,highest_charting_song_name,highest_charting_song_position,first_charting_song_name,first_charting_song_position,first_charting_song_duration,total_charting_songs_duration_weeks,highest_charting_album_name,highest_charting_album_position,first_charting_album_name,first_charting_album_position,first_charting_album_duration,total_charting_albums_duration_weeks
billy gilman,Billy Gilman,2000,2000,2000,2016,2000-2016,4,2,5,0,0,0,0,0,0,1,3,One Voice,38,One Voice,38,19,32,One Voice,22,One Voice,22,48,72
billy grammer,Billy Grammer,1958,1959,0,0,1958-1959,2,3,0,0,0,1,0,1,0,2,0,Gotta Travel On,4,Gotta Travel On,4,20,36,,0,,0,0,0
billy graves,Billy Graves,1959,1959,0,0,1959-1959,1,1,0,0,0,0,0,0,0,0,0,The Shag (Is Totally Cool),53,The Shag (Is Totally Cool),53,9,9,,0,,0,0,0
billy idol,Billy Idol,1982,1990,1981,2021,1981-2021,13,12,12,1,0,4,3,5,4,11,8,Mony Mony,1,Hot In The City,23,27,195,Rebel Yell,6,Don't Stop,71,68,414
billy j. kramer,Billy J. Kramer,1964,1965,0,0,1964-1965,2,6,0,0,0,2,0,2,0,5,0,Little Children,7,Little Children,7,15,54,,0,,0,0,0
billy joe & the checkmates,Billy Joe & The Checkmates,1962,1962,0,0,1962-1962,1,1,0,0,0,1,0,1,0,1,0,Percolator (Twist),10,Percolator (Twist),10,13,13,,0,,0,0,0
billy joe royal,Billy Joe Royal,1965,1978,1970,1970,1965-1978,7,9,1,0,0,1,0,3,0,4,0,Down In The Boondocks,9,Down In The Boondocks,9,13,67,Cherry Hill Park,100,Cherry Hill Park,100,9,9
billy joe shaver,Billy Joe Shaver,0,0,2014,2014,2014-2014,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Long In The Tooth,157,Long In The Tooth,157,1,1
billy joel,Billy Joel,1974,2024,1974,2025,1974-2025,28,43,25,3,4,13,12,23,14,34,20,It's Still Rock And Roll To Me,1,Piano Man,25,14,596,52nd Street,1,Piano Man,27,45,1322
billy lawrence,Billy Lawrence,1994,1997,0,0,1994-1997,2,4,0,0,0,0,0,0,0,2,0,Take It To The Streets,34,Happiness,87,4,47,,0,,0,0,0
billy lee riley,Billy Lee Riley,1972,1972,0,0,1972-1972,1,1,0,0,0,0,0,0,0,0,0,I Got A Thing About You Baby,93,I Got A Thing About You Baby,93,2,2,,0,,0,0,0
billy lemmons,Billy Lemmons,1977,1977,0,0,1977-1977,1,1,0,0,0,0,0,0,0,0,0,Six Packs A Day,93,Six Packs A Day,93,1,1,,0,,0,0,0
billy ocean,Billy Ocean,1976,1989,1981,1989,1976-1989,7,12,5,3,0,7,2,9,3,12,3,Caribbean Queen (No More Love On The Run),1,Love Really Hurts Without You,22,11,216,Love Zone,6,Nights (Feel Like Getting Down),152,3,184
billy paul,Billy Paul,1972,1976,1970,1978,1970-1978,9,4,9,1,0,1,0,1,1,2,1,Me And Mrs. Jones,1,Me And Mrs. Jones,1,16,42,360 Degrees Of Billy Paul,17,Ebony Woman,183,8,118
billy preston,Billy Preston,1969,1982,1972,1981,1969-1982,11,17,8,3,0,6,0,6,1,10,5,Get Back,1,Get Back,1,12,189,The Kids & Me,17,I Wrote A Simple Song,32,38,158
billy rankin,Billy Rankin,1984,1984,0,0,1984-1984,1,1,0,0,0,0,0,0,0,0,0,Baby Come Back,52,Baby Come Back,52,11,11,,0,,0,0,0
billy ray cyrus,Billy Ray Cyrus,1992,2019,1992,2011,1992-2019,13,10,10,1,1,2,2,2,3,4,4,Old Town Road,1,Achy Breaky Heart,4,25,155,Some Gave All,1,Some Gave All,1,97,195
billy satellite,Billy Satellite,1984,1984,1984,1984,1984-1984,1,2,1,0,0,0,0,0,0,0,0,Satisfy Me,64,Satisfy Me,64,6,11,Billy Satellite,139,Billy Satellite,139,6,6
billy squier,Billy Squier,1981,1989,1980,1991,1980-1991,8,11,7,0,0,0,2,2,3,5,3,Rock Me Tonite,15,The Stroke,17,20,118,Don't Say No,5,Tale Of The Tape,169,12,241
billy stewart,Billy Stewart,1962,1967,0,0,1962-1967,5,11,0,0,0,1,0,1,0,4,0,Summertime,10,Reap What You Sow,79,5,69,,0,,0,0,0
billy storm,Billy Storm,1959,1959,0,0,1959-1959,1,1,0,0,0,0,0,0,0,1,0,I've Come Of Age,28,I've Come Of Age,28,14,14,,0,,0,0,0
billy strange,Billy Strange,1964,1965,0,0,1964-1965,2,2,0,0,0,0,0,0,0,0,0,Goldfinger,55,The James Bond Theme,58,10,19,,0,,0,0,0
billy strings,Billy Strings,2024,2024,2021,2024,2021-2024,3,1,4,0,0,0,0,0,0,0,2,M-E-X-I-C-O,83,M-E-X-I-C-O,83,1,1,Highway Prayers,22,Renewal,82,1,4
billy swan,Billy Swan,1974,1975,1974,1974,1974-1975,2,3,1,1,0,1,0,1,0,1,1,I Can Help,1,I Can Help,1,18,27,I Can Help,21,I Can Help,21,16,16
billy talent,Billy Talent,0,0,2003,2012,2003-2012,4,0,4,0,0,0,0,0,0,0,0,,0,,0,0,0,III,107,Billy Talent,194,1,4
billy thorpe,Billy Thorpe,1979,1979,1979,1980,1979-1980,2,1,2,0,0,0,0,0,0,1,1,Children Of The Sun,41,Children Of The Sun,41,10,10,Children Of The Sun,39,Children Of The Sun,39,23,28
billy thunderkloud & the chieftones,Billy Thunderkloud & The Chieftones,1975,1975,0,0,1975-1975,1,1,0,0,0,0,0,0,0,0,0,What Time Of Day,92,What Time Of Day,92,3,3,,0,,0,0,0
billy vaughn and his orchestra,Billy Vaughn And His Orchestra,1958,1966,1967,1970,1958-1970,11,17,8,0,0,0,0,2,0,7,1,A Swingin' Safari,13,La Paloma,26,10,128,Alfie,44,Alfie,44,35,75
billy vera,Billy Vera,1967,1986,1981,1986,1967-1986,4,4,2,1,0,1,0,1,1,3,1,At This Moment,1,Storybook Children,54,9,42,By Request,15,Billy & The Beaters,118,10,36
billy walker,Billy Walker,1960,1960,0,0,1960-1960,1,1,0,0,0,0,0,0,0,0,0,Forever,83,Forever,83,1,1,,0,,0,0,0
billy williams,Billy Williams,1958,1959,0,0,1958-1959,2,3,0,0,0,0,0,0,0,1,0,Nola,39,I'll Get By (As Long As I Have You),99,1,14,,0,,0,0,0
bimbo jet,Bimbo Jet,1975,1975,0,0,1975-1975,1,1,0,0,0,0,0,0,0,1,0,El Bimbo,43,El Bimbo,43,10,10,,0,,0,0,0
bing crosby,Bing Crosby,1958,2026,1969,2024,1958-2026,11,9,8,0,0,0,1,3,3,7,4,White Christmas,12,White Christmas,12,30,120,Ultimate Christmas,2,Hey Jude/Hey Bing!,162,8,229
bingo boys,Bingo Boys,1991,1991,0,0,1991-1991,1,2,0,0,0,0,0,0,0,1,0,How To Dance,25,How To Dance,25,14,20,,0,,0,0,0
bino rideaux,Bino Rideaux,0,0,2021,2021,2021-2021,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Sixtape 2,117,Sixtape 2,117,1,1
biohazard,Biohazard,0,0,1994,1999,1994-1999,3,0,3,0,0,0,0,0,0,0,1,,0,,0,0,0,State Of The World Address,48,State Of The World Address,48,8,10
bionic boogie,Bionic Boogie,0,0,1978,1978,1978-1978,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Bionic Boogie,88,Bionic Boogie,88,16,16
bipolar sunshine,Bipolar Sunshine,2016,2016,0,0,2016-2016,1,1,0,0,0,0,0,1,0,1,0,Middle,20,Middle,20,21,21,,0,,0,0,0
bird york,Bird York,2006,2006,0,0,2006-2006,1,1,0,0,0,0,0,0,0,0,0,In The Deep,64,In The Deep,64,1,1,,0,,0,0,0
birdlegs,Birdlegs,1963,1963,0,0,1963-1963,1,1,0,0,0,0,0,0,0,0,0,Spring,94,Spring,94,2,2,,0,,0,0,0
birdman,Birdman,2006,2022,2005,2021,2005-2022,11,10,7,0,0,0,2,0,4,3,5,Stuntin' Like My Daddy,21,Stuntin' Like My Daddy,21,20,95,"Like Father, Like Son",3,Fast Money,9,7,92
"birdman, jay sean, & lil wayne","Birdman, Jay Sean, & Lil Wayne",2010,2010,0,0,2010-2010,1,1,0,0,0,0,0,0,0,1,0,I Made It (Cash Money Heroes),21,I Made It (Cash Money Heroes),21,20,20,,0,,0,0,0
birdy,Birdy,0,0,2012,2016,2012-2016,3,0,3,0,0,0,0,0,0,0,1,,0,,0,0,0,Fire Within,24,Birdy,62,1,4
biscuit,Biscuit,1990,1990,0,0,1990-1990,1,1,0,0,0,0,0,0,0,0,0,Biscuit's In The House,85,Biscuit's In The House,85,3,3,,0,,0,0,0
bishop andrew merritt & the straight gate mass choir,Bishop Andrew Merritt & The Straight Gate Mass Choir,0,0,2000,2000,2000-2000,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Faith In The House,68,Faith In The House,68,1,1
bishop briggs,Bishop Briggs,0,0,2018,2018,2018-2018,1,0,1,0,0,0,0,0,0,0,1,,0,,0,0,0,Church Of Scars,29,Church Of Scars,29,1,1
bishop dennis leonard,Bishop Dennis Leonard,0,0,2001,2001,2001-2001,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Send It Down: Recorded Live At Fire In The Rockies,163,Send It Down: Recorded Live At Fire In The Rockies,163,1,1
bishop eddie l. long presents new birth total praise choir,Bishop Eddie L. Long Presents New Birth Total Praise Choir,0,0,2004,2004,2004-2004,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Spirit & Truth,79,Spirit & Truth,79,2,2
bishop eddie long & friends,Bishop Eddie Long & Friends,0,0,2009,2009,2009-2009,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,The Kingdom Vol. 1,109,The Kingdom Vol. 1,109,1,1
bishop noel jones presents the city of refuge sanctuary choir,Bishop Noel Jones Presents The City Of Refuge Sanctuary Choir,0,0,2007,2007,2007-2007,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Welcome To The City,172,Welcome To The City,172,1,1
bishop paul s. morton,Bishop Paul S. Morton,0,0,2003,2003,2003-2003,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Let It Rain,169,Let It Rain,169,1,1
bishop paul s. morton presents the fgbcfmc,Bishop Paul S. Morton Presents The FGBCFMC,0,0,2008,2008,2008-2008,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Cry Your Last Tear,117,Cry Your Last Tear,117,2,2
bishop rudolph mckissick jr.,Bishop Rudolph McKissick Jr.,0,0,2012,2012,2012-2012,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Recovery,108,Recovery,108,1,1
bishop t.d. jakes,Bishop T.D. Jakes,0,0,2002,2002,2002-2002,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Woman Thou Art Loosed: Worship 2002 -- Run To The Water... The River Within,83,Woman Thou Art Loosed: Worship 2002 -- Run To The Water... The River Within,83,5,5
bishop t.d. jakes and the potter's house mass choir,Bishop T.D. Jakes And The Potter's House Mass Choir,0,0,2001,2007,2001-2007,3,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,The Storm Is Over,56,The Storm Is Over,56,10,15
biz markie,Biz Markie,1990,1990,1988,1991,1988-1991,4,1,3,0,0,1,0,1,0,1,0,Just A Friend,9,Just A Friend,9,22,22,The Biz Never Sleeps,66,Goin' Off,90,18,50
bizarrap,Bizarrap,2022,2023,0,0,2022-2023,2,3,0,0,0,1,0,1,0,2,0,"Bzrp Music Sessions, Vol. 53",9,"Bzrp Music Sessions, Vol. 52",79,10,35,,0,,0,0,0
bizarre,Bizarre,0,0,2005,2005,2005-2005,1,0,1,0,0,0,0,0,0,0,1,,0,,0,0,0,Hannicap Circus,48,Hannicap Circus,48,3,3
bizarre inc,Bizarre Inc,1993,1993,0,0,1993-1993,1,1,0,0,0,0,0,0,0,1,0,I'm Gonna Get You,47,I'm Gonna Get You,47,23,23,,0,,0,0,0
bizzle,BIzzle,0,0,2013,2015,2013-2015,3,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,The Good Fight,116,The Good Fight,116,1,3
bizzy banks,Bizzy Banks,2021,2021,0,0,2021-2021,1,1,0,0,0,0,0,0,0,0,0,30,97,30,97,1,1,,0,,0,0,0
bizzy bone,Bizzy Bone,0,0,1998,2008,1998-2008,7,0,8,0,0,0,1,0,1,0,2,,0,,0,0,0,Heaven'z Movie,3,Heaven'z Movie,3,19,35
bj the chicago kid,BJ The Chicago Kid,2014,2014,2016,2016,2014-2016,2,1,1,0,0,0,0,0,0,1,1,Studio,38,Studio,38,20,20,In My Mind,43,In My Mind,43,2,2
bjork,Bjork,1994,2007,1993,2022,1993-2022,14,2,14,0,0,0,1,0,4,0,8,Earth Intruders,84,Big Time Sensuality,88,5,6,Volta,9,Debut,61,31,105
blac youngsta,Blac Youngsta,2018,2018,2018,2020,2018-2020,3,1,5,0,0,0,1,0,1,0,2,Booty,73,Booty,73,5,5,Code Red,6,223,42,4,36
black 'n blue,Black 'N Blue,0,0,1984,1988,1984-1988,3,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,"Nasty, Nasty",110,Black 'N' Blue,116,11,40
black 47,Black 47,0,0,1993,1993,1993-1993,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Fire Of Freedom,176,Fire Of Freedom,176,1,1
black box,Black Box,1990,1991,1990,1990,1990-1991,2,3,1,0,0,2,0,2,0,3,0,Everybody Everybody,8,Everybody Everybody,8,19,51,Dreamland,56,Dreamland,56,61,61
black country communion,Black Country Communion,0,0,2010,2017,2010-2017,4,0,4,0,0,0,0,0,0,0,1,,0,,0,0,0,Afterglow,48,Black Country Communion,54,2,7
"black country, new road","Black Country, New Road",0,0,2025,2025,2025-2025,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Forever Howlong,135,Forever Howlong,135,1,1
black dub,Black Dub,0,0,2010,2010,2010-2010,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Black Dub,179,Black Dub,179,1,1
black eyed peas,Black Eyed Peas,2019,2021,2020,2020,2019-2021,3,2,1,0,0,0,0,0,0,1,0,RITMO (Bad Boys For Life),26,RITMO (Bad Boys For Life),26,27,40,Translation,52,Translation,52,8,8
"black eyed peas, ozuna + j.rey soul","Black Eyed Peas, Ozuna + J.Rey Soul",2020,2020,0,0,2020-2020,1,1,0,0,0,0,0,0,0,0,0,Mamacita,62,Mamacita,62,11,11,,0,,0,0,0
black ivory,Black Ivory,0,0,1972,1973,1972-1973,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Don't Turn Around,158,Don't Turn Around,158,9,18
black joe lewis,Black Joe Lewis,0,0,2013,2013,2013-2013,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Electric Slave,142,Electric Slave,142,1,1
black joe lewis & the honeybears,Black Joe Lewis & The Honeybears,0,0,2011,2011,2011-2011,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Scandalous,115,Scandalous,115,1,1
black kids,Black Kids,0,0,2008,2008,2008-2008,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Partie Traumatic,127,Partie Traumatic,127,3,3
black label society,Black Label Society,0,0,2002,2021,2002-2021,12,0,13,0,0,0,2,0,3,0,8,,0,,0,0,0,Order Of The Black,4,1919 * Eternal,149,1,47
black light burns,Black Light Burns,0,0,2007,2007,2007-2007,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Cruel Melody,133,Cruel Melody,133,1,1
black lips,Black Lips,0,0,2011,2014,2011-2014,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Arabia Mountain,122,Arabia Mountain,122,1,2
black midi,black midi,0,0,2022,2022,2022-2022,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Hellfire,139,Hellfire,139,1,1
black mike,Black Mike,0,0,2008,2008,2008-2008,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,That's Me,190,That's Me,190,2,2
black milk,Black Milk,0,0,2010,2010,2010-2010,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Album Of The Year,136,Album Of The Year,136,1,1
black moon,Black Moon,1993,1994,1999,1999,1993-1999,3,2,1,0,0,0,0,0,0,0,1,Who Got The Props,86,Who Got The Props,86,6,16,War Zone,35,War Zone,35,5,5
black mountain,Black Mountain,0,0,2008,2010,2008-2010,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Wilderness Heart,94,In The Future,101,2,3
black oak arkansas,Black Oak Arkansas,1973,1976,1971,1976,1971-1976,6,2,10,0,0,0,0,0,0,1,0,Jim Dandy,25,Jim Dandy,25,13,15,High On The Hog,52,Black Oak Arkansas,127,12,125
black pearl,Black Pearl,0,0,1969,1970,1969-1970,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Black Pearl,130,Black Pearl,130,5,7
black pumas,Black Pumas,0,0,2020,2023,2020-2023,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Chronicles Of A Diamond,69,Black Pumas,86,3,4
black rebel motorcycle club,Black Rebel Motorcycle Club,0,0,2003,2013,2003-2013,5,0,5,0,0,0,0,0,0,0,3,,0,,0,0,0,Specter At The Feast,35,"Take Them On, On Your Own",47,4,15
black rob,DMX & Black Rob,1998,2001,2000,2005,1998-2005,4,4,2,0,0,0,1,0,1,2,2,Bad Boy For Life,33,Nothin' Move But The Money,70,6,44,Life Story,3,Life Story,3,19,22
black sabbath,Black Sabbath,1970,1972,1970,2013,1970-2013,20,2,23,0,1,0,2,0,6,0,14,Iron Man,52,Paranoid,61,8,18,13,1,Black Sabbath,23,66,461
black sheep,Black Sheep,1992,1992,1991,1994,1991-1994,3,2,2,0,0,0,0,0,0,0,1,The Choice Is Yours,57,The Choice Is Yours,57,19,27,A Wolf In Sheep's Clothing,30,A Wolf In Sheep's Clothing,30,41,44
black stone cherry,Black Stone Cherry,0,0,2006,2018,2006-2018,6,0,6,0,0,0,0,0,0,0,4,,0,,0,0,0,Magic Mountain,22,Black Stone Cherry,90,3,14
black thought,Black Thought,0,0,2018,2022,2018-2022,2,0,2,0,0,0,0,0,0,0,1,,0,,0,0,0,Cheat Codes,43,"Streams Of Thought, Vol. 1 (EP)",62,1,2
black tide,Black Tide,0,0,2008,2011,2008-2011,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Light From Above,73,Light From Above,73,4,5
black uhuru,Black Uhuru,0,0,1982,1990,1982-1990,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Now,121,Chill Out,146,7,18
black veil brides,Black Veil Brides,0,0,2010,2021,2010-2021,6,0,6,0,0,0,2,0,4,0,5,,0,,0,0,0,Wretched And Divine: The Story Of The Wild Ones,7,We Stitch These Wounds,36,3,31
black violin,Black Violin,0,0,2015,2015,2015-2015,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Stereotypes,146,Stereotypes,146,1,1
blackalicious,Blackalicious,0,0,2002,2005,2002-2005,2,0,2,0,0,0,0,0,0,0,1,,0,,0,0,0,Blazing Arrow,49,Blazing Arrow,49,9,10
blackbear,blackbear,2017,2022,2016,2022,2016-2022,6,8,7,0,0,0,0,2,2,4,4,Hot Girl Bummer,11,Do Re Mi,40,25,158,digital druglord,14,Cashmere Noose (EP),108,1,68
blackberry smoke,Blackberry Smoke,0,0,2012,2024,2012-2024,7,0,7,0,0,0,0,0,1,0,4,,0,,0,0,0,Like An Arrow,12,The Whippoorwill,40,2,10
blackfoot,Blackfoot,1979,1981,1979,1984,1979-1984,5,3,5,0,0,0,0,0,0,3,3,Highway Song,26,Highway Song,26,14,40,Strikes,42,Strikes,42,41,91
blackgirl,Blackgirl,1994,1994,0,0,1994-1994,1,2,0,0,0,0,0,0,0,0,0,90's Girl,71,90's Girl,71,13,16,,0,,0,0,0
blackhawk,BlackHawk,1998,1998,1994,2000,1994-2000,5,1,5,0,0,0,0,0,0,1,1,There You Have It,41,There You Have It,41,14,14,Strong Enough,22,Blackhawk,98,83,129
blackjack,Blackjack,1979,1979,1979,1979,1979-1979,1,1,1,0,0,0,0,0,0,0,0,Love Me Tonight,62,Love Me Tonight,62,6,6,Blackjack,127,Blackjack,127,7,7
blackmore's rainbow,Blackmore's Rainbow,0,0,1976,1976,1976-1976,1,0,1,0,0,0,0,0,0,0,1,,0,,0,0,0,Rainbow Rising,48,Rainbow Rising,48,17,17
blackpink,BLACKPINK,2018,2025,2018,2022,2018-2025,5,10,4,0,1,0,2,1,2,7,4,Ice Cream,13,DDU-DU DDU-DU,55,1,38,Born Pink,1,SQUARE UP (EP),40,1,44
blackstreet,BLACKstreet,1994,1999,1994,2003,1994-2003,7,9,4,0,0,2,2,3,3,6,3,I Get Lonely,3,Before I Let You Go,7,27,145,Another Level,3,Blackstreet,52,51,128
blackstreet (featuring dr. dre),BLACKstreet (Featuring Dr. Dre),1996,1996,0,0,1996-1996,1,1,0,1,0,1,0,1,0,1,0,No Diggity,1,No Diggity,1,31,31,,0,,0,0,0
blackwell,Blackwell,1969,1969,0,0,1969-1969,1,1,0,0,0,0,0,0,0,0,0,Wonderful,89,Wonderful,89,2,2,,0,,0,0,0
blahzay blahzay,Blahzay Blahzay,1995,1995,0,0,1995-1995,1,1,0,0,0,0,0,0,0,1,0,Danger,46,Danger,46,20,20,,0,,0,0,0
blaine larsen,Blaine Larsen,2005,2005,2005,2006,2005-2006,2,1,2,0,0,0,0,0,0,0,0,How Do You Get That Lonely,91,How Do You Get That Lonely,91,7,7,Off To Join The World,79,Off To Join The World,79,16,18
blair,Blair,1998,1998,0,0,1998-1998,1,1,0,0,0,0,0,0,0,0,0,"Have Fun, Go Mad",86,"Have Fun, Go Mad",86,4,4,,0,,0,0,0
blake lewis,Blake Lewis,2007,2007,2007,2009,2007-2009,2,2,2,0,0,0,1,1,1,1,1,You Give Love A Bad Name,18,You Give Love A Bad Name,18,4,5,Audio Day Dream,10,Audio Day Dream,10,10,11
blake mills,Blake Mills,0,0,2014,2014,2014-2014,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Heigh Ho,158,Heigh Ho,158,1,1
blake roman,Blake Roman,2025,2025,0,0,2025-2025,1,1,0,0,0,0,0,0,0,0,0,Losin' Streak,98,Losin' Streak,98,1,1,,0,,0,0,0
blake shelton,Blake Shelton,2001,2026,2001,2025,2001-2026,25,45,19,0,2,0,12,5,15,26,18,Boys 'round Here,12,Austin,18,20,666,Red River Blue,1,Blake Shelton,45,29,1135
blake shelton duet,Blake Shelton Duet,2019,2019,0,0,2019-2019,1,1,0,0,0,0,0,1,0,1,0,Nobody But You,18,Nobody But You,18,25,25,,0,,0,0,0
blakroc,BlakRoc,0,0,2009,2009,2009-2009,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,BlakRoc,110,BlakRoc,110,2,2
blanca,Blanca,0,0,2015,2015,2015-2015,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Blanca,196,Blanca,196,1,1
blanco brown,Blanco Brown,2019,2019,2019,2019,2019-2019,1,1,1,0,0,0,0,1,0,1,0,The Git Up,14,The Git Up,14,20,20,Honeysuckle & Lightning Bugs,130,Honeysuckle & Lightning Bugs,130,1,1
blaqk audio,Blaqk Audio,0,0,2007,2012,2007-2012,2,0,2,0,0,0,0,0,1,0,2,,0,,0,0,0,Cexcells,18,Cexcells,18,5,6
blaque,Blaque,1999,1999,1999,1999,1999-1999,1,2,1,0,0,2,0,2,0,2,0,Bring It All To Me,5,Bring It All To Me,5,29,49,Blaque,53,Blaque,53,54,54
blaze,Blaze,1976,1976,2007,2010,1976-2010,3,1,2,0,0,0,0,0,0,0,0,Silver Heels,95,Silver Heels,95,2,2,Gang Rags,52,Clockwork Gray,100,1,2
blaze ya dead homie,Blaze Ya Dead Homie,0,0,2004,2016,2004-2016,3,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,The Casket Factory,89,Colton Grundy,167,1,3
bleachers,Bleachers,0,0,2014,2024,2014-2024,4,0,4,0,0,0,0,0,1,0,3,,0,,0,0,0,Strange Desire,11,Strange Desire,11,11,14
bleeding through,Bleeding Through,0,0,2006,2012,2006-2012,4,0,4,0,0,0,0,0,0,0,1,,0,,0,0,0,The Truth,48,The Truth,48,3,6
blessid union of souls,Blessid Union Of Souls,1995,1999,1995,2001,1995-2001,6,6,4,0,0,1,0,1,0,5,0,I Believe,8,I Believe,8,31,124,Home,78,Home,78,29,55
blessthefall,blessthefall,0,0,2009,2018,2009-2018,5,0,5,0,0,0,0,0,1,0,3,,0,,0,0,0,Hollow Bodies,15,Witness,56,2,8
bleu,BLEU,2022,2022,0,0,2022-2022,1,2,0,0,0,0,0,0,0,0,0,Love In The Way,93,Love In The Way,93,1,2,,0,,0,0,0
blind faith,Blind Faith,0,0,1969,1969,1969-1969,1,0,1,0,1,0,1,0,1,0,1,,0,,0,0,0,Blind Faith,1,Blind Faith,1,45,45
blind guardian,Blind Guardian,0,0,2010,2015,2010-2015,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,At The Edge Of Time,108,At The Edge Of Time,108,1,2
blind melon,Blind Melon,1993,1993,1993,2008,1993-2008,4,1,4,0,0,0,1,1,1,1,2,No Rain,20,No Rain,20,23,23,Blind Melon,3,Blind Melon,3,44,55
blind pilot,Blind Pilot,0,0,2008,2016,2008-2016,3,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,We Are The Tide,56,3 Rounds And A Sound,149,1,3
blindside,Blindside,0,0,2002,2005,2002-2005,3,0,3,0,0,0,0,0,0,0,1,,0,,0,0,0,About A Burning Fire,39,Silence,83,9,14
blink-182,Blink-182,1999,2023,1997,2023,1997-2023,13,10,12,0,3,1,10,1,10,2,11,All The Small Things,6,All The Small Things,6,23,81,Take Off Your Pants And Jacket,1,Dude Ranch,67,48,594
blinky,Blinky,1969,1969,0,0,1969-1969,1,1,0,0,0,0,0,0,0,0,0,Oh How Happy,92,Oh How Happy,92,2,2,,0,,0,0,0
blitzen trapper,Blitzen Trapper,0,0,2009,2011,2009-2011,3,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,Destroyer Of The Void,88,Furr,189,1,3
bloc party,Bloc Party,0,0,2005,2016,2005-2016,5,0,5,0,0,0,0,0,2,0,3,,0,,0,0,0,A Weekend In The City,12,Silent Alarm,114,16,29
blocboy jb,BlocBoy JB,2018,2018,2018,2018,2018-2018,1,1,1,0,0,1,0,1,0,1,1,Look Alive,5,Look Alive,5,25,25,Simi,28,Simi,28,22,22
blodwyn pig,Blodwyn Pig,0,0,1969,1970,1969-1970,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Getting To This,96,Ahead Rings Out,149,5,10
blonde redhead,Blonde Redhead,0,0,2004,2014,2004-2014,4,0,4,0,0,0,0,0,0,0,0,,0,,0,0,0,23,63,Misery Is A Butterfly,180,1,5
blondie,Blondie,1979,1999,1978,2017,1978-2017,9,10,10,4,0,4,2,4,4,8,6,Heart Of Glass,1,Heart Of Glass,1,21,148,Parallel Lines,6,Parallel Lines,6,103,258
blood on the dance floor,Blood On The Dance Floor,0,0,2012,2013,2012-2013,2,0,3,0,0,0,0,0,0,0,1,,0,,0,0,0,Evolution,42,Evolution,42,3,5
blood orange,Blood Orange,0,0,2013,2019,2013-2019,4,0,4,0,0,0,0,0,0,0,0,,0,,0,0,0,Negro Swan,98,Cupid Deluxe,183,1,5
blood raw,Blood Raw,0,0,2008,2008,2008-2008,1,0,1,0,0,0,0,0,0,0,1,,0,,0,0,0,CTE Presents: My Life: The True Testimony,29,CTE Presents: My Life: The True Testimony,29,3,3
