title,performer,peak_pos,wks_on_chart,first_charting_year,original_performer,performer_normalized,original_performer_normalized,label,first_year_top_10_songs,first_top_10_hit,precedes_first_top_10_hit,tags,genre_tags_musicbrainz,top_10_1hit_wonder_song,top_10_hitmaker_song,musicbrainz_artist_id
I Wonder Why,Dion & The Belmonts,47,2,1958,,dion,dion & the belmonts,"Classic Records, Laurie Records",1959,False,True,,,False,True,647225
I Wonder Why,Dion & The Belmonts,47,2,1958,,dion,dion & the belmonts,"Classic Records, Laurie Records",1959,False,True,,,False,True,647225
I Wonder Why,Dion & The Belmonts,47,2,1958,,dion,dion & the belmonts,"Classic Records, Laurie Records",1959,False,True,,,False,True,647225
I Wonder Why,Dion & The Belmonts,47,2,1958,,the belmonts,dion & the belmonts,"Classic Records, Laurie Records",1959,False,True,,,False,True,95042
I Wonder Why,Dion & The Belmonts,47,2,1958,,the belmonts,dion & the belmonts,"Classic Records, Laurie Records",1959,False,True,,,False,True,95042
I Wonder Why,Dion & The Belmonts,47,2,1958,,the belmonts,dion & the belmonts,"Classic Records, Laurie Records",1959,False,True,,,False,True,95042
I Wonder Why,Dion & The Belmonts,47,2,1958,,the belmonts,dion & the belmonts,"Classic Records, Laurie Records",1959,False,True,,,False,True,95042
Mandolins In The Moonlight,Perry Como,47,10,1958,,perry como,,,1970,False,True,,,True,False,10792
Return To Me,Dean Martin,48,4,1958,,dean martin,,"Bear Family Records, Capitol Records",1964,False,True,,,False,True,976
Try Me,James Brown And The Famous Flames,48,13,1958,,james brown and the famous flames,,,1965,False,True,,,False,True,
Blue Ribbon Baby,The Raiders,50,11,1958,Tommy Sands And The Raiders,the raiders,,,1971,False,True,,,True,False,907115
What Do I Care,Johnny Cash,52,8,1958,,johnny cash,,Columbia,1969,False,True,,,True,False,387
Need Your Love,Bobby Freeman,54,5,1958,,bobby freeman,,"Collectables, Josie Records",1964,False,True,oldies,,True,False,24110
You Need Hands,Eydie Gorme,57,2,1958,,eydie gorme,,,1963,False,True,,,True,False,
Drip Drop,The Drifters,58,2,1958,,the drifters,,Atlantic,1959,False,True,,,False,True,728327
Gotta Have Rain,Eydie Gorme,63,7,1958,,eydie gorme,,,1963,False,True,,,True,False,
Midnight,Paul Anka,69,4,1958,,paul anka,,"ABC-Paramount, W & G",1959,False,True,,,False,True,11617
